 	o	l	a	n	d	i	n	d	é	e	y	é	a	d	í	l	i	n	g	o	n	y	á	</S>
celui	0.0137666	0.01865	0.020323	0.0275427	0.0223923	0.0241255	0.0307928	0.0307197	0.0310607	0.0286522	0.0328156	0.033866	0.0241056	0.024931	0.0424079	0.0680427	0.10284	0.0698921	0.0882852	0.0722012	0.0609464	0.0531275	0.0427276	0.0357853
qui	0.131958	0.0829634	0.111307	0.0614508	0.0632101	0.0253289	0.017689	0.0123207	0.00766072	0.0131441	0.00629835	0.00815007	0.00972184	0.0242072	0.0362446	0.0590268	0.0483401	0.0538858	0.0881312	0.0468253	0.0215208	0.0242839	0.0214911	0.0248394
construit	0.0630113	0.027888	0.0332802	0.0262116	0.0423001	0.0388545	0.0295471	0.0215717	0.0179477	0.020162	0.0161895	0.0219099	0.0222816	0.0287857	0.0435527	0.101534	0.0674073	0.0678237	0.0741705	0.0630075	0.0716272	0.0372152	0.0426407	0.0210799
des	0.0209102	0.0235335	0.0347659	0.0454038	0.0338328	0.0289968	0.0222981	0.0291159	0.053951	0.0892934	0.0881845	0.101926	0.0748339	0.0653322	0.0263038	0.0351975	0.0302004	0.0237103	0.0209022	0.017361	0.022127	0.0200358	0.0280006	0.0637838
murs	0.0409737	0.0527281	0.0678617	0.085272	0.0667199	0.0335052	0.0316188	0.0319098	0.0275782	0.0254676	0.0309683	0.0373623	0.035714	0.0377487	0.0401569	0.0427439	0.0331061	0.0220799	0.0218698	0.015148	0.0145246	0.0278292	0.043959	0.133154
de	0.0594399	0.0505715	0.0457215	0.0435377	0.0540394	0.0442312	0.0363513	0.050892	0.0569869	0.0413486	0.0432714	0.0381941	0.0514208	0.0274727	0.0257158	0.0277872	0.0194987	0.0175285	0.0158705	0.0206886	0.0118184	0.0412921	0.0530326	0.123289
cette	0.0701028	0.0657362	0.0664674	0.0551131	0.0320185	0.0127686	0.0122572	0.00946242	0.0112333	0.00668136	0.00899939	0.00893295	0.0120217	0.0125005	0.0208317	0.0246575	0.0324922	0.041304	0.0481635	0.0532028	0.0515574	0.0724382	0.0843581	0.186699
case	0.059628	0.0412718	0.0326713	0.0200988	0.0124936	0.00532271	0.00521483	0.0046791	0.00554247	0.00426745	0.00664891	0.00469722	0.00490838	0.00562428	0.00853909	0.010894	0.0154412	0.0138399	0.0296033	0.05272	0.0301954	0.119556	0.103385	0.402757
est	0.225741	0.0963581	0.0579281	0.0381007	0.0215224	0.0073378	0.00611733	0.00597515	0.00606334	0.00751245	0.00972026	0.00743287	0.00651418	0.00760482	0.018562	0.0272931	0.0228254	0.0310205	0.0552769	0.0327516	0.017696	0.0434102	0.0554045	0.191831
maladroit	0.154295	0.0722871	0.0391544	0.0219024	0.0122931	0.0089249	0.00644516	0.00645849	0.00681613	0.00793696	0.00862059	0.0121185	0.011124	0.0139936	0.0199493	0.0277049	0.0307745	0.0267859	0.0377036	0.0682409	0.039558	0.111979	0.0684825	0.186451
</S>	0.143115	0.0988819	0.0774446	0.0483795	0.0370595	0.012816	0.00803826	0.00622248	0.00629807	0.00953689	0.0102793	0.012445	0.00725904	0.0143499	0.0168607	0.0256776	0.0293168	0.0497443	0.0682274	0.0621116	0.0442855	0.0604024	0.0602533	0.090995
