 	w	a	á	b	ε	r	i	n	g	á	a	b	ω	r	ω	ó	n	g	u	a	</S>
il	0.195785	0.294606	0.204006	0.154614	0.0375083	0.0489634	0.00812597	0.00212624	0.00254288	0.00326526	0.00418851	0.00413275	0.00414671	0.00409612	0.0041412	0.00437192	0.00535776	0.00540061	0.00462667	0.0045591	0.00343563
m'	0.0202271	0.00896241	0.0165786	0.0120853	0.0380642	0.0230768	0.0750007	0.0878501	0.105288	0.129405	0.0434145	0.0958204	0.0484005	0.0736337	0.0696199	0.0327981	0.0148192	0.0182246	0.0122822	0.0328486	0.0415991
a	0.0115621	0.0129374	0.0163738	0.0153564	0.0125504	0.0315344	0.0642947	0.0665353	0.10459	0.0717734	0.148252	0.0923795	0.0425384	0.0433377	0.0345803	0.0376495	0.0419109	0.029816	0.0313146	0.034996	0.0557169
donné	0.00809346	0.00948254	0.0121206	0.0089966	0.00882406	0.0111527	0.0336413	0.0291532	0.0421084	0.0521872	0.0966083	0.0577715	0.0606106	0.0627638	0.0448692	0.0527041	0.118114	0.118109	0.0667528	0.0554607	0.0504755
des	0.0131113	0.0154348	0.0190022	0.0197607	0.00908977	0.00786892	0.00989359	0.0225593	0.043066	0.0461024	0.0447357	0.0607913	0.0313365	0.0357484	0.0323873	0.0409129	0.04114	0.0509592	0.0853217	0.190774	0.180003
coups	0.00952695	0.00889814	0.00949305	0.00979984	0.0137476	0.0199673	0.0208063	0.0203405	0.0317401	0.0370796	0.031393	0.0328021	0.0499453	0.0550279	0.0546208	0.0542183	0.036581	0.0488579	0.0751184	0.120654	0.259382
de	0.0151293	0.0124248	0.0127984	0.0126834	0.0237185	0.0270242	0.0232695	0.018708	0.0210641	0.0250644	0.0214291	0.0249933	0.0470166	0.0489793	0.070925	0.0644147	0.0592336	0.0642952	0.0811603	0.1186	0.207069
tête	0.0311821	0.0338951	0.0358749	0.0279407	0.0321937	0.0358281	0.0351328	0.0454239	0.0285317	0.0395308	0.0359628	0.0189053	0.0384349	0.0302093	0.0407493	0.036465	0.037729	0.0550416	0.0660019	0.123311	0.171656
pour	0.0274111	0.0376764	0.0305582	0.0285606	0.0296855	0.0292712	0.0307079	0.0297577	0.0317051	0.0328099	0.0450118	0.0292386	0.0278506	0.0284271	0.0380524	0.0461236	0.0689899	0.0866267	0.096143	0.109192	0.116201
rien	0.0278483	0.0292547	0.0283143	0.0280981	0.0285209	0.0285065	0.0366075	0.0287237	0.0357481	0.0319733	0.0553743	0.0352356	0.0221478	0.0331833	0.0440808	0.061949	0.07039	0.0871407	0.081958	0.100625	0.10432
</S>	0.031198	0.0390742	0.0317242	0.0361278	0.0401316	0.0405712	0.0414894	0.0374052	0.0257216	0.0318742	0.0271526	0.0129874	0.0174354	0.0192656	0.0310422	0.0318353	0.0550488	0.0831648	0.0913437	0.122984	0.152423
