 	p	á	b	h	a	é	d	í	o	k	ω	ω	m	í	k	ú	r	u	m	a	l	ó	k	o	n	d	z	i	n	z	a	m	b	é	</S>
aujourd'	0.0437231	0.110135	0.0672975	0.0755168	0.0414177	0.0180227	0.0245255	0.0142101	0.0244655	0.0159921	0.0226907	0.0226518	0.031627	0.0400059	0.0325645	0.0292212	0.0189633	0.0128313	0.0134154	0.0200849	0.0204028	0.0257204	0.0249571	0.0330587	0.0271096	0.0220456	0.0230643	0.0170163	0.018755	0.0176254	0.0147953	0.0185336	0.0150497	0.0246583	0.0178457
hui	0.0228887	0.0323717	0.0403842	0.0194138	0.0235855	0.0253164	0.0205219	0.0172602	0.0152359	0.026498	0.0193302	0.0307895	0.0172726	0.0218011	0.0226937	0.0154621	0.0297819	0.0530114	0.0591909	0.051825	0.0543386	0.0353064	0.0199368	0.0165283	0.0471433	0.0484284	0.047464	0.0484158	0.032064	0.0303255	0.0236935	0.0160621	0.00340026	0.00318734	0.00907093
c'	0.019913	0.0183192	0.0284288	0.0306858	0.0270941	0.029563	0.0240345	0.0448802	0.0305499	0.0452629	0.067509	0.0572814	0.0594569	0.0506273	0.0389346	0.0263659	0.0244172	0.0243668	0.0275707	0.0213867	0.0229615	0.0277775	0.0215852	0.0188808	0.0217938	0.025381	0.0192109	0.0207192	0.0199547	0.021035	0.023169	0.0197554	0.0168542	0.0172991	0.00697487
est	0.0113422	0.00781868	0.00732562	0.00766402	0.010834	0.0132881	0.0126488	0.0128648	0.00989729	0.0118738	0.0149365	0.0158157	0.0205297	0.0226698	0.03842	0.021849	0.0367485	0.0375215	0.0417463	0.0381669	0.0517077	0.0471165	0.0517648	0.0734933	0.0348742	0.0557477	0.0358199	0.0283987	0.0279134	0.0289756	0.0191666	0.0354058	0.0382793	0.0435955	0.0337796
le	0.0227052	0.0256834	0.0277506	0.0266179	0.0302159	0.0454284	0.0613732	0.0722485	0.0361336	0.0461107	0.0259204	0.0378638	0.0336463	0.0313144	0.0415136	0.0343944	0.0388468	0.0280627	0.0285151	0.0179522	0.012007	0.0111234	0.0106997	0.0217715	0.0155741	0.0252622	0.0215941	0.0205513	0.0188134	0.0123711	0.0158712	0.0138675	0.00942903	0.0112672	0.0675
jour	0.0251462	0.0287708	0.0275159	0.0307984	0.0382859	0.0451503	0.0533827	0.0672668	0.03107	0.0294894	0.0181122	0.0193152	0.0227301	0.0139833	0.0155656	0.0198378	0.0184579	0.0200029	0.022931	0.0226231	0.0221655	0.0252241	0.0217126	0.0152538	0.0168181	0.0196115	0.0204208	0.0197539	0.0133547	0.0155914	0.01404	0.0220948	0.0204383	0.0433965	0.139689
où	0.0308577	0.0165512	0.019945	0.0180076	0.0264402	0.0411952	0.0639344	0.0703348	0.0449258	0.0491653	0.0299165	0.0373944	0.0362112	0.0263712	0.0193201	0.0267774	0.0241019	0.0254751	0.0273649	0.0278498	0.0173549	0.0170533	0.0151005	0.0258409	0.0133905	0.0193097	0.0183626	0.0160657	0.0182323	0.0154727	0.015516	0.0235918	0.0280987	0.0305045	0.0639659
l'	0.0242925	0.0183378	0.015368	0.0196975	0.0211765	0.0292146	0.034011	0.0403011	0.0275572	0.0212398	0.0142033	0.014862	0.0158761	0.0100822	0.0134833	0.0192512	0.020867	0.024616	0.0270148	0.0274154	0.0259729	0.03306	0.0363299	0.0540841	0.0305557	0.0468615	0.0438157	0.0319623	0.0315581	0.0224917	0.0196498	0.0280076	0.0335586	0.0412635	0.0819611
on	0.0967715	0.0426337	0.0550551	0.0453402	0.0535216	0.0641702	0.087792	0.0853781	0.0242061	0.0276001	0.0237236	0.0318611	0.0198229	0.0199908	0.0280302	0.0222908	0.0236147	0.0160012	0.0159004	0.00864115	0.00666383	0.00595229	0.00564054	0.00380076	0.00828822	0.0073691	0.00655633	0.00975379	0.00762382	0.0111383	0.0124152	0.0141462	0.0102106	0.0213049	0.0767906
adore	0.0677624	0.0247264	0.0283067	0.0203513	0.0219054	0.0263972	0.0261371	0.0273969	0.0121008	0.0106178	0.00753848	0.0111627	0.0110418	0.0114378	0.0203436	0.016015	0.0241522	0.0283544	0.034777	0.0320524	0.0340896	0.0324177	0.0221889	0.0188932	0.0196047	0.0218269	0.0213109	0.0224738	0.0290137	0.0319081	0.0399227	0.0491259	0.0574473	0.0528454	0.0843535
