 	e	k	i	i	l	í	y	é	é	k	i	i	o	l	ó	m	i	b	e	a	b	á	n	g	á	y	é	e	s	ε	r	έ	w	á	r	a	w	a	a	m	i	d	i	á	m	w	á	s	í	o	s	ú	s	u	s	á	p	o	o	</S>
la	0.0127879	0.0130894	0.00899815	0.00581874	0.00553417	0.00873519	0.0140399	0.0154667	0.0214122	0.031525	0.0444463	0.0282607	0.0395414	0.0257483	0.0353523	0.0398068	0.0175838	0.0259669	0.0161877	0.0123603	0.0126492	0.00754295	0.0105327	0.00579041	0.00622204	0.0118999	0.0112603	0.00922945	0.00896279	0.00759334	0.01021	0.0101448	0.00788252	0.00847072	0.0118113	0.00765795	0.0116099	0.0125511	0.00775226	0.00790392	0.00904714	0.00909182	0.00983092	0.0179429	0.0122358	0.00933983	0.00930688	0.0158562	0.0211346	0.0188762	0.0261938	0.0374047	0.0218192	0.0261111	0.018383	0.0218341	0.021197	0.0222413	0.0263763	0.0354379
manière	0.0295016	0.0301351	0.0369888	0.0239794	0.0160119	0.0605767	0.0566076	0.072515	0.116883	0.0436905	0.113396	0.0830103	0.0548383	0.0182133	0.0140141	0.0117253	0.00781862	0.0171567	0.0158266	0.00597958	0.00571625	0.0055887	0.00588674	0.00649828	0.0142601	0.00829156	0.00349069	0.00210426	0.00142818	0.00343642	0.00209442	0.00397822	0.00336557	0.00382564	0.0126571	0.00424959	0.00568659	0.00615229	0.00299826	0.00349627	0.0011448	0.00138743	0.00298409	0.00127576	0.00153634	0.00282827	0.000879552	0.00241756	0.00534036	0.00433	0.00712157	0.00415021	0.00307112	0.00574708	0.0046253	0.00472284	0.00508437	0.00482363	0.00169594	0.000760289
dont	0.083434	0.0359268	0.0340489	0.0178387	0.0232939	0.0134276	0.0108962	0.0162011	0.0171901	0.0108786	0.026808	0.0172322	0.0123355	0.0255608	0.0434908	0.0489345	0.0310906	0.0442975	0.0277311	0.0272892	0.027353	0.0150643	0.0146985	0.00779585	0.013969	0.0111252	0.014898	0.0103005	0.0129267	0.00994316	0.0171494	0.0146721	0.0181143	0.00953657	0.0134453	0.0130218	0.0204805	0.0226264	0.0124046	0.0170169	0.00954188	0.0130548	0.0109895	0.00672606	0.00493799	0.00670778	0.00408417	0.00616562	0.011117	0.0112262	0.00817549	0.00670746	0.00428208	0.00661411	0.00353989	0.00275787	0.00410191	0.00310152	0.00446004	0.0072603
mon	0.0177098	0.0160524	0.0153524	0.00833262	0.00890912	0.0115294	0.00954947	0.0116383	0.010731	0.0100625	0.0160276	0.0175093	0.012027	0.0126921	0.0402847	0.124266	0.0901378	0.0633129	0.0450643	0.0251736	0.0272745	0.0252594	0.0370472	0.0107899	0.0160359	0.0266383	0.0198655	0.021383	0.0182342	0.0127862	0.0163542	0.0102229	0.00658997	0.00816155	0.00496352	0.00671002	0.00585865	0.00434629	0.00531643	0.00630248	0.011663	0.00978198	0.00960098	0.0112264	0.0130198	0.013435	0.0137804	0.00853878	0.00456059	0.00397379	0.0035718	0.0030851	0.0016618	0.00190127	0.00232095	0.00204703	0.00273886	0.00386751	0.00527796	0.017445
mari	0.0125803	0.0131059	0.0134847	0.0143012	0.0179539	0.0326993	0.0233433	0.0225301	0.0141958	0.0120681	0.00688537	0.0156079	0.0133067	0.0159766	0.0241156	0.0379517	0.0385103	0.0361495	0.0311264	0.0433293	0.0303817	0.0341767	0.0218615	0.0313336	0.0326229	0.0288784	0.0304465	0.0190039	0.0245886	0.0245283	0.0126525	0.0157894	0.019536	0.0131837	0.0165189	0.0195282	0.0093045	0.019899	0.00984806	0.0178516	0.00752766	0.0150355	0.017803	0.00772447	0.00875388	0.00542513	0.00768103	0.00711507	0.00500055	0.00525552	0.00410693	0.00334179	0.00202575	0.00318288	0.00187454	0.00165618	0.00223857	0.00366246	0.0059063	0.013527
a	0.0074662	0.0108308	0.0163278	0.0179451	0.0271938	0.0343606	0.0286782	0.0229019	0.0142377	0.012319	0.00962788	0.0196105	0.0118534	0.0141195	0.021715	0.0407503	0.0461316	0.040086	0.03143	0.0465155	0.0324353	0.0313674	0.0204469	0.015377	0.0377839	0.0238536	0.0201709	0.0168643	0.0239687	0.0199584	0.0166886	0.0144675	0.0119165	0.0111694	0.00792655	0.0141186	0.00642743	0.0117232	0.0106644	0.0134258	0.00664521	0.00967627	0.010958	0.00637401	0.00702361	0.0122892	0.0123011	0.00644552	0.00993024	0.00693036	0.00569441	0.00889612	0.00515133	0.00790097	0.00509199	0.00409199	0.00568429	0.00782449	0.00768747	0.0185484
refuse	0.0116944	0.011748	0.0109208	0.011807	0.0101219	0.0088362	0.00691973	0.00610251	0.00578605	0.00490231	0.00322057	0.00465609	0.00398178	0.00380032	0.00480502	0.00969157	0.0166435	0.0145017	0.0172324	0.0257767	0.0214057	0.0264809	0.0206517	0.02281	0.0347904	0.0405478	0.0477038	0.0459462	0.0499517	0.0370803	0.0545829	0.0300509	0.0262468	0.0358779	0.0215123	0.0360474	0.0154743	0.0137248	0.0204565	0.0212058	0.0248471	0.0125542	0.0103832	0.00881567	0.00753877	0.00955477	0.00907064	0.00549162	0.0041127	0.00357936	0.00459862	0.00544376	0.00580709	0.0063082	0.00608366	0.00618125	0.0081067	0.0104103	0.0121406	0.0232752
de	0.0370037	0.0311599	0.0277404	0.0332541	0.0303914	0.0241704	0.0182424	0.0147525	0.0136019	0.00958111	0.00635853	0.0115954	0.00732431	0.00696318	0.0093354	0.0186582	0.0257221	0.0201594	0.0228202	0.0273227	0.0374181	0.0269183	0.0256321	0.026414	0.0572965	0.0364839	0.0240966	0.015939	0.0140251	0.0176647	0.0190762	0.0177868	0.0169063	0.0230929	0.0143803	0.0246255	0.00979885	0.00639525	0.00792171	0.00776784	0.00791106	0.00461532	0.0035857	0.00387317	0.00208777	0.00373907	0.0048705	0.00298176	0.00374542	0.00282091	0.00302772	0.00576271	0.00560975	0.00556915	0.00678894	0.00716144	0.00955994	0.016424	0.0199241	0.0541444
manger	0.016954	0.0141692	0.0113235	0.00947946	0.00732152	0.00490706	0.0042914	0.00432607	0.0065382	0.00644128	0.00487503	0.00669012	0.00573045	0.00417584	0.00724004	0.0134432	0.0178564	0.0176816	0.0226099	0.0212115	0.0234779	0.0265674	0.0416057	0.0310621	0.0352673	0.0464429	0.0409897	0.038074	0.040145	0.0374204	0.037006	0.0366023	0.0263965	0.0289856	0.0141766	0.0265028	0.0131902	0.00897915	0.0100751	0.00905355	0.0110234	0.00591225	0.00364136	0.0040962	0.00486645	0.00546877	0.00593139	0.00546685	0.00473776	0.00503019	0.00544207	0.00598149	0.0076684	0.00744503	0.00638782	0.009323	0.00976344	0.0188402	0.0207932	0.0728949
de	0.0195892	0.0160796	0.0110861	0.00680174	0.00494114	0.00375286	0.00358043	0.00354906	0.00507215	0.00471927	0.00468821	0.00563322	0.00622057	0.00503275	0.00936717	0.0110493	0.0120199	0.0129072	0.0151402	0.0175935	0.0138747	0.0181636	0.0216805	0.0156931	0.0234454	0.0305778	0.0448491	0.0497504	0.0631549	0.0387117	0.0600746	0.0297427	0.0375372	0.0267564	0.0185351	0.0356696	0.0223119	0.0122464	0.014294	0.0134494	0.0202515	0.0112968	0.00486801	0.00629525	0.00560023	0.00660065	0.00985105	0.00498533	0.00468345	0.00412403	0.00382676	0.00538281	0.00718834	0.00490958	0.00706214	0.0103353	0.00884698	0.0253669	0.0229803	0.0562026
