 	s	á	p	o	o	y	é	b	a	r	e	a	y	í	í	á	d	í	a	l	ω	i	</S>
dans	0.0147405	0.0413087	0.0346629	0.0271093	0.0208182	0.0216108	0.0355431	0.0365792	0.0375375	0.051566	0.0551362	0.0572429	0.0851908	0.0619563	0.0491387	0.0569243	0.0522529	0.052348	0.0635921	0.0537844	0.0398133	0.0300474	0.0210965
ce	0.16366	0.074196	0.0545676	0.0451951	0.0480614	0.050232	0.0323551	0.0255167	0.0277533	0.0188546	0.024228	0.050673	0.0641486	0.0559777	0.0575702	0.0474425	0.0319974	0.0169007	0.0132646	0.0153754	0.0335601	0.0176336	0.0308357
village	0.061225	0.0224372	0.0235861	0.0232461	0.0160857	0.010916	0.0104323	0.0117119	0.0116985	0.00725592	0.00922486	0.0156221	0.0427762	0.0669135	0.0826275	0.0850698	0.108078	0.102412	0.0683564	0.0679862	0.0701374	0.049791	0.0324097
de	0.0344518	0.041973	0.0330415	0.0267276	0.029221	0.0236419	0.0161627	0.00970509	0.00999059	0.0102739	0.0210666	0.0391466	0.0927743	0.133297	0.0881177	0.0588374	0.0633376	0.0670103	0.0440846	0.0309456	0.0348823	0.0312536	0.0600577
nombreuses	0.0242347	0.0398788	0.0516629	0.0700692	0.083447	0.0632446	0.0817571	0.0822075	0.0551907	0.0286263	0.021976	0.0102935	0.010245	0.0066636	0.0138716	0.0255924	0.0374359	0.0503981	0.0551122	0.0474452	0.042457	0.0380015	0.0601893
personnes	0.0508345	0.0490193	0.0347783	0.0352094	0.0481167	0.0610911	0.0698102	0.0757361	0.0760474	0.0405534	0.0299679	0.0209002	0.0145691	0.014466	0.0164307	0.0228221	0.0379702	0.046057	0.0493054	0.0430481	0.0380065	0.0414823	0.0837783
sont	0.0631773	0.035575	0.0347143	0.036096	0.0422263	0.0459941	0.0464076	0.0473585	0.0511281	0.0453677	0.0416596	0.0283286	0.0290543	0.018149	0.0248802	0.0355498	0.0356633	0.033521	0.0318886	0.028333	0.0443496	0.0654106	0.135168
des	0.12136	0.0519723	0.0409637	0.0421856	0.0441308	0.0403366	0.0287506	0.0289317	0.0344398	0.0315909	0.0331528	0.0382631	0.0334651	0.0276705	0.036005	0.024781	0.0344248	0.0260852	0.0242835	0.0254637	0.0425294	0.05567	0.133544
sorciers	0.156326	0.0951559	0.075057	0.0696822	0.0534037	0.0375168	0.0199742	0.0189983	0.0279847	0.0219902	0.0251312	0.0291221	0.0201838	0.0150565	0.0248014	0.0187945	0.0266509	0.0188545	0.0211927	0.0209641	0.0355419	0.0531876	0.11443
</S>	0.194074	0.0737123	0.0553372	0.0332405	0.0326869	0.0239769	0.0158189	0.0106821	0.0121237	0.00929186	0.00982447	0.0127863	0.011268	0.0138517	0.00955344	0.0183306	0.0202175	0.028939	0.0510144	0.0736802	0.0769573	0.0927964	0.119836
