 	e	k	y	έ	l	í	í	l	í	y	é	é	k	y	έ	l	έ	έ	w	a	e	b	é	e	y	é	é	b	ω	n	g	ώ	b	á	a	a	t	ú	n	g	u	é	d	í	o	t	é	m	a	</S>
la	0.0239803	0.013727	0.00993624	0.00689741	0.00489223	0.00458678	0.00423523	0.00382721	0.00481433	0.0128083	0.052873	0.129168	0.0868041	0.110685	0.0357213	0.0204277	0.0234586	0.0322364	0.0408228	0.0262666	0.0250163	0.00976263	0.00763515	0.00561119	0.00534803	0.00534058	0.00524261	0.00423267	0.00489955	0.00539743	0.00523426	0.00545302	0.00559792	0.00872558	0.0106994	0.0138518	0.0114277	0.0109773	0.0114976	0.0124854	0.0118589	0.0110658	0.0135867	0.0148913	0.0210192	0.0250983	0.0231425	0.0196705	0.021343	0.01572
manière	0.032092	0.029612	0.02009	0.0190032	0.0210548	0.0309102	0.0329064	0.0159384	0.0169474	0.0297918	0.0640981	0.155136	0.0752516	0.0497891	0.0501983	0.0391324	0.0466754	0.04132	0.0168903	0.0140486	0.0115699	0.00599624	0.00187698	0.00149643	0.00127492	0.000840317	0.000364053	0.000420979	0.000530952	0.00028774	0.00037812	0.000405607	0.000594252	0.000887347	0.00103314	0.000528107	0.000425786	0.000529568	0.00103108	0.00109913	0.00584206	0.0136674	0.0119842	0.0286582	0.0196622	0.0231369	0.0373433	0.0213522	0.00376923	0.00212778
dont	0.187173	0.036282	0.0144694	0.0142657	0.0488481	0.0352504	0.0454731	0.0182028	0.0152721	0.0241739	0.0230387	0.0381301	0.0190765	0.0203365	0.023201	0.0170332	0.0539784	0.0390511	0.0567254	0.0237464	0.0184773	0.00884937	0.00559351	0.00369729	0.00537959	0.00434371	0.00411728	0.00555354	0.00593348	0.00609001	0.0052171	0.00564386	0.00399137	0.00449077	0.0049927	0.00580034	0.00515728	0.0105747	0.00740074	0.00818824	0.0119953	0.0132627	0.00791808	0.00924947	0.010294	0.00909773	0.00853287	0.0122964	0.0105827	0.0235508
il	0.0949078	0.0970491	0.089504	0.0483404	0.0155937	0.0151471	0.0104136	0.00521712	0.00428268	0.00453346	0.0112989	0.0125616	0.00775359	0.00731517	0.00380867	0.00559215	0.0113957	0.0307906	0.0345492	0.0355273	0.0387111	0.0102756	0.0122476	0.00606461	0.00513069	0.0116978	0.0115245	0.00733477	0.0159414	0.0112975	0.0150205	0.0197593	0.0231816	0.0286207	0.0285656	0.020258	0.0178575	0.0130435	0.0143329	0.0157456	0.0103393	0.00872309	0.00518492	0.00646413	0.00979305	0.00979115	0.00978414	0.0106495	0.0109856	0.0460923
est	0.0431665	0.0505437	0.0645708	0.0850784	0.0559918	0.035381	0.0471103	0.0200976	0.0146335	0.0119284	0.0105437	0.0101667	0.00684261	0.0106756	0.0182057	0.0126931	0.0264398	0.0212296	0.0199273	0.0172311	0.021202	0.0165541	0.01615	0.0131214	0.0147237	0.0233508	0.0135568	0.0176659	0.0238265	0.0219798	0.0225334	0.0238469	0.0195357	0.0172546	0.0156461	0.0122386	0.0104882	0.00801747	0.00703008	0.00794148	0.00470378	0.00467298	0.00294701	0.00529328	0.00671342	0.008704	0.00679831	0.0103969	0.00827765	0.032372
toujours	0.0244469	0.0374616	0.0668053	0.104703	0.0834118	0.0563029	0.064929	0.0184664	0.0161452	0.0169889	0.0190226	0.0209026	0.0139759	0.0147286	0.0179521	0.013145	0.0129694	0.0111487	0.00939076	0.00553894	0.00741835	0.00778036	0.00683038	0.00557643	0.0070697	0.00708677	0.00541578	0.00876433	0.010568	0.0099193	0.00884852	0.0174154	0.0104032	0.0141362	0.0127498	0.0126731	0.0112352	0.0121187	0.011738	0.0125737	0.0129326	0.0144214	0.00861052	0.0114918	0.00804544	0.00881445	0.0106982	0.0171203	0.0149599	0.0641487
présent	0.0166158	0.00837196	0.0104954	0.0109768	0.0146644	0.0183362	0.0303482	0.0212969	0.0100203	0.00519642	0.00446013	0.00481235	0.00370946	0.00432483	0.00397149	0.00450914	0.00323826	0.00855812	0.00629537	0.00735243	0.00915255	0.00598884	0.00991653	0.0083742	0.0126293	0.0402486	0.0302723	0.0440487	0.0476077	0.0326453	0.0585453	0.053896	0.0524488	0.0352642	0.0487482	0.0303337	0.0373498	0.0199865	0.0198102	0.022775	0.0120414	0.00967591	0.00863272	0.00955561	0.0112107	0.00944588	0.0143929	0.0178687	0.0257649	0.0638156
là	0.0399977	0.0132815	0.00940049	0.00990978	0.0149994	0.0187347	0.0422239	0.0272686	0.0159556	0.0159497	0.0178009	0.013226	0.00721769	0.00934195	0.00880981	0.00477569	0.00592916	0.0108044	0.00986439	0.0140198	0.0272689	0.021212	0.0296329	0.0229115	0.02002	0.0280932	0.0205303	0.0201656	0.0355251	0.0234084	0.0271187	0.0237872	0.0205148	0.0112664	0.0161035	0.0105866	0.0168572	0.0143082	0.0113356	0.00988974	0.00692127	0.00618127	0.00593547	0.00850498	0.0127951	0.0175841	0.0299545	0.0435239	0.0551112	0.093441
où	0.0108478	0.0139964	0.0208425	0.0219217	0.0217793	0.0290998	0.0339971	0.0298014	0.0197821	0.0129898	0.0115068	0.010414	0.00654841	0.00763636	0.00616143	0.00545949	0.00366258	0.00785425	0.00735477	0.00643189	0.00959951	0.00548969	0.00853311	0.00741853	0.00810658	0.0193694	0.0193698	0.0158764	0.0409589	0.0144554	0.0316134	0.0319558	0.0403003	0.024999	0.0448565	0.0197848	0.0287577	0.0214486	0.0222438	0.0217131	0.0164383	0.0185469	0.0142804	0.015974	0.0121813	0.0112581	0.0190095	0.0293299	0.036997	0.101046
on	0.055704	0.0450725	0.0214997	0.0137399	0.0131286	0.0153246	0.0215	0.0191514	0.0142302	0.0140037	0.0108514	0.010525	0.00636158	0.0066166	0.00449676	0.0041622	0.00293325	0.00884111	0.00661506	0.00785173	0.0112505	0.00781688	0.01356	0.0115115	0.0119107	0.0286181	0.0255356	0.0234523	0.0390374	0.0287795	0.0364031	0.0433848	0.0387997	0.018462	0.0228782	0.0130158	0.0325535	0.0239397	0.0269616	0.0232246	0.00878253	0.00797134	0.00542551	0.00497552	0.00591322	0.00857825	0.0161734	0.0229216	0.0365571	0.0989968
cuisine	0.0297098	0.0174925	0.0106186	0.006433	0.0056953	0.00521036	0.00552608	0.00340252	0.00325128	0.0029227	0.00231847	0.00200728	0.00194366	0.00209625	0.00212039	0.00225677	0.00278513	0.00536704	0.00514281	0.00784852	0.0115176	0.0103772	0.0219115	0.0156565	0.0227979	0.0379388	0.0396547	0.0380925	0.0461763	0.0482708	0.0485271	0.0598293	0.0615421	0.0339779	0.0403027	0.0245027	0.0457443	0.0243518	0.0348227	0.0376246	0.0106901	0.01095	0.00760044	0.00886393	0.00944028	0.0133465	0.0167201	0.0189272	0.0276728	0.048021
exprime	0.0836745	0.0234749	0.0103331	0.00810075	0.0065763	0.00424389	0.00291935	0.0020356	0.00161814	0.00175444	0.002113	0.00169712	0.0016212	0.00168227	0.00244669	0.00254469	0.00374965	0.00560506	0.00828942	0.010579	0.0121354	0.00710439	0.0246784	0.0119504	0.0228552	0.0478623	0.050167	0.0347548	0.0625357	0.0435807	0.0618745	0.0306112	0.0445071	0.0247479	0.0406023	0.0283618	0.0401032	0.0266645	0.0218521	0.021934	0.010262	0.00814833	0.0072674	0.00942681	0.0102068	0.0106256	0.0137533	0.0216325	0.0252605	0.0394748
sa	0.182312	0.0454501	0.0190701	0.0124289	0.00813717	0.00541912	0.00377581	0.00248284	0.00231328	0.00244012	0.00297311	0.0025415	0.00207877	0.00187981	0.00195946	0.00227488	0.0039271	0.012369	0.0229557	0.0427831	0.0703011	0.0101526	0.030481	0.011304	0.0151618	0.0235435	0.0248113	0.0145311	0.0342437	0.0172959	0.033546	0.0161954	0.0262881	0.0120486	0.0317017	0.0125735	0.023085	0.0135251	0.0127486	0.0155079	0.0104242	0.0106036	0.00654259	0.0108095	0.0137987	0.0176231	0.0148808	0.023073	0.0238383	0.0397878
avidité	0.0400121	0.0155623	0.0104966	0.00908567	0.00503841	0.00482877	0.00466279	0.0036569	0.00335727	0.0101663	0.018042	0.0150406	0.00862198	0.01195	0.0134578	0.00788339	0.0224746	0.0228666	0.0351159	0.0313079	0.0388152	0.0100834	0.0162925	0.0102237	0.0134527	0.0177266	0.0173655	0.0150549	0.019923	0.0157691	0.0208679	0.0202215	0.018181	0.0111898	0.0150215	0.010534	0.0181967	0.0154278	0.0134029	0.0168651	0.016341	0.0192043	0.0264038	0.0286529	0.0295252	0.0447441	0.045397	0.0498465	0.0499922	0.0616501
</S>	0.0807262	0.0277416	0.0153713	0.0115566	0.00619263	0.0130194	0.00669576	0.00413283	0.00570096	0.00465832	0.00436055	0.00276556	0.00220254	0.00321248	0.00627233	0.0089542	0.0147666	0.0190501	0.0221807	0.0270308	0.04593	0.0387942	0.0543779	0.0351195	0.0213611	0.0469098	0.0335119	0.0258707	0.0352788	0.018989	0.0239406	0.0283541	0.0246337	0.0129907	0.0135534	0.00703136	0.0117869	0.00986713	0.0145358	0.014092	0.0119672	0.015169	0.0109927	0.0105741	0.0126166	0.021349	0.0343799	0.0290429	0.0240964	0.0262924
