 	e	l	e	b	h	í	í	l	í	y	é	é	l	é	b	h	í	l	á	w	á	a	b	v	i	á	y	é	á	m	i	y	ú	r	á	n	d	z	a	a	</S>
la	0.0105985	0.0126915	0.0113199	0.0183834	0.01451	0.00611765	0.00886319	0.0156239	0.0149863	0.0160377	0.0344497	0.046603	0.0385165	0.0522351	0.0782604	0.0311133	0.0290341	0.0337094	0.0255099	0.0157039	0.0122603	0.0166146	0.0415405	0.0580441	0.0226668	0.0146662	0.0151122	0.00962886	0.0166058	0.0137001	0.0120324	0.0137258	0.0121039	0.0232191	0.0156198	0.0332589	0.0320308	0.0282675	0.0370415	0.0350422	0.0225513
manière	0.0175724	0.0220021	0.0569352	0.035721	0.0336644	0.0206141	0.0205837	0.015552	0.0311626	0.0208911	0.0409773	0.0438884	0.0216276	0.0649553	0.0234041	0.0260754	0.0226413	0.0251306	0.0217425	0.0245472	0.0318449	0.0468396	0.112324	0.0454033	0.0118312	0.0255079	0.0139639	0.00840175	0.00552819	0.0133086	0.013849	0.0165653	0.00632412	0.0101276	0.0084016	0.0110438	0.00445409	0.00806297	0.00838535	0.00493157	0.00321256
dont	0.224475	0.0392872	0.0293935	0.0242143	0.0208719	0.0270767	0.0274634	0.0210524	0.0106671	0.00822754	0.00625203	0.00956056	0.00664055	0.0150586	0.0138274	0.0131953	0.0208723	0.0278739	0.031705	0.0351688	0.0429021	0.032738	0.0473169	0.033965	0.0127985	0.0293873	0.0156495	0.017357	0.0111075	0.0186463	0.0153089	0.015094	0.0137524	0.0139048	0.0205722	0.00738477	0.00777762	0.00682051	0.00670907	0.00708263	0.0108416
il	0.0453995	0.0539394	0.0465648	0.0357037	0.0325039	0.0429589	0.0294176	0.0261993	0.0160735	0.0129166	0.015137	0.0238037	0.0251877	0.0181195	0.0206342	0.0139353	0.0126049	0.0197875	0.0111517	0.00842516	0.0149317	0.0146172	0.058947	0.058117	0.0217672	0.021807	0.0245827	0.024572	0.0230675	0.0217474	0.0311335	0.0144233	0.012249	0.0149672	0.0107174	0.00781221	0.00995425	0.00781179	0.0128115	0.0111414	0.0723579
se	0.0458115	0.0413017	0.0384686	0.0542258	0.0391552	0.0466662	0.059222	0.038904	0.030564	0.0135036	0.0125173	0.01479	0.0158433	0.0231364	0.0233636	0.0245728	0.026948	0.0319478	0.0143553	0.0101598	0.018776	0.0264094	0.0370636	0.0307881	0.0188449	0.0364135	0.0232023	0.0312086	0.0136231	0.0151851	0.0229934	0.0201781	0.0164244	0.0170659	0.0117687	0.00519302	0.00765064	0.00462681	0.00596046	0.00666971	0.0244973
gave	0.0329109	0.0389988	0.045778	0.0625688	0.0523299	0.0385278	0.0327476	0.0291313	0.0427401	0.0284084	0.0291777	0.0310656	0.0245708	0.039372	0.0258727	0.0319679	0.0322335	0.0323758	0.0223001	0.0107286	0.0155291	0.0133092	0.0209874	0.0140413	0.00480633	0.0181586	0.0112944	0.0110361	0.0057737	0.00777865	0.00787912	0.0204882	0.021171	0.022397	0.0202113	0.00930043	0.0143569	0.00879449	0.0114195	0.0166374	0.0408236
d'	0.0708585	0.0389897	0.0258721	0.0306424	0.0178041	0.0173979	0.0228569	0.019038	0.0145709	0.0145144	0.0148618	0.0169546	0.0174093	0.0156873	0.0166304	0.0193981	0.0190293	0.0147115	0.00876069	0.00891345	0.00850558	0.0148067	0.01496	0.0146588	0.0226685	0.0237948	0.0329125	0.046717	0.0371843	0.0344038	0.0183211	0.0168336	0.0138944	0.00805195	0.01062	0.0109867	0.0361344	0.0217453	0.026305	0.0408017	0.120792
oseille	0.0490011	0.0542616	0.0463989	0.0569264	0.0260476	0.018638	0.0277757	0.0358534	0.0268813	0.0229444	0.0207432	0.0209548	0.0193263	0.0143602	0.0150106	0.0215068	0.0215835	0.0127695	0.00886402	0.00898766	0.00898503	0.0112038	0.0092618	0.0095497	0.0126979	0.00914481	0.0135223	0.0109238	0.00938666	0.00795622	0.00376232	0.0108284	0.00920372	0.00652004	0.00672903	0.00941248	0.03833	0.0271246	0.0278383	0.0466419	0.182142
montre	0.041257	0.0314492	0.0380273	0.0428001	0.0272146	0.019637	0.0138465	0.0187506	0.0181329	0.0194303	0.0205129	0.0205379	0.0193685	0.0206465	0.0233661	0.0408326	0.0339471	0.0253806	0.0271248	0.0177139	0.0246601	0.0175766	0.0165393	0.0145123	0.0155649	0.0212544	0.0266913	0.0269653	0.0236622	0.0173851	0.0124782	0.0207985	0.00918195	0.00699449	0.00639004	0.00751453	0.0218162	0.0156762	0.0184981	0.0287496	0.127114
qu'	0.0520706	0.0797594	0.0569551	0.0578661	0.047134	0.0599067	0.0603718	0.0197937	0.014652	0.0139331	0.0121143	0.016079	0.0192542	0.00925046	0.0126416	0.0141511	0.0138666	0.0200276	0.0168341	0.0210691	0.0254052	0.0176212	0.0180118	0.020984	0.017259	0.0164787	0.0217477	0.0239861	0.0210681	0.0180289	0.0170694	0.0113872	0.00752693	0.00794924	0.00937683	0.00662913	0.0106603	0.0114279	0.0182843	0.0201713	0.061196
