 	m	ó	ε	b	h	a	n	á	a	y	é	l	ώ	s	ω	í	d	z	e	o	p	f	ú	á	i	y	í	í	k	a	á	</S>
cette	0.0114815	0.0147608	0.00961292	0.0138623	0.0229807	0.0251833	0.0193877	0.0170793	0.029332	0.0425837	0.0473152	0.063542	0.0511822	0.0481653	0.048408	0.047294	0.0364474	0.0325799	0.0180055	0.026173	0.0226323	0.0251319	0.0191874	0.0231148	0.0182644	0.0291273	0.032188	0.0408905	0.0482133	0.0445674	0.0441527	0.0271533
année	0.0437202	0.0537717	0.0963395	0.0884781	0.0783575	0.0886436	0.147629	0.0609675	0.0558258	0.0918823	0.0520592	0.0335799	0.0192109	0.00673565	0.00475195	0.0044504	0.00340456	0.00378628	0.00205273	0.00194673	0.00268193	0.00502669	0.00168063	0.00557752	0.005269	0.0102656	0.00819675	0.00620189	0.00784378	0.00463294	0.00289061	0.00213901
le	0.0788271	0.0288355	0.0395049	0.0165998	0.0188931	0.0150083	0.0101857	0.0139058	0.0117699	0.0198103	0.0170022	0.019135	0.0316084	0.0445169	0.0657147	0.0700709	0.0332483	0.0537396	0.0420939	0.0531247	0.0432332	0.034443	0.0413805	0.0301655	0.0430771	0.0396534	0.0239692	0.0220183	0.0158624	0.0102021	0.00782091	0.00457939
riz	0.0784799	0.0861531	0.0753742	0.0533071	0.0775994	0.0480579	0.0306284	0.0253327	0.0221696	0.0233065	0.0298666	0.0106168	0.0150423	0.0249379	0.0362698	0.0257506	0.0482376	0.0376108	0.030287	0.0235457	0.0303092	0.0217299	0.0237936	0.0141005	0.0125154	0.0225088	0.00854754	0.0114557	0.00695354	0.00681901	0.0131957	0.0254972
n'	0.113658	0.0475856	0.0519944	0.0208618	0.0240427	0.0166234	0.0128261	0.0154561	0.0143243	0.014681	0.0190032	0.0183836	0.0204317	0.0309015	0.034742	0.0392295	0.0419067	0.0643709	0.0697569	0.0443743	0.0364106	0.0376619	0.0569174	0.0243798	0.0493687	0.0243309	0.00840906	0.00484686	0.00171976	0.00210523	0.00848909	0.0302067
a	0.0715038	0.0235077	0.0418043	0.0143449	0.0309314	0.0190171	0.0177102	0.0276912	0.0157133	0.0128841	0.0137294	0.012011	0.0130379	0.0184094	0.054508	0.0480854	0.0591818	0.1153	0.151379	0.0697487	0.0462706	0.0304797	0.0232638	0.0116178	0.0172723	0.0125402	0.00795019	0.00582085	0.00262486	0.00230828	0.00254155	0.00681138
pas	0.141525	0.0901401	0.050401	0.0470866	0.0503433	0.0360671	0.0233577	0.0310935	0.0216254	0.0199372	0.0197262	0.0265909	0.0285522	0.039528	0.0216549	0.0161318	0.0127335	0.0193872	0.0224816	0.0252872	0.021817	0.0255334	0.0192813	0.0185742	0.0274641	0.0304911	0.0250393	0.0178775	0.0232097	0.0126363	0.0119415	0.0224841
donné	0.0358982	0.0180058	0.0142459	0.0128864	0.0138262	0.0116432	0.00737254	0.00736104	0.00556832	0.00537604	0.00701281	0.01125	0.0201941	0.0398838	0.029893	0.0269299	0.0367645	0.049254	0.0589536	0.0673687	0.0460084	0.0744949	0.0640863	0.0570973	0.0660033	0.0466019	0.0281181	0.0238113	0.0202194	0.0191117	0.0279006	0.0468585
beaucoup	0.0171306	0.0117165	0.0131998	0.01172	0.0115133	0.00710601	0.00491127	0.0069496	0.00510927	0.00613663	0.0092298	0.0155486	0.0249157	0.0676849	0.0514341	0.0454308	0.0557295	0.063102	0.079369	0.0639338	0.0382719	0.0756129	0.04671	0.0711697	0.0338545	0.0299922	0.0194166	0.0154803	0.0179529	0.0199093	0.0168257	0.0429328
</S>	0.0854098	0.0460176	0.0408074	0.035294	0.0226723	0.0116864	0.00805776	0.0098986	0.00725945	0.00924012	0.0109087	0.0156323	0.0170678	0.0265442	0.0158589	0.019231	0.0278489	0.0408826	0.0481586	0.0389694	0.0225505	0.0327371	0.0204981	0.0308915	0.0179792	0.0551981	0.0192734	0.02156	0.0450873	0.0316823	0.0550427	0.110054
