 	n	g	á	l	í	i	s	ω	n	g	ώ	n	d	é	n	g	é	y	é	é	b	h	é	m	b	á	a	s	w	é	s	á	m	á	a	</S>
j'	0.1148	0.376553	0.327783	0.0711884	0.0227712	0.0181312	0.0160564	0.00611418	0.00448441	0.00112632	0.00089846	0.00098733	0.00135483	0.00138522	0.00132204	0.00157526	0.00159284	0.00219298	0.00224342	0.00193072	0.00207036	0.00166671	0.00184658	0.0012919	0.00147182	0.00123504	0.00136113	0.00171962	0.00183075	0.00158123	0.00145315	0.00163609	0.00154054	0.00158117	0.0016052	0.0016177
observe	0.0180104	0.0120999	0.0144562	0.0160042	0.0127982	0.0127436	0.0924888	0.102232	0.0872793	0.0702185	0.0790322	0.114167	0.0519096	0.0404668	0.0390381	0.0271158	0.0242904	0.0141376	0.0165365	0.0122325	0.00859068	0.00700898	0.0046561	0.00416722	0.00429096	0.00495007	0.00488604	0.00455321	0.00643336	0.00652182	0.00998247	0.00780727	0.0149873	0.0169478	0.0134945	0.0234644
comment	0.0533294	0.0523723	0.028169	0.0263854	0.0141154	0.0177989	0.00556206	0.00593516	0.00477277	0.00650057	0.00977871	0.0153619	0.0179159	0.0205878	0.0244019	0.0241218	0.037747	0.0367268	0.0219641	0.0454678	0.0407275	0.0415058	0.0368911	0.0367662	0.0429875	0.0295428	0.0458012	0.0294648	0.0322013	0.0238768	0.0257463	0.0374869	0.029355	0.0276484	0.0277296	0.0232539
nagent	0.0172172	0.0207819	0.0296677	0.0187305	0.00770076	0.00808913	0.00722159	0.0105972	0.00870547	0.0141223	0.0175079	0.0176572	0.0217465	0.0312354	0.0408503	0.0419562	0.0554341	0.0618374	0.0509502	0.0803344	0.0575735	0.0445562	0.0474638	0.0353473	0.033179	0.0321452	0.0373677	0.0207804	0.0140344	0.00851692	0.0131711	0.0126455	0.0174675	0.0130228	0.0182498	0.0321355
les	0.0258955	0.0347584	0.0278931	0.0276714	0.00880025	0.00544036	0.00558025	0.0103908	0.0133501	0.0223046	0.0266425	0.0277869	0.0310429	0.033211	0.0295438	0.0267262	0.0322705	0.0340694	0.0268362	0.0540752	0.0299003	0.0520563	0.0382863	0.0366051	0.0485727	0.0276534	0.032938	0.023198	0.0116402	0.0109497	0.0185646	0.0169153	0.0230968	0.020063	0.0311983	0.0740724
poissons	0.00700731	0.00624383	0.0102924	0.0059679	0.00584092	0.00861672	0.0170661	0.0231246	0.0255639	0.0304573	0.0238908	0.0218156	0.0276619	0.0576365	0.061017	0.057362	0.0476188	0.0515236	0.041048	0.0470263	0.0362738	0.0322811	0.0247333	0.0213488	0.0340883	0.0272592	0.0282449	0.019478	0.0102015	0.0171708	0.0127419	0.0171669	0.0119464	0.0218178	0.028266	0.0801998
dans	0.0182262	0.0413719	0.0408014	0.0413233	0.024153	0.0098717	0.0156302	0.0205437	0.0151899	0.018137	0.0133708	0.0139403	0.014493	0.022492	0.0258231	0.0264151	0.0332786	0.039606	0.0364163	0.0454336	0.0330511	0.0352739	0.0340413	0.0306546	0.0373503	0.0164476	0.0335447	0.0228972	0.0117084	0.0144307	0.0253742	0.0129475	0.0248874	0.0235874	0.0451056	0.0821811
l'	0.0370751	0.0826754	0.0843196	0.0772175	0.0188625	0.00731531	0.00683986	0.0147901	0.0173935	0.0192941	0.0150756	0.0130849	0.0167116	0.0210034	0.0235759	0.030571	0.0274061	0.0388641	0.0241412	0.0445127	0.0290002	0.0286378	0.0190269	0.0131788	0.0217935	0.01229	0.0145337	0.0172058	0.0209118	0.0167179	0.0196674	0.0233353	0.0264512	0.0268777	0.0324214	0.0572212
eau	0.044123	0.0736854	0.0576051	0.0858209	0.0227465	0.00731576	0.00458004	0.00747147	0.0105233	0.0122467	0.0113809	0.010804	0.0108913	0.0102801	0.0115207	0.0149709	0.021043	0.0260392	0.0212644	0.0416077	0.0212679	0.0338568	0.0279887	0.0231858	0.0245559	0.0123582	0.018876	0.0145306	0.0182809	0.0157212	0.021877	0.0244521	0.0296978	0.0318077	0.0431042	0.132519
</S>	0.0135277	0.0103592	0.0259721	0.0144165	0.00710115	0.00997234	0.0106176	0.0159767	0.0208445	0.031377	0.0275388	0.0283758	0.0306586	0.0250212	0.0192995	0.0152134	0.0223381	0.0249151	0.0230083	0.0411075	0.0162035	0.0270521	0.0278173	0.0278802	0.0237451	0.0201106	0.0286712	0.0272135	0.0238902	0.0172464	0.0296016	0.0226547	0.0317539	0.0370178	0.0597988	0.161702
