 	m	á	m	b	í	m	á	m	b	í	a	á	d	i	ó	m	w	é	s	é	</S>
les	0.0153256	0.0236261	0.0139621	0.0159401	0.0141258	0.0161716	0.0409179	0.0733463	0.0887623	0.114754	0.126224	0.10584	0.0851111	0.0455584	0.0353042	0.0214953	0.0283647	0.0267229	0.032007	0.0434353	0.0330052
résidus	0.0869034	0.129391	0.12416	0.120185	0.111594	0.0753396	0.085762	0.0510451	0.0327659	0.0414118	0.0388983	0.0410834	0.0194465	0.00487967	0.00246313	0.00392178	0.00376096	0.00735367	0.00688104	0.0069314	0.00582307
des	0.132759	0.0504091	0.0373265	0.0291333	0.0220849	0.0445789	0.0988395	0.0862473	0.0545783	0.032483	0.0513045	0.0503448	0.0420458	0.0661411	0.0308298	0.0284627	0.0333271	0.0341807	0.0284244	0.0317757	0.0147239
noix	0.0813526	0.0686907	0.0800503	0.0913389	0.108824	0.0969038	0.0813523	0.055426	0.0125599	0.0115236	0.0228117	0.0387316	0.0250369	0.0352648	0.0520826	0.0232692	0.0251623	0.0145684	0.0186605	0.0206518	0.0357379
de	0.0851808	0.0723329	0.0609464	0.064498	0.0434899	0.0514747	0.0463211	0.0166976	0.0108479	0.0116293	0.0131707	0.0189709	0.0218022	0.0233278	0.0431137	0.0463062	0.0352904	0.0516359	0.0735709	0.058545	0.150848
palmes	0.07691	0.0477741	0.0547912	0.0816395	0.0867215	0.0926387	0.0742351	0.0357511	0.0287242	0.0224584	0.0221341	0.0235648	0.0160431	0.02201	0.0288596	0.0245512	0.0211734	0.0428292	0.051033	0.0629119	0.0832459
sèchent	0.077474	0.0371322	0.0311781	0.0307994	0.0403848	0.0367883	0.0307575	0.0340379	0.0267027	0.0273856	0.0309132	0.0362677	0.0375657	0.0562376	0.0647894	0.0579086	0.0412803	0.0666275	0.0690841	0.0760461	0.0906393
au	0.0551951	0.0452808	0.0447691	0.0388535	0.0491757	0.0444898	0.0391071	0.0444568	0.0314811	0.0366624	0.0405222	0.0343613	0.027292	0.0320786	0.0419076	0.0490949	0.0565853	0.0488457	0.0579002	0.0582392	0.123701
soleil	0.071968	0.0521117	0.0451429	0.0428924	0.0382104	0.0275397	0.0198132	0.0113588	0.00675849	0.00849056	0.010871	0.00968943	0.00963251	0.0149883	0.0330925	0.0458038	0.0317258	0.0489517	0.0959627	0.141524	0.233472
</S>	0.0644985	0.0400868	0.037444	0.0372929	0.0339001	0.0266295	0.0237	0.0152525	0.00820228	0.0107041	0.0135434	0.0147584	0.0130017	0.0254764	0.0649546	0.077522	0.0957763	0.0757495	0.0949186	0.096777	0.129811
