 	p	o	o	w	á	á	é	d	í	p	i	b	a	r	e	m	í	b	h	é	m	b	a	l	a	k	ó	l	i	á	d	í	l	a	b	ώ	m	ώ	</S>
la	0.0078685	0.00431091	0.00534711	0.0197627	0.0257222	0.025894	0.0233404	0.0125868	0.0121363	0.0266409	0.0258385	0.0454003	0.0326329	0.0419279	0.0350639	0.023882	0.0241327	0.0331518	0.0323908	0.0365458	0.0265426	0.03726	0.0470301	0.0381887	0.0445984	0.0310261	0.0231879	0.0179641	0.0400374	0.018718	0.0245288	0.024916	0.0288243	0.0194486	0.0205235	0.0142191	0.0150733	0.0178514	0.0154853
nuit	0.0484	0.0869703	0.198987	0.142149	0.0843719	0.0738863	0.0579553	0.0286846	0.011769	0.0107304	0.00974094	0.0154306	0.00696301	0.00743214	0.00626081	0.0108775	0.01677	0.0214514	0.0211738	0.0187082	0.0161331	0.00816748	0.0136942	0.00513877	0.00791933	0.00823201	0.00836928	0.00878694	0.00409742	0.00515974	0.0036907	0.00645658	0.00543642	0.00704706	0.0054633	0.00349227	0.00245319	0.000886041	0.000663627
quand	0.0369059	0.0173285	0.0184543	0.0160565	0.0174389	0.0126397	0.0264301	0.0147277	0.0216313	0.0141575	0.00878376	0.00854368	0.00855386	0.010345	0.00929927	0.0162911	0.0269655	0.0267007	0.0316172	0.0385691	0.0353372	0.0327814	0.0311344	0.0352213	0.0407298	0.0440688	0.0517061	0.0438555	0.0870909	0.0353562	0.035583	0.0384331	0.0259265	0.0237525	0.0176164	0.010362	0.0110648	0.0144482	0.0040923
le	0.00851987	0.00928538	0.01612	0.0173805	0.0070874	0.00448798	0.00689966	0.0124532	0.0129497	0.00932952	0.0114123	0.00529316	0.0113219	0.0133936	0.0132315	0.0415998	0.0610094	0.0898968	0.0555233	0.10925	0.0689956	0.0540471	0.0614213	0.0649386	0.0415439	0.0233498	0.0319074	0.0208092	0.0118509	0.0145429	0.00858493	0.00537188	0.00531246	0.00697	0.00787496	0.0113276	0.0146916	0.0148623	0.0151527
village	0.0281995	0.0277923	0.0260849	0.0308383	0.0219488	0.0266095	0.0290863	0.0261134	0.026642	0.0234031	0.0117989	0.0219292	0.0231239	0.0236147	0.0191235	0.0227669	0.0610396	0.0415325	0.0529928	0.0629662	0.0444548	0.0459337	0.0322218	0.0202748	0.0152718	0.0175514	0.0165268	0.0154819	0.0107753	0.0145671	0.0124058	0.0125134	0.0133031	0.0105006	0.0159189	0.0155771	0.0186855	0.018154	0.042276
est	0.0913414	0.0599004	0.0482694	0.0328369	0.0225056	0.0200466	0.0254655	0.0339703	0.0488541	0.0173846	0.0174959	0.0115398	0.013197	0.0118322	0.0100759	0.0165098	0.0260436	0.0315541	0.0321875	0.054574	0.0542162	0.0443838	0.0304173	0.0308952	0.0123393	0.0189243	0.0184824	0.0279141	0.0137933	0.0174536	0.00737398	0.0107311	0.0044635	0.00722241	0.00662013	0.0112099	0.0123279	0.0155037	0.0301433
obscur	0.0401533	0.0292281	0.0246851	0.0272729	0.0234618	0.0243509	0.0248964	0.0232825	0.0179364	0.0165584	0.0196682	0.0214251	0.0174227	0.0186515	0.0203253	0.0160148	0.0186828	0.0188023	0.017387	0.0230366	0.0239081	0.0221597	0.0212771	0.0190533	0.00767339	0.0200223	0.0304326	0.0534631	0.0217145	0.0376056	0.0278687	0.0293375	0.0271845	0.0300672	0.0298084	0.0363092	0.0371903	0.0295023	0.0521802
les	0.0340425	0.0352157	0.0346081	0.0392958	0.0400843	0.0472034	0.0675189	0.0528393	0.046909	0.0184386	0.0237958	0.0197651	0.0148772	0.0143771	0.00877847	0.0110825	0.00983249	0.0102841	0.00727149	0.00968198	0.00843073	0.0130332	0.0108129	0.0123959	0.00811143	0.00712441	0.0137111	0.0195683	0.0102885	0.0213501	0.0137435	0.0136654	0.0131578	0.0225336	0.016986	0.0397579	0.0495984	0.0544414	0.105388
gens	0.103038	0.0555282	0.0404542	0.0265587	0.0165131	0.0130778	0.0155973	0.00842163	0.00512352	0.00557523	0.00864559	0.0122344	0.0125542	0.0127677	0.0149373	0.0176235	0.018661	0.0175144	0.0210084	0.0262912	0.0284208	0.0219333	0.020135	0.0274466	0.0186167	0.0302919	0.0305579	0.0390693	0.0199815	0.0227893	0.0153243	0.0140803	0.0190016	0.0173976	0.0291993	0.0373226	0.0428703	0.0480874	0.0653484
ont	0.104359	0.0490449	0.0313941	0.0187252	0.0122944	0.00971244	0.0103857	0.00724723	0.00727112	0.00661996	0.0103395	0.00525814	0.00581113	0.0061641	0.0100136	0.0118106	0.0113563	0.0107723	0.0144148	0.0190036	0.0270768	0.0181056	0.0140754	0.0221921	0.0148292	0.0241912	0.0314644	0.0398224	0.0174454	0.030771	0.0178228	0.0161315	0.0178295	0.022916	0.0415596	0.0635443	0.0657165	0.0730047	0.079503
peur	0.127113	0.0510957	0.0271431	0.0224607	0.016772	0.00934385	0.00844145	0.00613471	0.00655085	0.00582133	0.00781937	0.00441183	0.00610374	0.00649148	0.0110582	0.00954745	0.00822541	0.00771272	0.0102087	0.0124146	0.0175741	0.014666	0.0101335	0.0140642	0.00821703	0.0151836	0.0220031	0.0308905	0.0176991	0.0275619	0.0182115	0.0170329	0.0188772	0.0287588	0.0387406	0.0647709	0.0776487	0.0944044	0.0986911
de	0.0531828	0.0466748	0.037904	0.0379109	0.0314285	0.0134801	0.0157679	0.0109488	0.00851981	0.00991034	0.00982166	0.010319	0.0152535	0.0165648	0.0194271	0.0190192	0.0225415	0.0215386	0.0308636	0.0168864	0.0194332	0.0122539	0.0100336	0.0147029	0.0120128	0.0217271	0.0249462	0.0359356	0.0211455	0.0227766	0.0231495	0.0158762	0.0224798	0.0170456	0.0310723	0.0312974	0.0458613	0.0626023	0.107685
se	0.0874992	0.0542186	0.0313925	0.0366737	0.0358255	0.0193885	0.0176343	0.013682	0.00964607	0.00976084	0.00766596	0.0112087	0.0155315	0.0143848	0.0153968	0.0150697	0.0154597	0.013772	0.0141309	0.0128308	0.0121859	0.0125289	0.0100645	0.0104737	0.00821798	0.0126903	0.0190464	0.0298241	0.0280051	0.0302574	0.0319196	0.0217162	0.0253369	0.0222631	0.031252	0.0320596	0.049901	0.0622787	0.0988063
promener	0.0275849	0.0220866	0.0135022	0.0127183	0.00976822	0.00608084	0.0047118	0.0042068	0.00439401	0.00846236	0.00397752	0.00789671	0.01173	0.00812856	0.011167	0.0062076	0.00508324	0.00422205	0.00668301	0.00484822	0.00697531	0.00620684	0.00712252	0.00899021	0.00862159	0.0151129	0.0139063	0.0228807	0.0177491	0.0279137	0.0266775	0.0291195	0.0428421	0.0361129	0.0724289	0.0742943	0.113039	0.141366	0.145181
</S>	0.0350312	0.0330798	0.029646	0.0197876	0.0236781	0.0195401	0.0254701	0.0264821	0.0261737	0.0314281	0.0161017	0.013774	0.0147312	0.0127545	0.0182638	0.0122852	0.0298602	0.0267425	0.0348389	0.0206991	0.0254518	0.0232695	0.0123583	0.0140873	0.00741692	0.0124702	0.0177935	0.0221431	0.0129743	0.0174457	0.0237873	0.0173274	0.0255685	0.0170452	0.031096	0.0366896	0.036672	0.0459362	0.130099
