 	o	y	ú	r	u	w	ó	l	á	a	s	a	n	d	z	á	l	á	s	u	é	ó	b	o	s	ó	b	é	t	á	l	a	</S>
cette	0.0058145	0.00651903	0.0068262	0.00392483	0.00609571	0.00541021	0.00389463	0.00862021	0.0100476	0.0141051	0.00888897	0.0269751	0.035066	0.0358373	0.0439133	0.0310791	0.0378247	0.0203388	0.0333612	0.0287817	0.0298017	0.0228631	0.0324808	0.0314056	0.0406516	0.0514687	0.0480966	0.0671513	0.0707609	0.0720067	0.0615981	0.0469603	0.0514304
femme-ci	0.185212	0.215343	0.261246	0.163589	0.0433707	0.0468456	0.0192373	0.00671814	0.00699896	0.00362904	0.00553712	0.00211537	0.000601016	0.00140152	0.00145523	0.0012152	0.00129708	0.00112376	0.00134465	0.00201362	0.00215196	0.00315723	0.00211177	0.00318292	0.00268449	0.00368089	0.00427324	0.00295306	0.00236534	0.00119215	0.000969147	0.000554769	0.000428883
est	0.0220584	0.0151863	0.017626	0.0213311	0.0192197	0.0433898	0.0498826	0.0498752	0.0746659	0.0569971	0.0539763	0.0457837	0.0348011	0.0460916	0.0674807	0.0487201	0.0373282	0.0356051	0.0305624	0.0220048	0.0135281	0.0106859	0.0238848	0.018261	0.0208954	0.0297042	0.0352153	0.0150991	0.0111877	0.00888405	0.0084456	0.00740217	0.00422029
en	0.0182602	0.0306827	0.0420465	0.0641837	0.0477225	0.0621529	0.0478405	0.0264679	0.0292961	0.0156793	0.0189461	0.0175886	0.021856	0.0156715	0.0362276	0.0402726	0.050771	0.0424487	0.0386857	0.0402701	0.0365326	0.0311879	0.0278673	0.0243779	0.0151979	0.020332	0.0142491	0.0189681	0.0166406	0.0199966	0.0231198	0.0207534	0.0237065
train	0.0259406	0.0451944	0.0492202	0.0394335	0.0252394	0.015981	0.0158112	0.0172695	0.0149167	0.0123768	0.011703	0.0190226	0.0141927	0.0199607	0.0229712	0.0306566	0.0364676	0.0373012	0.0401264	0.0369631	0.0391352	0.0500556	0.0407308	0.0378737	0.0369207	0.054052	0.0403432	0.037668	0.0315574	0.0235469	0.0213861	0.0244754	0.0315066
de	0.0344398	0.0351273	0.036196	0.0356292	0.0336486	0.0319774	0.0192116	0.0238207	0.0198646	0.0147519	0.0177576	0.0184668	0.0225069	0.0121992	0.0179753	0.0149519	0.020876	0.0114848	0.013137	0.0131352	0.010535	0.0128261	0.0102192	0.0118291	0.012009	0.00897969	0.0121087	0.0225196	0.0246077	0.0513133	0.0852189	0.0728915	0.217784
peigner	0.0260863	0.0189388	0.0265847	0.0410459	0.0246698	0.0307392	0.0309355	0.0304742	0.0333798	0.0188543	0.0423117	0.0208866	0.0218072	0.0267402	0.0414687	0.0423671	0.0403211	0.0394536	0.0433447	0.0353486	0.0391273	0.0355076	0.0295631	0.0212903	0.0201866	0.0248698	0.0212165	0.0224598	0.023999	0.0267236	0.0228952	0.0275933	0.04881
ses	0.057871	0.0350561	0.0239159	0.0155012	0.0166955	0.0118209	0.0144394	0.0237768	0.0147658	0.0109172	0.00968135	0.0191011	0.0168115	0.0134732	0.0178513	0.021919	0.03023	0.0315675	0.0291469	0.0330399	0.0327669	0.0427344	0.0296368	0.0339217	0.0413172	0.0314351	0.0386649	0.0421524	0.0318227	0.0359625	0.0362403	0.0482871	0.107476
cheveux	0.043308	0.040222	0.0371838	0.0261382	0.0267001	0.0206528	0.0114261	0.0156941	0.0101769	0.00565722	0.00544183	0.0127715	0.01887	0.0117082	0.0150901	0.0164022	0.022738	0.0194117	0.0336003	0.0272034	0.037858	0.0430872	0.0213387	0.0309123	0.0319271	0.0170874	0.019928	0.0327658	0.0292629	0.0264415	0.0325572	0.0600712	0.196366
devant	0.130304	0.107193	0.0674298	0.0349344	0.0187099	0.0127751	0.0114909	0.0288305	0.0187539	0.009688	0.0108376	0.0119945	0.0132238	0.00647158	0.00934558	0.0102957	0.0173676	0.0185109	0.0317873	0.0235941	0.0284101	0.0292551	0.0171683	0.0119439	0.0137917	0.0120518	0.0128741	0.0180772	0.0192297	0.01842	0.0285555	0.055097	0.141587
le	0.0810195	0.0552025	0.0250246	0.0126429	0.0110383	0.0101598	0.00931855	0.0123681	0.00969146	0.00784829	0.00491027	0.0127275	0.0119688	0.00967189	0.0152426	0.0161825	0.0211656	0.0225732	0.0241083	0.028417	0.0256732	0.0323227	0.0176249	0.0173844	0.0243619	0.0102438	0.0193851	0.0301174	0.0256265	0.0388222	0.0560566	0.0580051	0.243095
miroir	0.0288965	0.0175588	0.0149025	0.0126524	0.0115303	0.0125984	0.00720059	0.00920359	0.00898013	0.00692801	0.00593831	0.0140204	0.0127009	0.00628888	0.0140317	0.0184105	0.0280889	0.0323564	0.0296965	0.0298916	0.0277846	0.0266385	0.0179929	0.0160335	0.0142881	0.0110582	0.0164997	0.0289394	0.0304837	0.042829	0.0725141	0.131557	0.241506
</S>	0.0524877	0.0608218	0.0433259	0.0236147	0.015662	0.0123135	0.0103535	0.0210479	0.0201363	0.0115367	0.016117	0.0183928	0.0156299	0.00807793	0.0115785	0.013007	0.0197384	0.0132313	0.0255148	0.0307982	0.0414118	0.0439769	0.0185061	0.017083	0.0197361	0.012545	0.0139753	0.0253838	0.0312175	0.0353491	0.0374352	0.0907007	0.169293
