 	l	a	m	b	v	ú	á	y	ε	ε	n	ώ	í	w	ó	l	e	d	í	o	b	h	e	r	á	o	b	v	ú	r	á	ω	d	z	w	á	l	a	b	o	s	ó	k	a	á	</S>
avec	0.0124043	0.0114365	0.00803191	0.0126364	0.0136302	0.0249998	0.036944	0.0341021	0.0419501	0.0333545	0.0602084	0.0685432	0.061795	0.0522796	0.0573382	0.0315773	0.020034	0.0141244	0.00677452	0.00578694	0.00424305	0.00336798	0.00310644	0.00383297	0.00387953	0.00414307	0.0032755	0.00554508	0.00562217	0.0079868	0.010583	0.00795873	0.010401	0.00839075	0.0059319	0.0115811	0.0159861	0.0264462	0.0299256	0.0417112	0.0297878	0.032383	0.0394842	0.029475	0.0287721	0.0182283
la	0.122901	0.0527211	0.0265612	0.0300033	0.0283636	0.0164514	0.0226763	0.0272923	0.0286695	0.0497258	0.0564213	0.0821214	0.0948787	0.0354702	0.0355842	0.0259363	0.0227068	0.0173217	0.0158365	0.0237518	0.00752915	0.0264485	0.0047083	0.00558297	0.00472749	0.00346112	0.00545732	0.00647513	0.00739282	0.00684947	0.0100074	0.00798273	0.014922	0.0096044	0.00557927	0.00252374	0.00447414	0.00499191	0.00488142	0.00283501	0.00369844	0.00412268	0.00455961	0.00808956	0.00905435	0.00864666
pluie	0.0418178	0.049623	0.0454627	0.0388026	0.0460075	0.0378568	0.0445943	0.050526	0.0409265	0.0393546	0.0460725	0.0307972	0.0346379	0.021213	0.0291797	0.0228356	0.0229336	0.0123099	0.00601554	0.0101296	0.0110701	0.0178267	0.00453174	0.0051779	0.00418763	0.00362325	0.00356797	0.00520017	0.0063226	0.00928839	0.0122536	0.0121364	0.0193436	0.0143709	0.0172316	0.0129183	0.0174158	0.0140883	0.0119315	0.0240009	0.0189344	0.0208668	0.0185699	0.0182567	0.0146693	0.011119
qui	0.0148197	0.0120317	0.0131743	0.00928036	0.0108068	0.0107768	0.0109303	0.0111103	0.0160459	0.0208732	0.0193128	0.015575	0.0192576	0.00955491	0.012734	0.0170939	0.0207726	0.016377	0.0386691	0.0615031	0.0374338	0.0595345	0.0248588	0.0234626	0.0308137	0.0306824	0.0395538	0.0343448	0.0377954	0.031307	0.0269602	0.0356572	0.0447889	0.0318046	0.0341456	0.0278515	0.0120457	0.00867911	0.00632373	0.00718303	0.00694974	0.00618736	0.00527551	0.0104096	0.00875127	0.0165009
était	0.0177357	0.0165316	0.0187021	0.021244	0.021186	0.0237664	0.0209641	0.0173941	0.0136371	0.0138283	0.0115955	0.0112862	0.00817405	0.00850159	0.0136922	0.0208101	0.051521	0.0375498	0.064176	0.0505155	0.0379678	0.0573567	0.0281864	0.0310781	0.0239047	0.0102519	0.0113691	0.0164414	0.0158101	0.0175107	0.0214829	0.0200063	0.0163678	0.019527	0.0162808	0.0105226	0.0156945	0.014989	0.00716805	0.0165682	0.010659	0.00882437	0.00623373	0.0192724	0.0287924	0.0549228
tombée	0.022631	0.0198228	0.0212813	0.0181051	0.0219269	0.0208535	0.0182533	0.0163671	0.0133333	0.00905019	0.00909724	0.00904948	0.0102217	0.0122543	0.0157335	0.0240377	0.0281423	0.0223279	0.0227663	0.0172899	0.0160768	0.0175225	0.0174495	0.0267364	0.0325586	0.0237984	0.0296631	0.0334417	0.043519	0.0554428	0.0557034	0.0358941	0.0388461	0.0313754	0.0264302	0.00993446	0.0107401	0.0131997	0.00734787	0.0103895	0.00825281	0.00708612	0.00485427	0.0175337	0.0283393	0.0453192
on	0.0265741	0.0205316	0.0213639	0.0150973	0.0191156	0.016812	0.0161409	0.0178864	0.0169149	0.0108582	0.0113344	0.00932872	0.0110044	0.0104101	0.0152481	0.0205344	0.0225409	0.0160137	0.0148774	0.0120489	0.0120392	0.0176774	0.0178432	0.023367	0.0356865	0.0290566	0.0406718	0.0357472	0.0471387	0.0468626	0.04581	0.0420847	0.0415274	0.032566	0.0340317	0.0145394	0.0120725	0.0163608	0.0121818	0.0140464	0.0129254	0.0122618	0.00937537	0.0187978	0.0230686	0.0276247
ne	0.029232	0.0190117	0.0173461	0.0149599	0.0157472	0.0137928	0.0105371	0.00962149	0.00802197	0.00714626	0.00699069	0.00721569	0.00869381	0.0100529	0.01666	0.0180689	0.022101	0.023576	0.025539	0.0172541	0.0156886	0.018863	0.0177494	0.0203101	0.0281527	0.0223049	0.0366344	0.0266176	0.0337642	0.0336316	0.0320224	0.0364265	0.0378196	0.0314853	0.0413105	0.018887	0.0205533	0.0253372	0.0168137	0.0213657	0.0217717	0.0251884	0.0144115	0.0281265	0.0326857	0.04051
pouvait	0.0637527	0.0319012	0.0264659	0.01961	0.0219494	0.0194357	0.0146817	0.0134698	0.00985328	0.00674491	0.00715284	0.00673996	0.00917095	0.00660502	0.0149947	0.0143374	0.0155431	0.0149285	0.0180904	0.0127365	0.0151803	0.0263903	0.0215711	0.0291801	0.0327496	0.0322538	0.0520068	0.0352241	0.0453396	0.0361437	0.0366493	0.0387588	0.0389961	0.020215	0.0171932	0.0130506	0.0172395	0.0144891	0.0202727	0.0213111	0.0193207	0.01314	0.00792218	0.0117148	0.0161364	0.0193875
plus	0.0526291	0.0267188	0.0187762	0.0166361	0.0164662	0.0128534	0.0103916	0.0133157	0.0118084	0.0104585	0.0108531	0.0116356	0.0157743	0.0138895	0.0192054	0.0252939	0.0219181	0.017197	0.0238582	0.0184276	0.0171273	0.0299626	0.0247099	0.0291238	0.027939	0.0294002	0.0342367	0.0368053	0.0342071	0.029704	0.031633	0.0317523	0.0293353	0.0235737	0.0171862	0.0219865	0.0240457	0.0175997	0.0157275	0.014776	0.0157745	0.0144189	0.0120671	0.0171003	0.0220548	0.0296459
avancer	0.0443082	0.0228423	0.0188835	0.0144504	0.0141232	0.0110542	0.00519247	0.00547438	0.00442911	0.00430269	0.00392916	0.00386189	0.00465441	0.00306664	0.0101151	0.0083581	0.0142882	0.0210859	0.0504143	0.0783127	0.0320935	0.0791332	0.039645	0.0380893	0.0207962	0.0291927	0.0265013	0.0237068	0.0193174	0.0161681	0.0158306	0.0157391	0.0130111	0.0161905	0.0115976	0.00705409	0.00726178	0.0118641	0.0138352	0.0201846	0.0209469	0.0288941	0.0336855	0.0375533	0.0371554	0.0414062
</S>	0.0332676	0.0194269	0.0187044	0.0159787	0.0151052	0.0122393	0.00798709	0.00997175	0.00803915	0.00963172	0.0050987	0.00425814	0.00284111	0.00180947	0.00344553	0.00258503	0.0060034	0.0115089	0.0348613	0.0602587	0.0261753	0.135183	0.0538288	0.058674	0.0239873	0.0273309	0.0329846	0.0267652	0.0216096	0.0154382	0.0148834	0.0177264	0.0145151	0.0181535	0.016703	0.016192	0.0147507	0.0131926	0.0127932	0.0188805	0.021649	0.0241373	0.0182692	0.0214746	0.0219863	0.0296946
