 	e	d	z	e	b	í	s	í	ó	w	ó	m	á	b	í	s	í	l	é	t	έ	i	b	á	n	a	b	á	n	d	z	é	s	i	b	á	a	l	ώ	b	h	ώ	s	á	m	o	b	h	ó	</S>
quand	0.0130292	0.0157133	0.0152721	0.0148619	0.0155949	0.0221206	0.0184788	0.0282007	0.0305702	0.0455228	0.0432265	0.0527284	0.0484606	0.0417729	0.0630644	0.0561112	0.0259032	0.0211064	0.0213444	0.0200065	0.0148428	0.0124901	0.00798671	0.0101677	0.00663016	0.00796687	0.00700882	0.00852594	0.00867532	0.00703923	0.00617154	0.00615411	0.00531788	0.00439525	0.00513648	0.0106182	0.0124424	0.0236435	0.0288044	0.0226916	0.0136169	0.017054	0.0210214	0.0104786	0.0162727	0.0186907	0.0133581	0.0197693	0.0209642	0.0189763
nous	0.0268217	0.0181894	0.00893618	0.0116356	0.00516218	0.00622147	0.00249759	0.00493462	0.0091288	0.00851798	0.0198147	0.0816064	0.0793775	0.045559	0.16348	0.15022	0.0299693	0.0133322	0.0113172	0.0101941	0.00993101	0.0156344	0.00889475	0.0154136	0.010263	0.0186518	0.0190257	0.0135171	0.0194982	0.0141455	0.0166691	0.0164892	0.0340933	0.0086932	0.00533698	0.00346586	0.00684351	0.00506043	0.00359645	0.00484088	0.00364717	0.00492127	0.00430435	0.00321078	0.00419734	0.00646493	0.00412319	0.00314563	0.00306911	0.00593634
étions	0.102129	0.0619538	0.0265688	0.0141754	0.0210001	0.0142933	0.018723	0.0281667	0.0515232	0.0243721	0.0212797	0.0318412	0.0162668	0.0145106	0.0229646	0.0143696	0.0107215	0.00730011	0.00806212	0.00568998	0.00716646	0.00799813	0.00850856	0.00809787	0.00808676	0.00723771	0.0134933	0.00923865	0.0109186	0.0197512	0.0156499	0.0207933	0.0462958	0.031827	0.0270369	0.0250918	0.0275812	0.0242558	0.0144593	0.0176019	0.0164334	0.0140722	0.0107256	0.0112761	0.00957044	0.0125064	0.0114588	0.0124755	0.0178113	0.0166688
au	0.0177039	0.0136714	0.00916393	0.0118838	0.0110364	0.0118816	0.010933	0.0151501	0.0280589	0.0149744	0.0208931	0.0257939	0.0196697	0.0140034	0.0173007	0.0209722	0.0230969	0.0268297	0.025097	0.0430963	0.0467734	0.0479015	0.0514134	0.0484329	0.0343142	0.0386803	0.0500926	0.0523257	0.0307637	0.0286456	0.02408	0.0225158	0.0202416	0.00757331	0.0118	0.00776319	0.00665746	0.00540231	0.00439722	0.00384771	0.00342743	0.0038685	0.00362425	0.00245541	0.00461608	0.00754598	0.00652629	0.00999088	0.0110124	0.0221008
ruisseau	0.0180791	0.0175185	0.0147535	0.0248535	0.0197901	0.026982	0.0150727	0.0152796	0.0141175	0.00742213	0.0193222	0.033989	0.0183679	0.0148205	0.0394184	0.0251466	0.0378946	0.0257548	0.0239554	0.0210293	0.0223059	0.0206436	0.0124429	0.0144898	0.0106339	0.0237248	0.0152065	0.011888	0.0294927	0.00960264	0.00973973	0.0139173	0.0132645	0.012863	0.00940463	0.00340151	0.00571251	0.00763818	0.0110428	0.0134022	0.0206385	0.0260317	0.0166978	0.0103096	0.0178568	0.0241079	0.0187157	0.0255771	0.0242317	0.111449
vouma	0.025892	0.0339093	0.0268568	0.0431722	0.0369179	0.0500923	0.0285208	0.0283	0.0297491	0.0180603	0.0346665	0.0549438	0.0444257	0.03771	0.0614104	0.0369147	0.0277451	0.0175305	0.0158752	0.0163571	0.0141029	0.0134544	0.00871108	0.0052001	0.00436934	0.01333	0.00652948	0.00751411	0.0123122	0.00764991	0.00534072	0.00740248	0.0049927	0.00605279	0.00637947	0.00251939	0.00371626	0.00489245	0.00784998	0.00683031	0.0128022	0.0176064	0.011404	0.00773969	0.014822	0.0172021	0.0144383	0.0156498	0.0159292	0.0542066
nous	0.0379777	0.0252488	0.0178655	0.0270067	0.0233498	0.0257189	0.0209576	0.0203368	0.0164791	0.0126244	0.0130191	0.0170878	0.014882	0.0171575	0.0223131	0.0195082	0.0173527	0.0167267	0.0162354	0.0171046	0.0185489	0.0181361	0.0171073	0.0171362	0.0176329	0.0180341	0.0207433	0.0161647	0.016463	0.0204204	0.0183709	0.0204565	0.011914	0.0250521	0.0212661	0.01662	0.0153039	0.0152366	0.0170389	0.0140192	0.0188709	0.0201626	0.0185783	0.0246361	0.0241596	0.0297683	0.0247737	0.022533	0.0208023	0.0410979
avons	0.0495296	0.0323754	0.0208	0.0251713	0.0202157	0.020685	0.0135677	0.0161974	0.0120737	0.0131066	0.0126799	0.0176431	0.0154802	0.0168994	0.0236201	0.0217168	0.0167749	0.0181322	0.0178306	0.0169361	0.0223046	0.0190572	0.0175639	0.0184422	0.0195582	0.0203814	0.0303937	0.0187604	0.018537	0.0265463	0.0187427	0.0231821	0.0209745	0.0263308	0.0219282	0.0155999	0.0144667	0.0202509	0.0173728	0.0149305	0.0172057	0.0197703	0.0149252	0.0227006	0.0174313	0.0239174	0.0167033	0.0147082	0.0125442	0.033334
vu	0.0592315	0.0310399	0.0139051	0.0179003	0.0104572	0.0103056	0.00860524	0.0097068	0.0088366	0.0106141	0.00815924	0.011753	0.0113098	0.0141865	0.013826	0.0143111	0.0119773	0.0198862	0.0146558	0.0181228	0.0171097	0.0178461	0.0206217	0.020518	0.0207236	0.0211675	0.0212472	0.0215555	0.0227075	0.0223798	0.0229768	0.0238237	0.0236897	0.027642	0.0245655	0.0208355	0.0190326	0.02208	0.0221607	0.0224732	0.0243007	0.0287781	0.0290231	0.0218467	0.0215313	0.0225949	0.0235826	0.0230703	0.0250422	0.0262838
de	0.0291901	0.0186852	0.0111201	0.00963601	0.00693341	0.00491995	0.00547387	0.00588104	0.00664314	0.00717143	0.00486395	0.00538789	0.00574209	0.00667134	0.00694999	0.00855114	0.0131529	0.0231609	0.0182243	0.0254071	0.0219913	0.0233818	0.0288465	0.0306371	0.0309707	0.0240014	0.0284963	0.0273439	0.0270113	0.024636	0.0278224	0.0247385	0.0142566	0.018996	0.019527	0.0139039	0.0132089	0.0160435	0.0180988	0.0159342	0.0209657	0.0304804	0.0328425	0.0297593	0.0299403	0.0330244	0.0356841	0.0351865	0.039663	0.0388418
