 	m	v	ú	á	y	e	e	n	ώ	í	l	a	p	ó	a	á	y	í	n	i	s	i	o	k	y	ε	s	í	</S>
la	0.0132603	0.0153197	0.0145515	0.0149779	0.0121878	0.012579	0.0151162	0.0298467	0.0454396	0.0591829	0.0555817	0.136323	0.122428	0.0293501	0.0497729	0.0293183	0.0323951	0.0369151	0.0291523	0.0171831	0.0224654	0.0187662	0.0181652	0.0179404	0.0211727	0.0218342	0.0386631	0.0424187	0.0276929
pluie	0.0271448	0.042848	0.0604131	0.0599732	0.0407006	0.0796835	0.0346192	0.0264157	0.0340328	0.0399837	0.079207	0.121258	0.0520779	0.0375752	0.0587538	0.0436476	0.0356593	0.0229741	0.0125459	0.0173679	0.0181761	0.0155212	0.0116384	0.0083391	0.00700194	0.0056047	0.00421397	0.00175924	0.000863666
d'	0.120997	0.0738002	0.048396	0.0185954	0.0108089	0.0166608	0.0236585	0.0453468	0.051382	0.0953026	0.0861307	0.0494589	0.0257694	0.0304038	0.0169517	0.0206487	0.0131437	0.0168498	0.0269709	0.0208323	0.0315235	0.0280515	0.0323526	0.0220157	0.0161446	0.0169159	0.00978158	0.0166314	0.0144748
hier	0.0337663	0.0443099	0.116325	0.133688	0.109422	0.0997529	0.0788454	0.0776079	0.0443143	0.0517714	0.0317451	0.0210905	0.0177596	0.00784424	0.0152096	0.00956993	0.00469804	0.00668102	0.00615849	0.00746574	0.00630215	0.0058541	0.00795964	0.00517396	0.00682664	0.00724026	0.00651865	0.00788936	0.0282109
a	0.0675758	0.0454643	0.0618431	0.0476149	0.0318419	0.034797	0.0313337	0.0407519	0.0488306	0.0625521	0.0516183	0.0389095	0.0290814	0.0126636	0.0271892	0.0133598	0.0139257	0.0121521	0.0158643	0.0158604	0.0130981	0.0133812	0.0203317	0.0215154	0.022625	0.0301965	0.0434174	0.0334027	0.0988026
fait	0.0615774	0.0511859	0.0446678	0.0353284	0.0242758	0.0194899	0.0211982	0.0230262	0.0250319	0.0360202	0.0409734	0.0283802	0.0279512	0.0207433	0.036905	0.0277658	0.0308122	0.0361993	0.0450011	0.0474161	0.0224631	0.0257327	0.028281	0.0291569	0.0246376	0.0393397	0.0361852	0.0346378	0.0756168
déborder	0.0500139	0.0479348	0.040723	0.0364954	0.0335703	0.0270898	0.0309077	0.0317221	0.0308283	0.03017	0.0366907	0.0277848	0.0193512	0.0153241	0.0204792	0.0179076	0.0170478	0.0224658	0.030323	0.0495168	0.0342823	0.0352744	0.0374622	0.0317453	0.031359	0.0421207	0.0424626	0.0382004	0.090747
la	0.0441194	0.0374787	0.0218442	0.0301907	0.038753	0.0423433	0.041279	0.0397452	0.0253448	0.0274314	0.0256178	0.0151579	0.0195481	0.00613433	0.00928936	0.00961114	0.012034	0.00973023	0.0169925	0.0228833	0.0224635	0.025186	0.0392087	0.0424369	0.0665886	0.067911	0.0782175	0.0588976	0.103562
rivière	0.0552091	0.0610305	0.0365812	0.0376828	0.028233	0.0258881	0.0156063	0.0114911	0.00956514	0.0098338	0.0100698	0.00971333	0.0105026	0.00902889	0.0117107	0.0114154	0.00998889	0.00749314	0.010651	0.014566	0.0257582	0.0296818	0.0485222	0.0396462	0.046446	0.0724323	0.0491199	0.050303	0.24183
</S>	0.081413	0.0658614	0.0536063	0.0360359	0.0262364	0.0230644	0.0243894	0.0363368	0.0276008	0.0227748	0.0191765	0.0110661	0.00748846	0.00482257	0.0113365	0.00829463	0.00924332	0.00723975	0.0157545	0.0193116	0.0270889	0.0270308	0.0422144	0.0294155	0.0337654	0.0660296	0.0521509	0.0448731	0.166378
