 	i	k	ó	l	i	í	b	h	i	á	o	t	á	á	m	á	s	á	k	ω	m	á	m	b	o	n	d	z	i	k	a	á	</S>
les	0.0504514	0.0382118	0.0114798	0.00943843	0.0158904	0.02277	0.0316621	0.0408542	0.0424239	0.0796822	0.0490162	0.0599096	0.0353276	0.0232592	0.0194944	0.0210764	0.0218137	0.0199865	0.0125615	0.0165346	0.012032	0.0183667	0.0144334	0.0207405	0.0181869	0.0190913	0.0336815	0.0453821	0.0476569	0.043701	0.0319873	0.0443719	0.0285246
singes	0.0378207	0.0419363	0.0685665	0.0675693	0.0926178	0.0751015	0.0480519	0.0495455	0.0621715	0.0913576	0.030631	0.0127375	0.00782684	0.00485501	0.00603672	0.009006	0.0100027	0.0108436	0.00816581	0.00641072	0.00845202	0.0103457	0.00920792	0.0202734	0.0188482	0.0381478	0.015558	0.0238688	0.0377224	0.0224789	0.0243528	0.0179887	0.0115009
ikoli	0.0130739	0.0133509	0.0179733	0.0213197	0.026238	0.0453849	0.0380394	0.0485717	0.04831	0.0379506	0.0355986	0.0532073	0.0584363	0.0767201	0.0608272	0.0602043	0.0296388	0.0414347	0.0200082	0.0164843	0.0133196	0.0183071	0.015717	0.0186742	0.0221368	0.0131104	0.0229296	0.0259957	0.0259807	0.0235838	0.0171256	0.0144416	0.00590592
ne	0.00859059	0.0121265	0.0211466	0.0362676	0.0391848	0.0386678	0.038186	0.0379996	0.0418176	0.0264251	0.0332513	0.0361034	0.0378541	0.0406347	0.0395702	0.0281759	0.0184727	0.0121485	0.0203798	0.0223465	0.0387646	0.0292409	0.0444053	0.0325439	0.0444555	0.0360542	0.0272731	0.0190671	0.0269468	0.0257821	0.0249291	0.0263633	0.0348248
se	0.0114806	0.0149222	0.0180135	0.0274063	0.047805	0.0501129	0.0376269	0.039816	0.044274	0.0374509	0.0385075	0.0371035	0.0400397	0.0354866	0.0350508	0.031866	0.0275934	0.0239042	0.0342588	0.0311051	0.0350214	0.0281601	0.0328911	0.0236246	0.0277839	0.0216082	0.0191251	0.0177508	0.0202984	0.0210097	0.0237143	0.0247511	0.0404374
trouvent	0.0167262	0.0153445	0.0148005	0.0255079	0.0368425	0.0345651	0.0445353	0.0412863	0.0417669	0.0398218	0.0316858	0.0260911	0.0289874	0.0269839	0.0424996	0.0331536	0.039619	0.019714	0.0177219	0.019639	0.0302597	0.0285157	0.0239965	0.0425241	0.0340053	0.043179	0.0372565	0.0230535	0.0162144	0.0167003	0.0215753	0.0251542	0.0602733
plus	0.0179827	0.0162013	0.015519	0.01595	0.0172509	0.0197062	0.0187092	0.020129	0.0265372	0.0296659	0.0250238	0.0199782	0.0192587	0.0194775	0.0195973	0.0208794	0.0192115	0.0200842	0.0276243	0.0319198	0.0422063	0.0406118	0.0448597	0.0445714	0.0417309	0.0430158	0.0404002	0.0438239	0.0442947	0.0454012	0.0431154	0.0502538	0.055009
dans	0.0165447	0.0157535	0.0174241	0.0251434	0.0305815	0.025322	0.017693	0.0140027	0.0269888	0.0214832	0.0277005	0.020753	0.0241762	0.0295537	0.0376545	0.0329752	0.0265293	0.0158304	0.0265181	0.0316267	0.0391959	0.0538461	0.0281324	0.0290688	0.0205178	0.0355416	0.0131246	0.0226341	0.0235474	0.0383051	0.0339668	0.0655285	0.112337
les	0.0130872	0.0137416	0.0181361	0.0210069	0.0206859	0.0176909	0.0122425	0.00896952	0.0137485	0.0114186	0.00858615	0.00637079	0.00889586	0.0152917	0.0241009	0.0321198	0.0296576	0.0216869	0.0375678	0.0337007	0.0677827	0.0735503	0.0351137	0.0280822	0.0335779	0.0457167	0.0252373	0.0297985	0.0359422	0.0508026	0.0628796	0.0645047	0.0783056
forêts	0.0452115	0.0385541	0.0350983	0.0253527	0.0221546	0.018279	0.0140306	0.00946944	0.0123013	0.0112258	0.0104625	0.0088612	0.00942059	0.0136966	0.017244	0.0314872	0.0229008	0.0343579	0.0730908	0.0589952	0.0472496	0.0525501	0.0297564	0.0237408	0.0162384	0.020457	0.0116212	0.020272	0.0217003	0.0370929	0.0297742	0.0701812	0.107172
de	0.0246752	0.0251694	0.0247487	0.0248274	0.025682	0.0246385	0.0180321	0.0127682	0.0187052	0.016003	0.0135338	0.0115803	0.015619	0.0244277	0.0291466	0.0412742	0.0244287	0.030326	0.0585508	0.0605667	0.0685769	0.0489189	0.0393417	0.0247547	0.0262724	0.0280789	0.0237623	0.0216734	0.0195835	0.0281944	0.0375489	0.0445059	0.0640849
boundji	0.0368711	0.0282938	0.0249844	0.0207085	0.0203879	0.0156115	0.00872841	0.00587673	0.00694739	0.00572942	0.003748	0.00423759	0.00598609	0.0116865	0.0178744	0.0352056	0.0336954	0.0330569	0.0563839	0.0443024	0.0557064	0.0663334	0.0323731	0.0273858	0.0294685	0.03631	0.0382238	0.0387162	0.0330566	0.0610863	0.0513376	0.0588091	0.0508773
</S>	0.0422941	0.0370505	0.0353702	0.0329968	0.0373208	0.0293088	0.0211188	0.0124247	0.0131728	0.011349	0.00868085	0.00740019	0.00862455	0.0117014	0.0148611	0.0233021	0.0168041	0.0190856	0.037524	0.0272028	0.0300364	0.0337184	0.0237048	0.0202897	0.0209131	0.0373243	0.0367825	0.0455247	0.0497491	0.0612342	0.0605487	0.0635732	0.0690077
