 	n	g	a	l	a	á	s	ú	b	h	u	m	ú	a	m	í	k	ώ	ώ	m	á	á	y	é	n	g	í	o	b	v	a	m	í	b	v	e	</S>
ngala	0.0241957	0.0540168	0.109622	0.0735649	0.10078	0.0182836	0.0275879	0.0221668	0.00948478	0.0209981	0.0187339	0.0254588	0.0358255	0.0534069	0.112766	0.0547292	0.0367533	0.0215227	0.0114894	0.0088709	0.0076727	0.0110359	0.0107906	0.0118389	0.013366	0.0181105	0.0139153	0.0146983	0.010691	0.00932492	0.00786077	0.00437351	0.00452665	0.00335028	0.00380835	0.00445594	0.00992319
a	0.0530981	0.0384777	0.0293481	0.0231887	0.0218976	0.0373397	0.0459089	0.0405795	0.0694919	0.0479588	0.0559911	0.0559967	0.0492679	0.0339175	0.0497775	0.0317451	0.0408462	0.0320941	0.0204784	0.0134365	0.0175568	0.0155619	0.0121063	0.00836913	0.00886814	0.0114335	0.0106561	0.0106279	0.00992176	0.00960982	0.00760711	0.00690493	0.0098531	0.0137892	0.0179577	0.0105615	0.0277749
calé	0.0257599	0.0221044	0.033293	0.0140889	0.0162531	0.0171692	0.0208193	0.0201962	0.0517947	0.0276688	0.0414654	0.0439363	0.0346667	0.018592	0.0412352	0.0606652	0.0633989	0.0544936	0.0483849	0.0502186	0.0440483	0.0281073	0.0171938	0.0153583	0.0128096	0.0150304	0.0125731	0.0101915	0.0133748	0.0123315	0.0127946	0.0114618	0.0130004	0.0110516	0.0133989	0.0232676	0.0278022
avec	0.0121722	0.0180292	0.0226804	0.0194071	0.0194016	0.0154843	0.0133	0.0140223	0.0192257	0.0232994	0.0325716	0.0325106	0.0375573	0.0291109	0.0344967	0.0476808	0.0346829	0.0376229	0.0373416	0.0269766	0.0198258	0.0186706	0.0177679	0.0168637	0.0192601	0.0183658	0.0224755	0.0329402	0.0349867	0.0370085	0.0358542	0.0379527	0.0327632	0.0281903	0.0262829	0.0287406	0.0444772
une	0.0177989	0.00874153	0.00527488	0.00768008	0.00733297	0.00993429	0.0102588	0.0101642	0.013139	0.0129296	0.0132369	0.0131427	0.0156669	0.0127355	0.0139573	0.0182785	0.0207452	0.0273787	0.0453231	0.0706002	0.0572239	0.0427162	0.0498495	0.0544386	0.0339149	0.0291334	0.0376659	0.0229535	0.0217969	0.0245166	0.0303258	0.0305142	0.0332492	0.0366963	0.0420767	0.0400896	0.0585193
pierre	0.00742642	0.00470082	0.00455905	0.00439128	0.00542619	0.00645673	0.00965782	0.00932874	0.0101627	0.00917934	0.0138611	0.0120492	0.012822	0.0103623	0.0098236	0.024676	0.0288851	0.0445799	0.0540658	0.060535	0.0535616	0.0499151	0.0448713	0.0498821	0.0467371	0.0410903	0.0448843	0.0319113	0.0293836	0.0261295	0.0266756	0.0292181	0.0311052	0.0328481	0.0392639	0.0349192	0.0446545
son	0.00705403	0.00531204	0.00467443	0.00368336	0.00610175	0.00664457	0.0146098	0.020932	0.0237601	0.0245688	0.0295755	0.0267827	0.0257268	0.02258	0.0186093	0.0375197	0.0353133	0.0415626	0.0466787	0.0467166	0.0384314	0.0360079	0.0345371	0.0300987	0.0242852	0.0303828	0.0307981	0.0284144	0.0241303	0.0275781	0.028273	0.0294447	0.0306472	0.0326632	0.0358215	0.0339905	0.0560897
panier	0.00903489	0.006959	0.00534411	0.00460871	0.00323941	0.00288868	0.00479286	0.00572939	0.00662662	0.00678484	0.0077411	0.00864638	0.0099562	0.00831697	0.00677444	0.0150415	0.0160732	0.0238946	0.0337369	0.0425177	0.0414225	0.0578635	0.0574736	0.0420823	0.0687402	0.0608803	0.0448213	0.0239916	0.0286424	0.0250677	0.0220288	0.0261887	0.0347332	0.0379957	0.0559339	0.0581394	0.0852874
de	0.0142288	0.00984552	0.0083618	0.00604471	0.00855551	0.00940195	0.0130018	0.0134036	0.0159928	0.0139193	0.0143464	0.0115793	0.0123755	0.0081655	0.00962133	0.0153164	0.0161179	0.0223442	0.0361231	0.0445103	0.0368183	0.0319307	0.0364674	0.0305811	0.0279027	0.0266358	0.0260067	0.0232443	0.0190027	0.018152	0.01742	0.0226996	0.0416444	0.0534451	0.0736939	0.0705273	0.140572
manioc	0.0189321	0.0132039	0.0116817	0.0119715	0.0104599	0.00961855	0.00637404	0.00612182	0.00584328	0.0055359	0.0056474	0.00564163	0.00587405	0.00508761	0.00551012	0.00631781	0.00651342	0.00994246	0.0118984	0.0278615	0.0336333	0.0320077	0.0362784	0.0345339	0.0201574	0.0263941	0.0320102	0.0379023	0.0311941	0.0357726	0.0454154	0.0515776	0.0728384	0.0789151	0.071896	0.0729503	0.0964861
