 	m	o	r	o	y	e	é	y	ε	l	έ	e	b	e	m	b	e	w	ó	a	d	i	t	á	á	y	a	y	í	a	</S>
l'	0.00578436	0.0103587	0.00823778	0.0108691	0.0125523	0.014395	0.0168952	0.0250838	0.0256788	0.0260289	0.0256909	0.0356686	0.0541469	0.073894	0.128008	0.150749	0.0993668	0.0176549	0.0296259	0.0113381	0.0180787	0.0188955	0.0191902	0.0187055	0.0180815	0.0285521	0.0192042	0.0242033	0.0212823	0.017372	0.0144079
homme	0.022789	0.0578889	0.111238	0.175527	0.194881	0.16019	0.0684659	0.0377999	0.020334	0.0160953	0.00952586	0.0063234	0.00461658	0.00235817	0.00566961	0.00725268	0.00700778	0.0103059	0.00680799	0.012214	0.00606809	0.00583416	0.00775495	0.0069867	0.00734719	0.00631591	0.00740163	0.00748356	0.00357844	0.00270851	0.00123019
qui	0.0809647	0.051686	0.0353131	0.0253596	0.0189759	0.0140149	0.0136597	0.00844684	0.0159735	0.0162409	0.0223093	0.0221684	0.0144805	0.0120471	0.00632665	0.0118942	0.0106419	0.010753	0.0150926	0.0375102	0.0641061	0.104143	0.117653	0.0641434	0.0534412	0.0474962	0.0351062	0.0284233	0.0183141	0.0172873	0.00602766
s'	0.0180471	0.022402	0.0345231	0.0375448	0.0543264	0.0396469	0.0342236	0.0200378	0.0167371	0.0130475	0.0131064	0.0157673	0.0117293	0.0102427	0.00964567	0.0111446	0.0119352	0.0105497	0.0133603	0.0280085	0.0543593	0.100041	0.096956	0.0641498	0.0344725	0.0348589	0.0226252	0.0490652	0.0195817	0.0385099	0.0593545
adresse	0.0746674	0.0580971	0.0776602	0.0747768	0.0759824	0.0567266	0.0437433	0.0341226	0.019624	0.0199956	0.0197573	0.0177787	0.0121037	0.0108813	0.0119461	0.0128289	0.0157337	0.0131928	0.0145848	0.0418092	0.0381914	0.0415221	0.0325153	0.0187636	0.0198697	0.0142521	0.0136626	0.0191575	0.0146227	0.0313753	0.0500555
à	0.0586207	0.0477783	0.0432883	0.0434199	0.0405632	0.0353603	0.0357185	0.0423114	0.0419167	0.0405329	0.0448052	0.0458832	0.0405493	0.0319262	0.0273897	0.0233917	0.0256493	0.0141607	0.0200892	0.0292507	0.0313339	0.0338928	0.0241298	0.0157465	0.0174179	0.0136153	0.013978	0.0173121	0.0191335	0.022969	0.0578657
ce	0.0335273	0.0357665	0.0392189	0.0381234	0.0407245	0.0385926	0.0375192	0.0340301	0.0413553	0.048313	0.0481489	0.0331094	0.0262751	0.0271101	0.0292659	0.0336345	0.0398313	0.0152798	0.0183995	0.0174809	0.0132272	0.0151412	0.0185043	0.0201231	0.0283267	0.0303926	0.0323511	0.0330432	0.0376931	0.039164	0.0563276
mort	0.0626848	0.0438352	0.0365619	0.0306635	0.034098	0.0331493	0.041955	0.0275758	0.0373212	0.0375613	0.0398212	0.0468228	0.0503146	0.0463053	0.0398883	0.0404717	0.0347483	0.0255124	0.0229897	0.0086928	0.00474801	0.00659004	0.00979625	0.0107049	0.00873732	0.0147137	0.010233	0.0355378	0.0165693	0.0465785	0.0948183
est	0.0939978	0.0546294	0.0442058	0.0342271	0.038275	0.0315624	0.0406172	0.0512427	0.0589931	0.0548773	0.0532773	0.0436608	0.0411324	0.0333788	0.0286091	0.0274338	0.0249385	0.0144549	0.0158347	0.00813993	0.00483383	0.00368834	0.00471713	0.00844942	0.00688752	0.0125977	0.00904605	0.0192841	0.0195487	0.0309296	0.0865296
son	0.140232	0.0732413	0.061077	0.0553865	0.0520326	0.0312267	0.0245618	0.0152913	0.0179279	0.0174115	0.0173783	0.0214347	0.0233066	0.0192975	0.0148261	0.00792922	0.0094357	0.00404959	0.00671508	0.00447255	0.00509862	0.00672973	0.00651999	0.00448559	0.00492802	0.00699405	0.00559881	0.0421819	0.010805	0.114092	0.175333
père	0.0988679	0.0648769	0.0573823	0.0711496	0.0660689	0.0314801	0.0155327	0.00992324	0.0115949	0.0123819	0.0138478	0.0148939	0.0158636	0.0147545	0.0133354	0.0084379	0.0126643	0.00443258	0.00702776	0.00452165	0.00478962	0.00627605	0.00588059	0.00393909	0.00370606	0.00492366	0.00366995	0.0285901	0.0100971	0.128281	0.250809
</S>	0.214111	0.0986171	0.0642081	0.0354985	0.0251525	0.0107648	0.0105074	0.00727476	0.00942577	0.00667416	0.00598869	0.0074745	0.00769223	0.0105189	0.00492304	0.00432665	0.00414919	0.00227509	0.00709694	0.00280233	0.00247835	0.00630111	0.00647186	0.0100364	0.00737355	0.0106649	0.00701597	0.0316858	0.0174533	0.100846	0.260192
