 	w	a	m	í	n	a	á	d	í	l	a	m	b	o	n	g	ó	k	á	a	b	á	a	w	ó	n	g	á	w	a	m	á	a	</S>
ses	0.0659371	0.0780153	0.0778116	0.0736701	0.0678963	0.0510104	0.0564946	0.0799237	0.0706767	0.0701982	0.0320404	0.0189765	0.0125484	0.0165674	0.0137569	0.014161	0.0141552	0.013412	0.0136248	0.0119307	0.0106508	0.00886238	0.0126991	0.0125656	0.0117725	0.0121769	0.00952017	0.0100704	0.0121739	0.0115583	0.00832788	0.00982066	0.0105127	0.00648134
dents	0.0862553	0.0414356	0.0379723	0.046462	0.144858	0.220948	0.053134	0.0441592	0.0514521	0.0241792	0.0302956	0.0212579	0.0162673	0.00570792	0.00399802	0.00437451	0.00337942	0.00367607	0.00362893	0.00423984	0.00629912	0.0086771	0.00632529	0.0108376	0.0156046	0.0283512	0.00660824	0.00610745	0.0277177	0.0165114	0.00703259	0.00405246	0.00455646	0.00363765
sont	0.013755	0.0155038	0.018333	0.035153	0.0647538	0.0627932	0.0489013	0.0457777	0.0307829	0.0292217	0.0196142	0.0241833	0.0205604	0.0276956	0.0304043	0.0443462	0.03113	0.0212948	0.0360192	0.0347398	0.0401026	0.0346557	0.0332963	0.0337607	0.0345367	0.0286146	0.013474	0.0133661	0.0311124	0.0198963	0.0215974	0.0154266	0.0185533	0.00664403
atteintes	0.0110073	0.0115184	0.011882	0.0190261	0.0283388	0.0406597	0.0231431	0.0216469	0.0219847	0.0264478	0.0327287	0.0220942	0.0137365	0.0169839	0.0220619	0.0282685	0.03064	0.0468305	0.0493038	0.0514387	0.0656388	0.0600963	0.0467379	0.0271707	0.0144533	0.0232234	0.0306168	0.0217932	0.0147091	0.0172937	0.0357663	0.0317986	0.0395363	0.0414241
de	0.0081895	0.00863862	0.0132908	0.00907757	0.0112711	0.0147736	0.0137304	0.0142622	0.00916052	0.0198036	0.0232194	0.0268578	0.0172518	0.0217842	0.0310964	0.0318063	0.030585	0.0440429	0.0406011	0.0536163	0.0525178	0.0551107	0.0515641	0.0285667	0.024548	0.0364722	0.0288734	0.0344943	0.0189083	0.0229049	0.0486541	0.0341389	0.0423647	0.0778226
carie	0.00831418	0.0109543	0.0153335	0.0119741	0.0226534	0.0329116	0.0353761	0.029112	0.0158535	0.0236433	0.018071	0.020007	0.0162247	0.0236363	0.0377289	0.0435447	0.0419497	0.0601972	0.0546769	0.0625552	0.038571	0.0495687	0.0383749	0.0300318	0.0297588	0.0297984	0.0189831	0.0327875	0.0162492	0.0165126	0.0257324	0.0196748	0.0239416	0.0452977
il	0.0231039	0.0257711	0.0259279	0.0379418	0.0478666	0.052709	0.0532813	0.050166	0.0457991	0.0444664	0.0242938	0.0193052	0.0151809	0.0154035	0.0171043	0.0193118	0.0136321	0.0159611	0.018978	0.0275074	0.0254795	0.0199641	0.0218646	0.0168314	0.0195704	0.0258404	0.0303046	0.0328871	0.0221011	0.0285557	0.0363759	0.035181	0.0427499	0.0485828
faut	0.0188021	0.0181236	0.0204555	0.0202065	0.0238661	0.0274571	0.0245511	0.0231889	0.0205862	0.0256158	0.0186802	0.013628	0.0109261	0.0114643	0.0155811	0.0181558	0.0201074	0.0298955	0.0344782	0.0367834	0.0500733	0.0387539	0.0525833	0.0204242	0.0148614	0.0340487	0.0409384	0.0207695	0.0216489	0.0233685	0.0590948	0.0468027	0.0641692	0.0799106
les	0.0209785	0.0199942	0.0212522	0.0207697	0.0236532	0.0209707	0.0237518	0.0330913	0.028432	0.0241232	0.0139613	0.00976767	0.00968531	0.0102773	0.0124675	0.0138041	0.013848	0.022515	0.0298322	0.0394983	0.0488835	0.0313461	0.0481029	0.020865	0.0246241	0.0332669	0.0488821	0.0318717	0.0272818	0.0272072	0.0628752	0.0413215	0.0631757	0.0776227
lui	0.0329041	0.0274437	0.0287149	0.0280765	0.0331285	0.0248148	0.0104704	0.00842164	0.010891	0.00970189	0.00664537	0.00586806	0.00782416	0.0121849	0.0131451	0.0159441	0.0207069	0.0295118	0.0289857	0.0274829	0.0314592	0.0262987	0.0339008	0.0149815	0.012309	0.0299922	0.0276876	0.0274053	0.0262038	0.0312564	0.0550039	0.0617691	0.0986802	0.140186
ôter	0.0191147	0.0179678	0.0182629	0.0180891	0.019338	0.0187209	0.0156964	0.017265	0.0185699	0.016181	0.00886318	0.00639292	0.00861941	0.0115626	0.0123798	0.0145381	0.0167456	0.0236528	0.0293337	0.026994	0.0408479	0.0340941	0.0524076	0.0333349	0.0255113	0.0468829	0.0547742	0.0373659	0.0276945	0.0293061	0.0628688	0.0602605	0.0746381	0.0817254
</S>	0.0531002	0.0435452	0.0401192	0.0267051	0.0213677	0.0181484	0.0103516	0.0118508	0.0145188	0.0120233	0.0104747	0.0045808	0.00755097	0.00863618	0.010131	0.0169746	0.0213237	0.0201577	0.0246716	0.0315145	0.0272169	0.0313831	0.0348638	0.0255669	0.0196414	0.0466703	0.0329754	0.0297973	0.0263741	0.0319692	0.0487489	0.0623865	0.0953909	0.0792695
