 	e	l	a	n	g	í	s	i	l	í	y	é	é	l	a	n	g	í	s	á	w	a	ω	k	ω	n	í	y	é	e	p	έ	b	a	r	e	a	m	w	a	</S>
sa	0.00843603	0.0136684	0.0141418	0.0141466	0.00994523	0.0184007	0.0198197	0.0275938	0.02711	0.029093	0.0300577	0.0269494	0.0352777	0.032369	0.0359348	0.0359129	0.035519	0.0463912	0.0388528	0.048083	0.0236708	0.0439792	0.0447349	0.0479082	0.0219847	0.0210492	0.0178929	0.0274582	0.0170727	0.0110297	0.0114017	0.0124227	0.0137861	0.0170846	0.0151622	0.0160773	0.0186788	0.01895	0.0140232	0.0191211	0.0188091
manière	0.0221452	0.112799	0.0669902	0.0487816	0.0241346	0.0118954	0.0120594	0.00585735	0.00558012	0.00790606	0.00678569	0.0107962	0.013108	0.0118815	0.0487339	0.027431	0.0234225	0.0319072	0.021558	0.0305503	0.0331203	0.0211772	0.0466352	0.0768285	0.0359449	0.0587092	0.0270552	0.0228298	0.0173319	0.0191493	0.0174728	0.00567391	0.00550699	0.0109193	0.0178553	0.00968461	0.0158089	0.00808768	0.00341179	0.00112547	0.00134876
de	0.236395	0.0626539	0.0571943	0.0321032	0.0248238	0.0283224	0.016925	0.00991859	0.00839997	0.00716102	0.00576626	0.00619275	0.00992167	0.00492366	0.0132938	0.0156014	0.018785	0.0254129	0.0267851	0.0263106	0.0276957	0.0183563	0.0249196	0.0202544	0.0191729	0.0184772	0.0222021	0.0112652	0.0209908	0.0181569	0.0144314	0.0175731	0.00830211	0.00662804	0.0100403	0.0126037	0.0111874	0.0123055	0.0265777	0.0168453	0.0251241
réveiller	0.0437017	0.0300334	0.0304589	0.0286232	0.0405887	0.0369632	0.0241745	0.0293367	0.0229913	0.0180898	0.0186485	0.0218847	0.0281886	0.0874764	0.0501454	0.0442079	0.0373606	0.0324932	0.0296999	0.0112229	0.0125625	0.0137757	0.0231648	0.031761	0.0206667	0.0179155	0.0213293	0.0123789	0.0183281	0.00897218	0.00914787	0.00820159	0.00824227	0.00763732	0.00701149	0.00914449	0.0110457	0.014365	0.0123543	0.0104418	0.0552637
le	0.0221523	0.0233943	0.0271855	0.0282857	0.0268402	0.0307561	0.022948	0.0231508	0.0186781	0.0152976	0.0136591	0.0165587	0.0153946	0.0180398	0.0268222	0.030424	0.0448286	0.0454702	0.0534297	0.0403678	0.0607927	0.041309	0.0367461	0.0329592	0.0423841	0.0291531	0.0154474	0.0243452	0.0190632	0.0196639	0.0111271	0.0095167	0.0134098	0.00991387	0.00997816	0.0117372	0.00933067	0.00919532	0.0121205	0.0110862	0.0270371
malade	0.0247043	0.0256378	0.0372505	0.0422976	0.0305407	0.0408756	0.0381868	0.0316675	0.0223126	0.0179486	0.0182184	0.0273243	0.0284245	0.0276832	0.0419865	0.0329114	0.0375738	0.0274931	0.0205522	0.0192379	0.0115439	0.00875992	0.0111342	0.0127326	0.0119722	0.0217208	0.0157224	0.0130732	0.0157044	0.0267396	0.023353	0.0208641	0.0210733	0.0162036	0.0213927	0.0260701	0.0289788	0.02895	0.0213936	0.0230005	0.0267899
inquiète	0.0507867	0.0269964	0.0335349	0.032227	0.0317521	0.0368837	0.0487022	0.0439437	0.0537453	0.0551979	0.0501114	0.0452321	0.0466654	0.0359806	0.0314159	0.0290666	0.0177522	0.0104673	0.0120163	0.0109349	0.0186622	0.00748998	0.00969206	0.0119255	0.0154495	0.0159915	0.0124521	0.016495	0.0122129	0.0128487	0.0149422	0.0136392	0.0149592	0.00951612	0.0116634	0.0126908	0.0143284	0.0154436	0.00941654	0.0184719	0.0282963
les	0.0752394	0.0274582	0.0254065	0.0270036	0.025509	0.0302279	0.0405373	0.0284424	0.0236403	0.0216172	0.0187861	0.0154135	0.0165504	0.0127748	0.0110841	0.0197615	0.0254623	0.0134228	0.0359512	0.0315136	0.0387208	0.0236125	0.0133628	0.00862988	0.00703393	0.0136757	0.0160221	0.0108714	0.0182807	0.0364809	0.0325906	0.0165495	0.0248364	0.0137788	0.0178784	0.0162841	0.0226112	0.0311951	0.00968412	0.0351363	0.0669625
gens	0.12343	0.0595977	0.0534604	0.0407878	0.0270649	0.0258197	0.0166671	0.0123538	0.0128051	0.0156154	0.0162894	0.0126532	0.0130758	0.0100319	0.0107886	0.0197325	0.0137251	0.00822879	0.0375064	0.0266329	0.0322605	0.0275814	0.0180731	0.0069008	0.00690647	0.00798562	0.00937464	0.00421806	0.00577792	0.0216291	0.015915	0.00592689	0.0119361	0.00855888	0.00942963	0.0112948	0.0174857	0.0240308	0.00733687	0.0339599	0.157151
</S>	0.085371	0.0300471	0.0306873	0.0285179	0.0297899	0.0298387	0.0304706	0.0205922	0.0172574	0.0121545	0.0102157	0.00562842	0.0057086	0.00527346	0.00813347	0.0098609	0.0145383	0.00946576	0.0164973	0.0156249	0.0130109	0.0103361	0.012496	0.0122505	0.00771489	0.0156979	0.030387	0.0143325	0.0242781	0.031853	0.0398875	0.0278622	0.0376873	0.017899	0.0220416	0.0294251	0.0310948	0.0334431	0.0165279	0.052508	0.103593
