 	o	t	s	έ	n	g	ε	l	á	a	d	z	á	á	m	á	m	b	á	b	h	á	á	</S>
otsenge	0.00622995	0.00797769	0.0106421	0.0178928	0.0479025	0.070541	0.0503979	0.0466051	0.0410654	0.0314747	0.0168779	0.0274412	0.0232973	0.0274769	0.0296615	0.0607937	0.090188	0.0882448	0.0580308	0.0724811	0.0664443	0.0531307	0.034337	0.0208655
se	0.0577148	0.0416285	0.049637	0.0462136	0.054606	0.0568998	0.0740779	0.0996388	0.110617	0.106804	0.0424519	0.0473902	0.0321054	0.027883	0.0199964	0.0115016	0.0171288	0.0159581	0.0219159	0.024079	0.0199421	0.0106323	0.00760401	0.00357416
nourrit	0.067854	0.0651987	0.044913	0.0462363	0.0692843	0.0948926	0.0736915	0.06452	0.049464	0.0433107	0.0349357	0.0298638	0.0220486	0.0345486	0.0175376	0.026563	0.0341295	0.0294458	0.034349	0.0366895	0.028856	0.0180648	0.0208443	0.0127586
des	0.0405215	0.0413605	0.0529292	0.0606029	0.0583473	0.0616872	0.0790229	0.0768692	0.0802075	0.0633419	0.0567111	0.0281862	0.0166486	0.0223362	0.0169423	0.0209459	0.011167	0.0176802	0.0269694	0.028493	0.0309392	0.0151113	0.0231823	0.0697973
bâtons	0.054042	0.0403429	0.0297859	0.0234328	0.0319471	0.0362163	0.0381124	0.0370316	0.051564	0.0477372	0.0506985	0.0421657	0.0376092	0.0526157	0.0450073	0.0556786	0.066641	0.0468599	0.0382296	0.03776	0.0310177	0.0294203	0.0320027	0.0440815
de	0.0374643	0.0295553	0.0278308	0.0257261	0.0483835	0.0426692	0.0431508	0.0563747	0.0593747	0.0695603	0.0858708	0.0636292	0.0574891	0.0415846	0.0233981	0.0203605	0.0161489	0.0229021	0.0294186	0.0426508	0.0316194	0.0262936	0.0385142	0.0600304
man	0.0623772	0.0553745	0.0343348	0.0309635	0.0286453	0.036626	0.044092	0.0465382	0.043194	0.0390498	0.0445971	0.0372863	0.0362506	0.025871	0.0199043	0.0199595	0.0194862	0.023924	0.0343969	0.0495844	0.0540135	0.0586409	0.0687678	0.0861223
ioc	0.0530489	0.0418527	0.0282795	0.0232184	0.0196605	0.0294849	0.0309576	0.0289551	0.0258368	0.0260828	0.0311967	0.0245807	0.0196238	0.0192151	0.00830813	0.0169009	0.0198447	0.0301769	0.0496499	0.0842145	0.0883668	0.0834037	0.103217	0.113923
cuit	0.0859891	0.07129	0.0463425	0.0402445	0.0497307	0.0507131	0.0555036	0.078578	0.0744083	0.0448278	0.03158	0.0153661	0.00928758	0.00968922	0.00462903	0.0104881	0.00694629	0.0100808	0.0147186	0.0303878	0.0488957	0.0341729	0.0590779	0.117053
à	0.139653	0.056246	0.0399784	0.0275265	0.0166096	0.0232738	0.0283144	0.0332952	0.027702	0.0211952	0.0124444	0.00516888	0.00390353	0.00306541	0.00263591	0.00341024	0.00441208	0.00932527	0.0175808	0.0346052	0.057489	0.0727361	0.139422	0.220007
l'	0.181038	0.100155	0.043745	0.0229581	0.010224	0.0157024	0.0217256	0.025113	0.026621	0.0203928	0.0141894	0.00651646	0.00381862	0.0046778	0.00432967	0.0097582	0.0106782	0.0229522	0.0319976	0.0524838	0.0584876	0.0561925	0.101812	0.154431
étouffée	0.192331	0.0987441	0.0331736	0.0142697	0.00928177	0.0128737	0.0123724	0.0150193	0.0149465	0.0140888	0.0127891	0.00823969	0.00617223	0.00840068	0.00932877	0.0162684	0.0208683	0.0316378	0.0451153	0.0598911	0.0554011	0.0500596	0.0824801	0.176247
</S>	0.190864	0.108704	0.0593567	0.0479407	0.0192328	0.0314893	0.0383133	0.0457725	0.0440335	0.0352074	0.0281265	0.015948	0.015841	0.012478	0.0117454	0.0107778	0.013266	0.02462	0.0290087	0.0346692	0.0300584	0.0226563	0.0336158	0.0962747
