 	w	á	á	n	ω	o	p	é	n	d	í	o	b	a	r	á	á	n	g	ó	o	n	ω	l	ó	o	t	u	n	g	a	</S>
si	0.0685177	0.100935	0.103695	0.0751999	0.0411857	0.0569208	0.0312648	0.0331259	0.0285907	0.0328036	0.0255905	0.0194863	0.0168768	0.0169258	0.0171623	0.0237544	0.0183098	0.0233189	0.0247862	0.0233147	0.0224137	0.0217391	0.0216464	0.0214267	0.0212657	0.0210862	0.0204517	0.0214885	0.0130444	0.0116549	0.013715	0.00830237
tu	0.13697	0.0516226	0.0719497	0.0522175	0.0941598	0.0933726	0.103334	0.108673	0.0638253	0.0655388	0.0481842	0.0266933	0.0153319	0.0126028	0.0101533	0.00596774	0.00419399	0.00255073	0.00280629	0.00226044	0.00193221	0.00186348	0.00152956	0.00092704	0.00139987	0.0017088	0.00144809	0.00117264	0.00154796	0.00174174	0.00600104	0.0063201
penses	0.0123695	0.0150311	0.0293812	0.0196308	0.0200081	0.0356761	0.0629628	0.0379553	0.031111	0.0351161	0.0450706	0.0537919	0.0425116	0.0451994	0.0515592	0.0542003	0.0538203	0.0385107	0.0221169	0.024658	0.0237098	0.0271292	0.0190684	0.0107803	0.0151629	0.0133164	0.0150031	0.0144498	0.0229485	0.0311036	0.0425314	0.0341159
trop	0.0284089	0.0183693	0.0261888	0.0208272	0.031112	0.027904	0.0231381	0.0199827	0.0128297	0.0161816	0.0273266	0.0435894	0.038841	0.0387082	0.0419636	0.0441916	0.0490614	0.0427452	0.0529096	0.0662638	0.054494	0.0553814	0.036164	0.0188289	0.0158343	0.0110158	0.00743652	0.00799643	0.020719	0.0156586	0.0216172	0.0643111
à	0.0100399	0.00851452	0.00842	0.0111433	0.0122112	0.0105795	0.0092556	0.00829039	0.0151238	0.01469	0.0205441	0.0228562	0.0314706	0.0191034	0.0315925	0.0264317	0.029966	0.0186744	0.0142881	0.0125875	0.0226732	0.0380984	0.0701373	0.0608392	0.0636268	0.0739183	0.0718831	0.067869	0.0946115	0.033353	0.0184047	0.0488028
ta	0.0195464	0.0342317	0.0245838	0.0252695	0.0126981	0.022235	0.00981242	0.0112571	0.0148473	0.0160005	0.0211815	0.0186616	0.016037	0.012187	0.00827451	0.00730617	0.00869573	0.00771473	0.00855268	0.0127064	0.0235635	0.025629	0.0254457	0.0363439	0.0496987	0.0475856	0.0801287	0.0853296	0.0787081	0.0787163	0.0553218	0.10173
mère	0.0104083	0.0133679	0.00986595	0.0080858	0.00876361	0.0142507	0.016974	0.0188371	0.0253037	0.0304114	0.0379566	0.0343152	0.0316152	0.0301024	0.0206993	0.0177359	0.0195307	0.0176282	0.0135001	0.0166976	0.0219975	0.0234788	0.0193708	0.0227187	0.0276154	0.0247168	0.050681	0.0534075	0.0598738	0.098112	0.057413	0.144565
tu	0.0114471	0.0112396	0.0115598	0.0112648	0.0117901	0.0167234	0.0143195	0.0145064	0.0167877	0.0205396	0.0281677	0.0233532	0.0207861	0.0180586	0.0217335	0.0240516	0.0243932	0.0171052	0.0151404	0.0141151	0.0240032	0.0199983	0.0361393	0.0533685	0.0758734	0.0806896	0.0551162	0.0571614	0.0626902	0.0705531	0.0514918	0.0658324
vas	0.00935927	0.0103223	0.0104723	0.0155458	0.0331259	0.0494099	0.0235204	0.0212775	0.0257931	0.0364069	0.0383907	0.0250582	0.0186899	0.0234846	0.0308198	0.0328739	0.0530482	0.0411834	0.0453061	0.0369049	0.0334945	0.0264782	0.0295641	0.0407589	0.0318477	0.0342498	0.0384967	0.0419838	0.0346759	0.0419162	0.0315999	0.0339412
maigrir	0.0254424	0.0176669	0.0185113	0.0167631	0.0211596	0.0364394	0.0317085	0.0308647	0.0250047	0.0233981	0.0300805	0.0204163	0.0219289	0.0266337	0.0360461	0.0391441	0.0376282	0.0157938	0.0172482	0.0142526	0.0200605	0.0145491	0.0216032	0.0245018	0.0251886	0.0245607	0.035942	0.0378002	0.0526095	0.0556294	0.0500172	0.131407
</S>	0.0253758	0.0158852	0.0155012	0.0150801	0.0205765	0.0227776	0.0300817	0.0305379	0.0296845	0.0319483	0.0439429	0.0235153	0.0206656	0.0142572	0.0192449	0.0234217	0.0292244	0.0154409	0.0218149	0.0128385	0.0188811	0.0122444	0.0166298	0.0215895	0.0353496	0.029379	0.0532335	0.0466714	0.0564959	0.0601669	0.0672544	0.120289
