 	b	a	r	e	b	á	á	m	i	w	ú	r	á	o	k	i	a	n	d	z	á	á	á	p	f	ú	u	o	p	é	e	</S>
ces	0.0833658	0.0245997	0.0115392	0.00632164	0.0094302	0.010281	0.0123167	0.0632868	0.0533923	0.047088	0.0451133	0.0109158	0.00775017	0.00518407	0.00881856	0.00672407	0.0144098	0.0186581	0.0247742	0.0262164	0.0388243	0.0516778	0.0636457	0.0751068	0.057786	0.0636373	0.0489184	0.0309651	0.024808	0.0164183	0.0215036	0.0165231
gens	0.0663006	0.0908059	0.146182	0.12637	0.11853	0.0379102	0.0414187	0.055343	0.0678882	0.0434201	0.0144391	0.00667263	0.00356351	0.00174242	0.00219364	0.00144753	0.0043903	0.00380376	0.00203979	0.00314571	0.00369738	0.00783401	0.0105895	0.0183406	0.0224101	0.0339375	0.0262529	0.0135352	0.00900016	0.0039971	0.00650894	0.00628854
reviennent	0.0358557	0.0329354	0.028502	0.0234881	0.0268883	0.0228366	0.0209354	0.0265303	0.0308266	0.0618706	0.0815354	0.0393633	0.048668	0.0261849	0.0649894	0.0394498	0.0450413	0.0400309	0.0411731	0.019028	0.0162598	0.0173421	0.0152409	0.0272529	0.0238814	0.025457	0.0291113	0.0216566	0.0190082	0.0193091	0.0197028	0.00964489
de	0.0140989	0.0245606	0.0217116	0.0183864	0.0351872	0.0439267	0.0529177	0.0492579	0.0372867	0.0163313	0.0204599	0.0209942	0.0202571	0.029318	0.0325707	0.0297231	0.0297784	0.038473	0.0294794	0.033002	0.0406476	0.0569255	0.0296091	0.0323687	0.0323492	0.0211909	0.0333655	0.0493558	0.0295578	0.0224481	0.0231322	0.0313288
la	0.0244822	0.0232342	0.0245611	0.0246664	0.0237669	0.0237257	0.0235876	0.0280111	0.0262869	0.0327304	0.0261253	0.0239248	0.0229493	0.0334162	0.0285759	0.0317287	0.0249856	0.0208866	0.0257576	0.031745	0.0274826	0.0306871	0.0312195	0.0357577	0.0365929	0.0433333	0.0450675	0.034505	0.0349433	0.0427326	0.0496984	0.0628327
chasse	0.0222962	0.0180694	0.0189854	0.0243025	0.0149831	0.0149658	0.0116629	0.0120619	0.0121914	0.0130854	0.0186859	0.0309698	0.0293307	0.043764	0.0410872	0.0481929	0.0398745	0.0227211	0.0319621	0.0268574	0.027213	0.018024	0.0270052	0.0333894	0.0351594	0.0405247	0.0348801	0.0491812	0.0480198	0.063857	0.0653543	0.0613423
mais	0.0139588	0.0123458	0.0141676	0.0201093	0.0189498	0.0230867	0.0252124	0.0309527	0.0253643	0.0350359	0.0351202	0.0536465	0.037537	0.0334711	0.0210801	0.0230415	0.0236624	0.0113566	0.0165595	0.0205849	0.0179482	0.016951	0.0227425	0.0255236	0.0264878	0.0357845	0.0370445	0.0370996	0.0460768	0.0693257	0.0732009	0.0965715
ils	0.0272348	0.0190382	0.0144989	0.0167399	0.0267203	0.0207272	0.0202529	0.00648441	0.00850082	0.0120949	0.021661	0.0345719	0.0421514	0.0385579	0.0359935	0.0374755	0.0437917	0.0167661	0.029705	0.0343049	0.0275637	0.0307651	0.0337628	0.0342865	0.0380318	0.0372023	0.036679	0.0412503	0.0517347	0.0570691	0.0646736	0.0397098
sont	0.0825203	0.0371235	0.0335764	0.0310211	0.0135346	0.0144311	0.0179016	0.00593273	0.00449144	0.0048101	0.00995739	0.0156818	0.0412803	0.0543598	0.0404964	0.043936	0.0535254	0.0190325	0.0298032	0.0288369	0.0305643	0.0223864	0.0247581	0.0183306	0.0166778	0.0187225	0.0141671	0.0236664	0.0348607	0.0476378	0.0653611	0.100615
revenus	0.0502681	0.018889	0.0187153	0.0172824	0.0105753	0.0101836	0.01136	0.00733355	0.00949145	0.00939743	0.0201555	0.0412556	0.0410599	0.0531566	0.0321355	0.0351365	0.0429763	0.0188844	0.0270644	0.0254844	0.0259861	0.0219095	0.0262918	0.0258664	0.0328642	0.0347485	0.0272102	0.0419838	0.0525161	0.0620294	0.0743811	0.0734078
bredoui	0.0567079	0.0312395	0.0327671	0.0311913	0.0210486	0.0260527	0.0317433	0.0141556	0.0142567	0.00772037	0.0216122	0.0246503	0.0449046	0.0678819	0.0513406	0.0500154	0.0575101	0.0213255	0.0318338	0.0519268	0.0402883	0.033009	0.0146512	0.0202508	0.0186756	0.0133737	0.0124311	0.0199103	0.0235445	0.0327765	0.0329437	0.048261
</S>	0.040689	0.0248655	0.0295539	0.0310204	0.018904	0.013995	0.0112742	0.00494349	0.00680328	0.00494762	0.015594	0.0218503	0.0295422	0.0296712	0.0274857	0.0248331	0.0399194	0.022465	0.0321949	0.051848	0.0461541	0.0512175	0.0423367	0.0510315	0.0539762	0.0370855	0.0359039	0.0370174	0.0349319	0.0362627	0.0407948	0.0508874
