 	o	p	ó	n	d	z	ó	á	k	y	ε	l	i	i	n	g	á	n	y	a	m	a	</S>
oponzo	0.0125308	0.0187611	0.015004	0.0142302	0.0144869	0.0167524	0.0135178	0.0168008	0.0134109	0.0143089	0.0251173	0.0245491	0.0334631	0.0324905	0.0397551	0.0847786	0.0968336	0.0999448	0.115766	0.133476	0.075899	0.0542185	0.033905
m'	0.221813	0.1691	0.108876	0.0777421	0.0254771	0.0227096	0.0225363	0.0185696	0.0228243	0.0288204	0.0187924	0.0159202	0.00907708	0.00829732	0.0169125	0.00850204	0.0194414	0.0459951	0.0429119	0.0235047	0.0196305	0.0235953	0.0289518
a	0.0923993	0.0968995	0.0559689	0.0448879	0.0463889	0.0357691	0.0306467	0.0125243	0.0118578	0.0260595	0.0244174	0.0133067	0.0335903	0.0499906	0.0666457	0.0900596	0.0942755	0.0495617	0.0310437	0.0261797	0.0255844	0.0254772	0.0164658
donné	0.161941	0.12108	0.0703178	0.0414951	0.032218	0.0254166	0.0244426	0.0157045	0.0264402	0.0251815	0.0190883	0.00880129	0.0186606	0.027762	0.0418432	0.0474891	0.066515	0.0396822	0.0291593	0.0217245	0.0362886	0.0331582	0.0655905
la	0.0444249	0.0357535	0.0372316	0.0372141	0.0192281	0.0150187	0.0144096	0.0115057	0.0152107	0.0212106	0.0226622	0.0135693	0.033448	0.0460844	0.0454122	0.0551662	0.104494	0.127564	0.0878219	0.0426238	0.0709392	0.0456283	0.0533782
petite	0.0298055	0.0420975	0.0456395	0.0493011	0.0441695	0.0518735	0.0893893	0.0959625	0.0507905	0.0523547	0.0390445	0.0257562	0.0629609	0.0608264	0.0495634	0.0459475	0.0292895	0.0210189	0.016602	0.0150888	0.0177752	0.0200058	0.0447371
part	0.0738238	0.0795892	0.0671751	0.055478	0.0455693	0.0426936	0.0677439	0.0797704	0.0666622	0.0562968	0.0363432	0.0262473	0.0401281	0.0290926	0.0241573	0.0131653	0.0169383	0.0246004	0.0178602	0.00980392	0.024349	0.0207284	0.0817837
du	0.101165	0.0653559	0.038475	0.0226174	0.0246341	0.026123	0.0305533	0.0424534	0.0420098	0.0445068	0.0359542	0.0310181	0.0348037	0.0188702	0.0286498	0.0152438	0.0251844	0.0449025	0.0621961	0.0378937	0.0486243	0.0611074	0.117658
gibier	0.117195	0.0760232	0.0456939	0.0375301	0.0216169	0.0149065	0.0154438	0.00947844	0.00676459	0.00912085	0.00577962	0.00330004	0.00543847	0.00675023	0.0120742	0.0156045	0.0285795	0.057384	0.0987822	0.0520715	0.118729	0.0964523	0.145281
</S>	0.135593	0.100586	0.0753198	0.0722343	0.0454425	0.0312991	0.0361334	0.015006	0.0105345	0.0121029	0.00942199	0.00590876	0.0122953	0.0170284	0.0221608	0.0107707	0.0210727	0.0440872	0.0500134	0.0286551	0.0565156	0.064899	0.122919
