 	e	k	u	r	ú	ú	r	ú	y	é	é	k	u	r	ú	ú	w	a	a	b	v	ú	ε	n	g	á	i	k	ώ	n	d	í	o	b	ó	n	d	a	</S>
je	0.0201185	0.0233023	0.0304576	0.0232005	0.0114522	0.0145701	0.020909	0.0172137	0.0269233	0.0161713	0.0459779	0.0352354	0.0579069	0.0277149	0.0368132	0.033521	0.0225467	0.0151974	0.0179133	0.0131042	0.0195022	0.011524	0.00733659	0.0100509	0.00793345	0.00814153	0.0129309	0.0144583	0.0170362	0.0222866	0.0297563	0.0215345	0.0246438	0.0414428	0.0338911	0.0565069	0.0543855	0.0617153	0.0346738
ne	0.0887837	0.0905354	0.0875895	0.0584033	0.013143	0.0132019	0.011879	0.00708543	0.013677	0.0226421	0.0631077	0.0327919	0.0500788	0.019841	0.0147292	0.0379354	0.0310632	0.0542979	0.0792319	0.0275781	0.0485778	0.0196972	0.0160387	0.011626	0.0159901	0.0132847	0.0169708	0.00381489	0.00335282	0.00354678	0.00167088	0.0015458	0.00148266	0.00132849	0.002525	0.0023214	0.0018188	0.00348949	0.0133221
comprends	0.0716374	0.0572547	0.0282776	0.0242121	0.0178259	0.0188704	0.0223025	0.0149686	0.01776	0.02875	0.0341109	0.0451455	0.0296144	0.0230679	0.0173122	0.0318877	0.0362697	0.0308109	0.0435985	0.0351158	0.0353168	0.0222728	0.0216468	0.0168027	0.0174747	0.0232226	0.0378525	0.0358928	0.0210466	0.0263472	0.0177553	0.0141043	0.0101564	0.00633918	0.00822345	0.00981422	0.010154	0.0156987	0.021086
pas	0.00865308	0.0171564	0.0234698	0.035414	0.0166933	0.0175501	0.0164073	0.0163023	0.0109549	0.0120062	0.0123621	0.0142625	0.0362479	0.0311987	0.104489	0.0777128	0.0273245	0.0386692	0.0316709	0.0330704	0.0284567	0.0406562	0.0155703	0.0209627	0.0294408	0.0338033	0.0295461	0.0354116	0.0236786	0.0213763	0.0196079	0.0175536	0.0237077	0.0159852	0.0114123	0.0173754	0.0080693	0.0151784	0.0105921
comment	0.0224275	0.0672345	0.0958996	0.0963647	0.0428269	0.0402745	0.0305104	0.0165496	0.0118773	0.0209906	0.0244317	0.00868753	0.0190001	0.0104472	0.0110873	0.0145303	0.0167179	0.0248318	0.0328773	0.00992891	0.0233102	0.00828307	0.00923367	0.0100813	0.0072412	0.0106836	0.00851727	0.0231285	0.0257663	0.016413	0.0276002	0.0190514	0.0217272	0.0172995	0.0237882	0.0272396	0.024125	0.0383747	0.0406404
il	0.0321659	0.050269	0.0608022	0.0448028	0.0214043	0.0197264	0.0215317	0.0318753	0.0403023	0.0559515	0.0562961	0.0415515	0.0324307	0.0278665	0.0194556	0.0181079	0.0249481	0.0143232	0.0203671	0.00996335	0.0129577	0.00661535	0.0113396	0.00691821	0.00589176	0.00968935	0.007893	0.012631	0.0146449	0.0116928	0.0238955	0.0198086	0.0209769	0.0171567	0.0195122	0.0174951	0.0253843	0.0323723	0.0789834
a	0.050278	0.099138	0.102005	0.0703211	0.0216443	0.0137391	0.010543	0.0156158	0.0168562	0.0210651	0.0377548	0.0178967	0.039873	0.0340348	0.0364278	0.0389083	0.0302948	0.0440967	0.0431399	0.0146446	0.0258549	0.00620312	0.0112609	0.00855096	0.00600579	0.00771916	0.00504475	0.0111132	0.0129781	0.00958185	0.0164964	0.0102175	0.0121528	0.00801977	0.00841594	0.0101736	0.0140962	0.0169611	0.0408769
trompé	0.0545396	0.0559283	0.0406844	0.0239061	0.0095714	0.0131584	0.0156912	0.027748	0.0312904	0.0356697	0.0287922	0.036853	0.0416161	0.050028	0.0471719	0.0488719	0.028737	0.0394544	0.0272359	0.0236819	0.0169481	0.0105304	0.0140918	0.0124486	0.0103871	0.0158592	0.0106287	0.0201121	0.0167486	0.0129468	0.0128225	0.00848619	0.0135376	0.0112123	0.0126742	0.0222283	0.0248263	0.0257094	0.0471716
sa	0.125803	0.0769811	0.0718449	0.0593933	0.0229755	0.0143157	0.012647	0.0230528	0.0188926	0.0225433	0.022212	0.0172169	0.0323941	0.0336713	0.0529407	0.0434707	0.0205806	0.0336721	0.0265843	0.00983725	0.0194812	0.00533035	0.00775708	0.00709139	0.00622494	0.0070343	0.00645126	0.00826051	0.0101051	0.00913459	0.0122008	0.0118974	0.0187454	0.0114934	0.0126677	0.0166424	0.0191998	0.018949	0.0503039
belle	0.0221366	0.0200325	0.0207459	0.0162041	0.0107901	0.006849	0.0053421	0.0071898	0.00863008	0.0118521	0.00948561	0.0104886	0.0120843	0.015158	0.0243625	0.0353751	0.0261657	0.0325782	0.0286561	0.029992	0.0385929	0.0326092	0.0398455	0.0352163	0.0221401	0.0291767	0.029668	0.0475504	0.0251954	0.0186124	0.0118455	0.0141195	0.0224996	0.0186237	0.0219481	0.0414629	0.0494924	0.0632297	0.084053
