 	w	a	l	ó	t	á	a	e	s	i	s	i	i	a	l	a	b	h	í	l	o	k	a	á	</S>
dès	0.090221	0.138891	0.163096	0.224415	0.0957395	0.125308	0.0883185	0.0242274	0.0111559	0.00453776	0.00849201	0.00345436	0.0010757	0.00116689	0.00207859	0.00210721	0.00179022	0.00205181	0.00197461	0.00219264	0.00184115	0.00164069	0.00154759	0.00171616	0.000960003
qu'	0.0223529	0.0210446	0.0334076	0.03621	0.0468644	0.0174388	0.0215449	0.0340488	0.0723815	0.140105	0.143992	0.114455	0.0567853	0.0615783	0.0255848	0.0239315	0.0155427	0.0140361	0.014198	0.0133819	0.00913637	0.0051002	0.00625083	0.0134183	0.0372096
il	0.0139589	0.0256558	0.0360199	0.0524304	0.0451071	0.0445844	0.0435796	0.0377506	0.0295631	0.0480467	0.0402902	0.0469689	0.0327372	0.0690023	0.0687255	0.0650629	0.032435	0.0436848	0.022738	0.0285863	0.0336275	0.0322813	0.0319641	0.0389327	0.0362666
a	0.0318683	0.0561784	0.0712165	0.0739006	0.05319	0.0482719	0.0320364	0.0261503	0.0243313	0.0293543	0.0290321	0.0313386	0.0195666	0.0345086	0.036648	0.0358494	0.0527836	0.0557289	0.0366848	0.0306599	0.0262557	0.024094	0.0292239	0.0309072	0.0802206
vu	0.012704	0.0119915	0.0133066	0.0156213	0.0151282	0.0141785	0.0153565	0.0156865	0.016415	0.0193226	0.0181865	0.023586	0.034968	0.0403216	0.0372418	0.0486446	0.0859839	0.115947	0.0836935	0.0500951	0.066276	0.0375248	0.0588115	0.0758924	0.0731164
le	0.0134155	0.00967016	0.0135583	0.0160004	0.0147414	0.00605703	0.0096617	0.00905326	0.0116653	0.0134322	0.025912	0.0210619	0.0167714	0.0222235	0.0266704	0.0198793	0.0466129	0.0841124	0.11685	0.101435	0.0625045	0.0738597	0.0754629	0.071019	0.11837
fantôme	0.00811831	0.0104525	0.00871646	0.0108344	0.0130182	0.012158	0.0174987	0.0157584	0.0292043	0.0346478	0.053187	0.0360282	0.015736	0.0167023	0.0206998	0.0159997	0.03448	0.0588096	0.0871612	0.0967251	0.0618385	0.0744909	0.0686712	0.0785535	0.12051
il	0.0173744	0.0242352	0.0213474	0.0260252	0.0276701	0.0300274	0.0310981	0.0260355	0.035134	0.0330601	0.0424867	0.0296039	0.019629	0.0122275	0.0130335	0.010546	0.016028	0.0331346	0.0685763	0.0822766	0.0612486	0.052629	0.0598262	0.0912526	0.135494
cité	0.024369	0.02478	0.0246078	0.0247625	0.0247097	0.0248129	0.0242936	0.022334	0.0236365	0.0217132	0.0225625	0.0228613	0.0172046	0.0133099	0.0130194	0.0127392	0.0163027	0.0344676	0.063507	0.0846044	0.0899121	0.0917615	0.0915953	0.0915598	0.0945733
la	0.0314177	0.0317821	0.0281174	0.0337209	0.0282693	0.0265601	0.0169314	0.015569	0.0165924	0.0165123	0.0180609	0.0171325	0.0167299	0.0199316	0.0159236	0.0135873	0.017423	0.0267149	0.0481518	0.082703	0.0840999	0.0621403	0.0777157	0.116218	0.137995
devise	0.0235018	0.0250903	0.0264664	0.0308855	0.0211765	0.0198862	0.0117605	0.0145811	0.02235	0.0256867	0.0281348	0.0259543	0.0171186	0.0185915	0.0192852	0.0202397	0.0302689	0.035639	0.0423107	0.0736824	0.0716874	0.0780904	0.0762479	0.106	0.135364
de	0.0189707	0.0237601	0.0366875	0.023261	0.0217717	0.0159898	0.0159709	0.0218591	0.0204938	0.0305359	0.0456663	0.0479888	0.0600564	0.0562997	0.0329912	0.0255484	0.0321663	0.0320978	0.036251	0.0340466	0.047	0.0466717	0.0554599	0.0703685	0.148087
son	0.0446377	0.0470345	0.0342626	0.0262401	0.02145	0.0207568	0.0182492	0.0147521	0.0173311	0.0155323	0.0216665	0.0235551	0.0246821	0.0207248	0.0196921	0.0186144	0.0184053	0.0304948	0.0456212	0.049742	0.0711049	0.0681894	0.0843952	0.0842153	0.15865
clan	0.0261668	0.0314666	0.0348696	0.0369648	0.0267541	0.0269422	0.0234532	0.0234507	0.0329154	0.035323	0.0445965	0.0396124	0.014283	0.00852096	0.00714313	0.00647865	0.00624279	0.0148667	0.0470973	0.0750552	0.079134	0.0841693	0.0841494	0.0902009	0.100143
</S>	0.0185504	0.0198697	0.0251077	0.0271465	0.026219	0.0267615	0.0276012	0.0362136	0.0447505	0.0592829	0.0695195	0.0634202	0.0408175	0.0396361	0.0302809	0.0222535	0.0109418	0.0124963	0.021897	0.0366768	0.0504163	0.0518275	0.0568874	0.0624166	0.11901
