 	m	b	ω	n	d	í	y	ó	l	έ	n	g	έ	é	b	v	u	u	s	í	n	y	ώ	ώ	l	á	t	s	ó	o	</S>
la	0.018293	0.0157774	0.0106892	0.0117352	0.00808899	0.0115047	0.0191369	0.037938	0.0541915	0.0487217	0.0553266	0.065325	0.065288	0.0719798	0.0651299	0.0538363	0.0470651	0.0475218	0.0327748	0.0281555	0.0290055	0.023076	0.0281997	0.0261345	0.0293084	0.0157727	0.0176907	0.015795	0.0159638	0.0115167	0.0190574
lie	0.0270302	0.0621467	0.149408	0.0683597	0.0210194	0.0109175	0.00605024	0.0084058	0.0112272	0.0126123	0.022416	0.0354213	0.130509	0.12754	0.115412	0.0424029	0.0254041	0.0145488	0.00937901	0.0124568	0.0140487	0.0153433	0.0106317	0.0108766	0.00961566	0.008503	0.00701567	0.00491031	0.00344268	0.00146365	0.00148114
du	0.142287	0.101128	0.0470069	0.0264177	0.0341261	0.0426439	0.0361759	0.0345212	0.0320376	0.0408809	0.0319872	0.0491193	0.044028	0.0469737	0.035725	0.0282073	0.0245165	0.0229336	0.0258312	0.0204054	0.0250859	0.0218123	0.0268024	0.00949274	0.0111623	0.00889438	0.00677777	0.00566767	0.00637357	0.0055819	0.00539709
vin	0.0547891	0.0775597	0.107751	0.146698	0.129094	0.0596892	0.0548891	0.0317711	0.0223153	0.0292498	0.0293158	0.040735	0.0345572	0.0164168	0.0154215	0.0100109	0.0119064	0.0107055	0.0124773	0.0107537	0.0123843	0.0114435	0.0117302	0.00455778	0.00472622	0.00388193	0.00604767	0.00453441	0.00489974	0.00533866	0.024349
de	0.108467	0.0853389	0.0463373	0.0343392	0.0360912	0.0596845	0.0503135	0.0208173	0.0178919	0.0164189	0.0175146	0.0176358	0.0134757	0.00800494	0.00882936	0.0098049	0.024118	0.0255501	0.0469363	0.0352907	0.0291745	0.0254103	0.0191577	0.017526	0.0120289	0.0170898	0.0180851	0.0206065	0.0223913	0.0484102	0.0872598
palme	0.0838733	0.0722863	0.0746736	0.0776349	0.0596687	0.0518972	0.0436604	0.0361222	0.0293013	0.0239567	0.0236798	0.0194063	0.0195619	0.0144665	0.0150158	0.0144067	0.0175463	0.0135912	0.0229429	0.0164518	0.0217374	0.0229236	0.0144959	0.0114632	0.00962454	0.0120705	0.017148	0.0317422	0.0286163	0.0261285	0.0739062
est	0.0784328	0.0557602	0.0523106	0.0472223	0.0529444	0.0467796	0.0360781	0.0256969	0.0163185	0.0111864	0.0103371	0.00752033	0.0053999	0.00376663	0.00727039	0.0131031	0.0188918	0.018911	0.0314351	0.0268517	0.0316626	0.0345831	0.0175167	0.0157121	0.0118527	0.0148424	0.024967	0.0471393	0.0407352	0.0430351	0.151737
restée	0.0948883	0.0564789	0.0340721	0.0228978	0.0123311	0.00474846	0.00458829	0.00367244	0.00397605	0.00271162	0.00380256	0.00368622	0.00435495	0.00290907	0.00393486	0.00656662	0.0168144	0.0213633	0.0414994	0.0327585	0.0465253	0.043067	0.0430659	0.0231316	0.0276304	0.0247353	0.0390636	0.0453982	0.0588554	0.116615	0.153857
dans	0.0717526	0.0383223	0.028094	0.0283071	0.0270982	0.0099613	0.0074421	0.00499516	0.00405391	0.00249799	0.00323331	0.00299661	0.00372727	0.00159813	0.00286562	0.0062485	0.0144712	0.0144959	0.0337994	0.0439955	0.0472483	0.0424839	0.0465826	0.0250869	0.0418416	0.0351351	0.0580475	0.0517208	0.0550665	0.0554567	0.191374
le	0.0768873	0.0737675	0.0589603	0.0428119	0.0366867	0.025054	0.0222604	0.0121451	0.0117753	0.00408223	0.0045945	0.00305305	0.00291167	0.00247433	0.00305252	0.00491548	0.010284	0.0111984	0.0178992	0.0134426	0.0209825	0.0239153	0.0174718	0.0178445	0.0147309	0.0317547	0.0290464	0.0605228	0.0697465	0.124717	0.151011
