 	b	v	a	a	s	í	b	v	ú	ó	p	é	n	d	í	o	n	έ	d	i	a	b	v	u	u	b	v	ú	a	ó	d	í	o	d	i	á	o	l	á	r	i	k	a	á	</S>
cette	0.0200931	0.0134347	0.0248876	0.0155915	0.0098073	0.0153591	0.0350638	0.0315462	0.0371606	0.0552749	0.0532922	0.0484218	0.0321111	0.0220133	0.0212216	0.0142896	0.0135277	0.0114608	0.0147757	0.0142407	0.0165033	0.0131327	0.00871889	0.00654365	0.00780958	0.00651275	0.00674476	0.00677238	0.0078868	0.00757493	0.00782295	0.0079209	0.00734125	0.00949185	0.0158881	0.0101837	0.0182988	0.0235991	0.0305942	0.0518948	0.0612451	0.0558072	0.0383718	0.0405675	0.0292
robe	0.0311441	0.0373574	0.0454473	0.0822844	0.358373	0.068198	0.0291794	0.0233541	0.0203825	0.00766214	0.00366278	0.00111587	0.00168034	0.00510717	0.00811456	0.00736907	0.00847288	0.0113462	0.00730316	0.00617024	0.00382429	0.00210929	0.00096309	0.00179764	0.00109621	0.0010606	0.00156709	0.00537684	0.0141643	0.0103987	0.00543637	0.00518008	0.00412884	0.00847726	0.0249435	0.00921267	0.0297939	0.0202869	0.0399574	0.0207192	0.00803935	0.0121022	0.00272528	0.00222677	0.000687904
de	0.042759	0.0384884	0.0313846	0.0227966	0.0182056	0.0354749	0.0346106	0.0419711	0.0426384	0.0469437	0.0306554	0.0328859	0.018963	0.0100267	0.00689943	0.00799633	0.00818887	0.0110108	0.0200922	0.0141711	0.0195259	0.0208383	0.0183582	0.015538	0.0121549	0.0219653	0.0114781	0.0120792	0.0197188	0.0181756	0.0341221	0.0307942	0.0293167	0.0311789	0.0322085	0.0359871	0.0276234	0.0167854	0.0137071	0.0117318	0.00801025	0.0131302	0.0111063	0.0118587	0.00644478
raphia	0.0198493	0.0277003	0.0346303	0.028771	0.0164701	0.0235975	0.0158727	0.0411439	0.0205669	0.023055	0.0186321	0.0205821	0.0190143	0.0252474	0.0176824	0.023785	0.01333	0.0148968	0.0144191	0.0150972	0.0147544	0.0148599	0.0126202	0.0130557	0.00998319	0.0111533	0.0125037	0.0178563	0.0225493	0.0301258	0.0293545	0.0280399	0.0511078	0.02658	0.0151943	0.0159259	0.0223122	0.0219759	0.0230765	0.0335533	0.0240532	0.0349807	0.0257458	0.0188871	0.0354075
est	0.0194161	0.0178114	0.0120116	0.00960409	0.00884194	0.0104951	0.0121033	0.0137433	0.0140531	0.0168334	0.0207397	0.0258803	0.0241867	0.020796	0.0211181	0.024812	0.0234746	0.0311087	0.0283525	0.0249966	0.0290234	0.0277902	0.0200921	0.0262333	0.0243383	0.0391173	0.0380151	0.0361671	0.0371804	0.0333683	0.0420437	0.0389312	0.0277535	0.0251352	0.0256925	0.0265459	0.0174514	0.0190199	0.013843	0.0111744	0.0116702	0.00758617	0.00490784	0.00917104	0.0273698
très	0.0407104	0.0243386	0.0215624	0.030764	0.0252551	0.0418013	0.0263528	0.0280541	0.0347841	0.0429444	0.0268273	0.0362944	0.0355457	0.02929	0.028163	0.0189065	0.0200852	0.0118525	0.0134451	0.0135743	0.0138653	0.0141696	0.00991157	0.0125567	0.0146955	0.0109949	0.0101427	0.014273	0.0196209	0.0132208	0.0183129	0.027449	0.0201779	0.0253392	0.0217261	0.0113358	0.0198554	0.0240899	0.0239448	0.0231862	0.0180996	0.0219101	0.0140826	0.018723	0.0277656
ample	0.0417557	0.0286444	0.0267146	0.037215	0.0550474	0.061227	0.0473036	0.0520314	0.0610508	0.0562905	0.0422587	0.0371117	0.0411919	0.036167	0.0252344	0.0242796	0.0189044	0.0172237	0.00985219	0.0124288	0.00956462	0.00628234	0.00481264	0.00634582	0.00792469	0.00641402	0.00736323	0.0131366	0.0227962	0.0155702	0.0152372	0.0177791	0.0201534	0.0170847	0.00772252	0.00346661	0.00623963	0.00494183	0.00727479	0.0115848	0.00658005	0.0128399	0.00882678	0.00948786	0.0186377
c'	0.0185166	0.019564	0.0192936	0.0249563	0.0225666	0.0236362	0.0164124	0.0160961	0.0245968	0.0189935	0.0130116	0.00865516	0.00969503	0.0141302	0.0116164	0.01335	0.0108551	0.014589	0.015387	0.0200787	0.0219185	0.0240317	0.0252611	0.0393769	0.0402305	0.0362882	0.0542878	0.0267376	0.0345141	0.0204138	0.0230229	0.0330728	0.0234853	0.0219979	0.0222061	0.0119566	0.0101882	0.00802527	0.0123326	0.0154952	0.00510096	0.0151239	0.014788	0.0431166	0.0810271
est	0.0184053	0.0251296	0.0271879	0.0366293	0.0345075	0.0257191	0.0269302	0.023499	0.0304573	0.0313722	0.0258093	0.0339895	0.0438256	0.0373227	0.026075	0.0289203	0.0194263	0.0227316	0.0257408	0.0229225	0.0231572	0.0216255	0.0195365	0.0285271	0.0186644	0.0316113	0.0384525	0.0270003	0.0148569	0.0208468	0.0145127	0.0135924	0.0147847	0.0113282	0.0129504	0.0105188	0.008581	0.00866397	0.00807683	0.0104593	0.0058154	0.00535022	0.0060998	0.00757515	0.0508116
pourquoi	0.150446	0.0913678	0.0463614	0.0238757	0.0150025	0.013775	0.00262799	0.00344245	0.00861672	0.00718202	0.0070988	0.00434519	0.00629289	0.0169675	0.0131341	0.0167718	0.0146754	0.0247848	0.0121867	0.0155588	0.0135481	0.0124018	0.0157713	0.0210396	0.0194424	0.0195723	0.0206566	0.0209921	0.035436	0.0206265	0.0302612	0.0297565	0.0219835	0.0206352	0.0106107	0.0122092	0.010557	0.00664335	0.0114228	0.0154464	0.00608542	0.0127451	0.0138123	0.0243067	0.079524
