 	w	a	á	t	ó	r	i	o	b	v	u	l	ú	m	é	p	ω	l	ω	y	í	k	ω	</S>
il	0.0974609	0.259154	0.346254	0.161436	0.0432671	0.0110508	0.00740119	0.00608423	0.00765227	0.00666172	0.00417552	0.00465915	0.00320111	0.00319346	0.00404786	0.00344243	0.00281927	0.00420745	0.00429375	0.00463184	0.0041301	0.00329283	0.00369302	0.0037898
a	0.0359304	0.032003	0.0379192	0.0632745	0.0653564	0.029222	0.0526494	0.108677	0.154883	0.109297	0.0983353	0.0295458	0.0259306	0.0170501	0.0108384	0.014769	0.0119606	0.0187565	0.021819	0.0117295	0.00928603	0.0140556	0.00987155	0.0168401
débarrassé	0.0122076	0.0129108	0.00820341	0.0108886	0.0196201	0.0179296	0.0275159	0.020262	0.0178747	0.0258077	0.036353	0.0537822	0.0625858	0.070436	0.126656	0.136534	0.0910225	0.0493726	0.0251573	0.0265585	0.0258264	0.0289505	0.0348776	0.0586667
la	0.0206806	0.0219559	0.015331	0.0180788	0.0179494	0.0135371	0.0198863	0.0252271	0.032083	0.0328666	0.0370509	0.0470191	0.0623299	0.0704252	0.0635944	0.0651151	0.0682504	0.0410041	0.030342	0.0240584	0.0263385	0.0548793	0.0706042	0.121393
cendre	0.00700331	0.00654719	0.00588273	0.00453161	0.00335311	0.0075997	0.00767484	0.0114601	0.016183	0.0140097	0.017933	0.0117235	0.0189496	0.0354215	0.0322275	0.0879602	0.137476	0.129494	0.1244	0.131406	0.0580428	0.0439862	0.0435914	0.0431431
à	0.01156	0.0114664	0.0166567	0.00706379	0.00654884	0.0103083	0.017584	0.0188628	0.0199509	0.017398	0.0201204	0.0238049	0.0345025	0.0356145	0.0466325	0.0551298	0.0584865	0.0574465	0.0520099	0.0564881	0.070752	0.112746	0.10863	0.130236
l'	0.0325278	0.0347595	0.0496132	0.0252063	0.0267132	0.0262445	0.0265596	0.026571	0.0250542	0.0220262	0.0234668	0.0249926	0.0275609	0.0230224	0.0296821	0.0337529	0.0300196	0.0349079	0.0479218	0.0714366	0.08234	0.0911622	0.0853333	0.0991255
aide	0.0288655	0.0302111	0.0298865	0.0297043	0.0298063	0.0310166	0.0300665	0.0329776	0.0297599	0.0203609	0.0193841	0.0153012	0.0235289	0.0138401	0.0106005	0.0315779	0.0601355	0.0484198	0.0338944	0.0746141	0.0689612	0.103249	0.0962783	0.10756
de	0.0169484	0.0241763	0.0160785	0.0371452	0.0323468	0.0300231	0.0297906	0.0261153	0.0333359	0.0177756	0.0228668	0.0214975	0.0218942	0.0192815	0.014398	0.0259404	0.0427472	0.044286	0.0436887	0.0569367	0.0797678	0.0922113	0.0827105	0.168037
l'	0.035728	0.0413162	0.0293485	0.048165	0.0422223	0.0333218	0.0336525	0.02869	0.0221304	0.0101384	0.0139941	0.0146602	0.023871	0.0180935	0.0146542	0.0187007	0.0141859	0.0182201	0.0388078	0.0547964	0.0762865	0.108379	0.0963725	0.164265
écorce	0.0131977	0.0158985	0.0113762	0.0168455	0.0172571	0.0193787	0.0232543	0.0366935	0.030747	0.0176129	0.0167557	0.0101511	0.0195597	0.00802539	0.00936518	0.0216438	0.0347397	0.0510959	0.0511674	0.0678472	0.103205	0.134737	0.123418	0.146027
du	0.016223	0.0216324	0.0187739	0.0243358	0.0152675	0.0131358	0.0134731	0.0141296	0.0205228	0.0200478	0.0258173	0.0374343	0.0507818	0.0698998	0.0917102	0.0929324	0.092086	0.0598522	0.0347749	0.0349923	0.0330487	0.0503824	0.0519636	0.0967823
bananier	0.0180127	0.0244128	0.010609	0.0189452	0.0203724	0.0133575	0.0225228	0.0466861	0.100979	0.0363943	0.0438973	0.0231652	0.0441628	0.0225207	0.0331942	0.0370374	0.0356298	0.0479103	0.0483023	0.0490742	0.0571993	0.0744766	0.0578253	0.113313
</S>	0.0370885	0.025726	0.0212366	0.0233731	0.013332	0.0128583	0.0110519	0.00906268	0.00927383	0.0102133	0.0136432	0.0244518	0.0322667	0.0269696	0.0258222	0.0441147	0.0795372	0.072167	0.0719186	0.0542513	0.0579514	0.0725637	0.0687539	0.182372
