 	m	o	r	o	y	e	é	d	i	m	í	s	i	k	a	á	l	á	a	p	a	b	h	í	r	á	i	b	a	á	m	í	y	é	n	g	a	l	á	k	ó	ó	</S>
l'	0.0104627	0.00820172	0.00871976	0.0124816	0.0100956	0.0137044	0.0138215	0.0154355	0.0198176	0.0200639	0.0237476	0.0367571	0.0448943	0.0557701	0.0464819	0.0413682	0.0362644	0.0250807	0.0330856	0.0242696	0.0195626	0.0135459	0.017832	0.0187318	0.0201928	0.0161031	0.0173643	0.0123993	0.0142279	0.0105173	0.0156007	0.0186937	0.0174389	0.022407	0.0247367	0.0212059	0.0283976	0.0274377	0.0172186	0.0352689	0.0352566	0.0443308	0.0310065
aveugle	0.0633878	0.138248	0.26228	0.215099	0.130968	0.0521939	0.0153156	0.0141481	0.0154014	0.0129931	0.0100288	0.00633645	0.00499085	0.00334813	0.003896	0.00472261	0.00453766	0.00320791	0.00375858	0.00593852	0.00338683	0.0010096	0.00224103	0.0019858	0.00258032	0.00235891	0.00190841	0.00202273	0.00121993	0.00060007	0.000620202	0.000554083	0.000393993	0.00105689	0.000610402	0.00105365	0.00136184	0.00129499	0.000712352	0.00076572	0.000749004	0.000452651	0.000259052
palpe	0.0567518	0.050182	0.0443829	0.0460648	0.0521801	0.032525	0.016695	0.0114144	0.00850799	0.00946822	0.0047848	0.00347227	0.00291807	0.00389526	0.00494803	0.00597459	0.00992791	0.0115636	0.0156907	0.0158339	0.017375	0.0149922	0.0194998	0.0248026	0.0210363	0.0249395	0.034546	0.0406486	0.041121	0.0401772	0.0548103	0.0401873	0.0348359	0.0386669	0.0285218	0.0286962	0.0247916	0.0170707	0.0109352	0.0145027	0.00838393	0.00751809	0.00475999
les	0.0175563	0.015599	0.0138894	0.00949667	0.0118222	0.00893867	0.0138925	0.0169548	0.0191691	0.020108	0.0227778	0.0271323	0.0441934	0.0591653	0.0622098	0.0498211	0.0687843	0.04608	0.0436826	0.0496161	0.0306636	0.0577518	0.0398701	0.025552	0.0160589	0.0154519	0.0129764	0.0127696	0.0123217	0.0112201	0.0052052	0.00512272	0.00501947	0.00556357	0.00385567	0.00547506	0.00517348	0.00577661	0.00842095	0.00600388	0.011618	0.0158017	0.0614383
murs	0.0192864	0.0232647	0.0299157	0.0353148	0.0460976	0.0604993	0.0533364	0.0278699	0.0258916	0.0277014	0.0249653	0.0131366	0.0133098	0.0208079	0.0161837	0.010587	0.0223028	0.0243909	0.0261389	0.0316048	0.0334099	0.0364562	0.0316353	0.0321351	0.0328108	0.0325117	0.0251207	0.0216034	0.0216703	0.0145718	0.0133039	0.011721	0.0109216	0.0123147	0.0119272	0.0115136	0.0117376	0.013568	0.0083688	0.0127493	0.0123518	0.0125326	0.0224593
pour	0.0542293	0.0504427	0.049713	0.0439307	0.054091	0.0489951	0.0414746	0.050761	0.0354299	0.0312722	0.0239375	0.0204668	0.0179837	0.0223096	0.0160337	0.0110736	0.0197768	0.0185752	0.0179309	0.0244445	0.0190005	0.0228742	0.0328154	0.0194143	0.0205784	0.0128904	0.0111878	0.00459784	0.00893851	0.00460539	0.00640228	0.00449831	0.0044158	0.00528555	0.00510196	0.00466822	0.00394415	0.00581889	0.0124013	0.0130256	0.0222563	0.0249456	0.0774613
trouver	0.0322555	0.0364238	0.0288081	0.0259807	0.0236958	0.0233807	0.0222376	0.0268611	0.0241653	0.0215301	0.0152208	0.016458	0.0232187	0.0280024	0.0319428	0.0207005	0.0240492	0.0189987	0.0177161	0.0280088	0.0157136	0.0262897	0.0343801	0.0283149	0.0271107	0.0248572	0.022911	0.0164181	0.0166264	0.0123198	0.0121098	0.0121918	0.00994018	0.0120338	0.0106233	0.0120789	0.00915966	0.0109743	0.0129123	0.0157132	0.0213823	0.040581	0.105704
le	0.0405349	0.0332515	0.0298358	0.031972	0.0386272	0.0475201	0.0482157	0.0535372	0.034111	0.0282451	0.0174679	0.0207514	0.0222129	0.0251069	0.022844	0.0174387	0.0216842	0.0214991	0.0230112	0.0261534	0.0167706	0.0299013	0.0349066	0.0213985	0.015682	0.0155402	0.0118852	0.00889714	0.00883684	0.00718024	0.00689724	0.00643395	0.00628053	0.00548295	0.00676039	0.0068795	0.00719827	0.0100462	0.0150427	0.0169108	0.0272001	0.0286972	0.0811513
chemin	0.037519	0.0403551	0.0471297	0.0460839	0.0444678	0.0386916	0.017063	0.0125896	0.0131267	0.0124723	0.0119931	0.00952233	0.0129862	0.0163941	0.0126564	0.0163581	0.019286	0.0199476	0.0225752	0.0334861	0.0284315	0.0342238	0.0396895	0.0282389	0.0263099	0.0127255	0.0106643	0.0102918	0.0155113	0.0100149	0.00974734	0.0103488	0.0088566	0.0103056	0.00783876	0.00945246	0.00819623	0.011609	0.00928741	0.0219639	0.0436209	0.0365839	0.111384
</S>	0.0250448	0.0280887	0.0312656	0.0283856	0.0340183	0.0384185	0.0410747	0.0420957	0.0315353	0.0273281	0.0160028	0.0107639	0.00915716	0.00928057	0.00892962	0.00711139	0.00939685	0.0102981	0.0097508	0.0124533	0.011659	0.0203673	0.0331691	0.0256409	0.0220877	0.0195826	0.0121804	0.00994215	0.0127977	0.00697199	0.00525129	0.00659971	0.00399713	0.00586489	0.00545088	0.00651004	0.00835265	0.0169932	0.0217164	0.0338777	0.0780701	0.0699368	0.13258
