 	i	k	ω	n	í	á	m	i	í	b	h	o	n	í	s	á	m	w	á	n	a	o	y	ú	r	u	w	ó	</S>
la	0.0353585	0.0239064	0.0131883	0.0153117	0.00987026	0.0161638	0.0205646	0.0266073	0.0316027	0.0270356	0.0283751	0.0393893	0.0220938	0.0191132	0.0226182	0.0237462	0.0172255	0.0345736	0.0216126	0.0319355	0.0479682	0.0909669	0.0616915	0.0689826	0.066629	0.053901	0.0312968	0.0564135	0.0418584
maladie	0.144908	0.389422	0.175009	0.052104	0.0488363	0.0230458	0.0184889	0.0125402	0.0294693	0.0108761	0.0109328	0.0101271	0.00255663	0.00509777	0.00463971	0.00815047	0.00379088	0.00602387	0.00270026	0.00378918	0.00222187	0.00650902	0.00611138	0.00361315	0.00864604	0.00329502	0.00147326	0.00200085	0.00362108
a	0.0523062	0.0405364	0.0163645	0.00581488	0.00581023	0.0133478	0.0121963	0.0272171	0.0522126	0.0638261	0.035105	0.0380726	0.024785	0.0229666	0.0262399	0.0499404	0.021508	0.0664615	0.0533232	0.0638817	0.0577107	0.054694	0.0253647	0.0264304	0.0259647	0.0242893	0.0354262	0.0330958	0.0251082
fait	0.0816163	0.133402	0.0788845	0.0366237	0.0417965	0.0424121	0.0404771	0.0558735	0.0770711	0.0469983	0.0361732	0.0148555	0.0144363	0.0160399	0.0158236	0.0155235	0.0126498	0.0217428	0.0119363	0.0145088	0.0133358	0.0118494	0.0182009	0.0100089	0.0127416	0.0116149	0.0132174	0.0355813	0.0646047
perdre	0.00853318	0.0150596	0.0162515	0.0108207	0.0239161	0.0385117	0.0363875	0.0258924	0.02928	0.0274122	0.0252921	0.0284535	0.0467721	0.0930107	0.0833852	0.063944	0.0463542	0.0243871	0.0312727	0.0327437	0.0326551	0.0119804	0.021944	0.0133956	0.0198129	0.02312	0.0235282	0.0439974	0.101886
la	0.0126897	0.0208474	0.0305241	0.043158	0.0557728	0.031569	0.033145	0.0316355	0.0426617	0.0395646	0.0463779	0.0468764	0.063668	0.0422483	0.0409205	0.035533	0.0368827	0.0187643	0.0156277	0.0200215	0.020787	0.0239797	0.0213713	0.0217189	0.0265217	0.0247892	0.0296704	0.0375997	0.0850738
mémoire	0.0327861	0.0330541	0.0396007	0.0402201	0.0431756	0.0217707	0.0126991	0.0138551	0.0213386	0.0221139	0.0217701	0.0352532	0.024821	0.0256071	0.0457473	0.0341742	0.0457891	0.0310148	0.0419947	0.0397914	0.0340514	0.0322262	0.0447399	0.0300821	0.0241891	0.046124	0.0325273	0.0443515	0.0851317
à	0.025634	0.0296123	0.0315335	0.0340765	0.0328224	0.0281104	0.0126097	0.0100306	0.0141311	0.0180314	0.0255907	0.0426365	0.0615288	0.0504665	0.081083	0.0516617	0.0806964	0.0281163	0.0300631	0.0236296	0.0207561	0.0193079	0.0305555	0.0226978	0.0148018	0.0370025	0.0229697	0.0546788	0.0651655
cette	0.0323322	0.0335613	0.0360751	0.0350557	0.0239688	0.0149288	0.0116459	0.0135322	0.0110026	0.0120993	0.0203182	0.0227635	0.0240787	0.0124309	0.0275756	0.0217413	0.0387368	0.0216856	0.0304272	0.0489215	0.0505565	0.025515	0.0549494	0.0305809	0.0280744	0.0737697	0.0582858	0.0881173	0.0972699
fille	0.0471044	0.0460195	0.0459763	0.0408858	0.0342031	0.0202051	0.0256631	0.0244136	0.0182417	0.0171216	0.0215183	0.0240681	0.0339774	0.0179855	0.0226947	0.00991666	0.0170766	0.0120355	0.0127025	0.0198181	0.0147443	0.0177628	0.0311727	0.025359	0.0209377	0.050795	0.0391949	0.137491	0.150915
</S>	0.0238983	0.0251292	0.0266414	0.0397564	0.0438344	0.0258486	0.0325909	0.0241739	0.0281463	0.0149034	0.0125985	0.0188245	0.0170481	0.0218516	0.0377274	0.0281164	0.0445601	0.0276042	0.0344666	0.0314371	0.033245	0.0189799	0.0394456	0.0364561	0.0366265	0.0418608	0.0568882	0.0662302	0.111111
