 	w	a	w	á	á	l	á	a	d	z	ε	í	w	a	l	á	a	k	a	n	á	e	b	ώ	ω	m	ó	n	ω	ω	t	s	í	n	a	w	a	a	d	í	l	a	m	b	ώ	r	ώ	</S>
quand	0.0716602	0.106392	0.0809714	0.062921	0.0444461	0.0829033	0.0272074	0.018745	0.0168162	0.00831821	0.0114752	0.00936194	0.0163009	0.01257	0.00801192	0.00453362	0.00954877	0.0101326	0.00955403	0.0171372	0.0187891	0.0170193	0.0190312	0.024479	0.0218316	0.0159778	0.0200651	0.0164467	0.0133114	0.0126092	0.00479174	0.0039073	0.00278965	0.00599989	0.00274562	0.00283891	0.0029214	0.00625983	0.00907585	0.0100808	0.0167265	0.0197495	0.0208837	0.0188625	0.0186751	0.016224	0.0177513	0.0111489
il	0.108682	0.0867159	0.0845274	0.0747511	0.0596433	0.0799063	0.0468294	0.0771225	0.0592716	0.0432883	0.0330638	0.0290147	0.012198	0.0146607	0.0117991	0.00976324	0.00808825	0.0114876	0.0211957	0.0168615	0.0225118	0.0092382	0.0104502	0.00605106	0.00725312	0.00244392	0.00601255	0.00643383	0.00231229	0.00328602	0.00080369	0.00109538	0.00176929	0.000835454	0.000530405	0.000407496	0.000894121	0.00141709	0.000943106	0.00058847	0.00080632	0.001127	0.00126076	0.0010091	0.00117691	0.00268024	0.00871751	0.00907402
rit	0.00444158	0.00869654	0.00457043	0.00284072	0.00971675	0.0130915	0.0150481	0.0163396	0.0248269	0.0236453	0.0190729	0.0109675	0.0124173	0.013257	0.0148117	0.0177692	0.022254	0.0251749	0.034501	0.0476109	0.0816975	0.0623135	0.0776525	0.058935	0.0436945	0.028679	0.0254001	0.0296217	0.0172788	0.00821419	0.00667724	0.0107707	0.0163611	0.00620312	0.00698517	0.00947602	0.00548453	0.0109924	0.0102811	0.00984908	0.0132887	0.0139486	0.0179815	0.0190978	0.0182715	0.018077	0.0207354	0.0109783
il	0.0143287	0.0174464	0.013152	0.0125704	0.013895	0.0131132	0.0172674	0.0171863	0.0164081	0.00825695	0.0134963	0.0137114	0.0167993	0.00859255	0.0132039	0.0327476	0.0232597	0.0243881	0.0281246	0.0163578	0.0140472	0.0347054	0.0101575	0.00940658	0.0137708	0.0177136	0.0188362	0.0196385	0.0130784	0.0207871	0.0250309	0.0290382	0.0374053	0.0326076	0.0667986	0.0752639	0.0304499	0.0237288	0.00977291	0.00898737	0.010679	0.00928466	0.00827222	0.0152333	0.0210374	0.0189835	0.0278341	0.0431454
couvre	0.00739986	0.0121442	0.0100326	0.00764539	0.0130625	0.0152681	0.0184262	0.0210697	0.0309985	0.0276457	0.0354274	0.0223082	0.0274743	0.014397	0.0133825	0.0148033	0.0131848	0.0176978	0.0244261	0.0251027	0.0310099	0.0133316	0.0219434	0.0347145	0.0178561	0.0453423	0.0529265	0.06393	0.0197462	0.0493282	0.0120603	0.0135719	0.0223302	0.0168435	0.00768458	0.00665422	0.00402022	0.00496469	0.00271242	0.00578507	0.0110835	0.00562298	0.00668252	0.00660524	0.00789697	0.00891117	0.0346442	0.0999006
sa	0.0243699	0.0203666	0.0129096	0.0107708	0.0142951	0.0154799	0.0177859	0.0172904	0.0189051	0.0186831	0.0231368	0.0176868	0.0114184	0.0117477	0.00787195	0.00954342	0.00835069	0.0148446	0.0222684	0.0279523	0.0203638	0.0147006	0.0227415	0.0238553	0.0223813	0.0436946	0.0427928	0.0486514	0.0274828	0.038717	0.0211792	0.0226557	0.0335212	0.0449062	0.0263775	0.0225825	0.0177382	0.0290646	0.011019	0.0111026	0.012018	0.00699038	0.00688835	0.00862657	0.00938746	0.00913033	0.0179873	0.0577664
bouche	0.0130628	0.0168448	0.0122018	0.0130024	0.0131193	0.0142997	0.0146798	0.0157326	0.0209416	0.0183554	0.0207268	0.0157476	0.0109359	0.015354	0.00934835	0.00446866	0.00825853	0.0126553	0.0154461	0.0138777	0.0142699	0.0129535	0.0128383	0.016139	0.0133826	0.0272673	0.0259253	0.034194	0.0255067	0.0379745	0.0265982	0.0175968	0.0186758	0.0236211	0.0127094	0.00638352	0.00872635	0.0128511	0.0138211	0.0275922	0.0333693	0.0263705	0.0276079	0.029321	0.0374306	0.0304802	0.0605874	0.0867475
avec	0.00688787	0.00771447	0.0061688	0.00639684	0.00527693	0.00724092	0.00862012	0.0105639	0.0165845	0.0142862	0.0252971	0.0119916	0.0166624	0.0237169	0.0176284	0.0112054	0.0169257	0.0159031	0.024293	0.0193554	0.0153715	0.0116241	0.0131154	0.0209044	0.0120174	0.0587807	0.063759	0.0557748	0.060706	0.0703329	0.048253	0.0459217	0.0500956	0.0430935	0.016715	0.00720181	0.00488291	0.00575608	0.00656877	0.0110928	0.00992079	0.0115921	0.0101313	0.0119454	0.0107343	0.010769	0.0143922	0.0258284
la	0.0149514	0.0110024	0.0148038	0.0128901	0.009551	0.0107648	0.0129923	0.0152398	0.0136299	0.0162634	0.0106403	0.0127396	0.00679706	0.0109538	0.00586648	0.00330138	0.00512707	0.00684029	0.00720515	0.00739566	0.00725088	0.00713651	0.00703694	0.00885482	0.00619598	0.0144498	0.0127724	0.0163521	0.0150806	0.0215656	0.018214	0.02059	0.0257786	0.0220072	0.0194837	0.0128673	0.0103527	0.0169407	0.0240873	0.0523806	0.0609035	0.0487354	0.0499361	0.0449413	0.0578188	0.0487453	0.0684059	0.0721602
main	0.0149939	0.0146986	0.013706	0.0099043	0.00804476	0.00808067	0.00773133	0.0087093	0.00810602	0.00852185	0.00783785	0.0071547	0.00757732	0.00796332	0.00770395	0.00351697	0.00769155	0.00826889	0.00942373	0.0101992	0.0118395	0.0107928	0.00975067	0.0135009	0.00858974	0.0227962	0.0192385	0.02239	0.0228816	0.027017	0.0208318	0.0280068	0.0359359	0.02588	0.0239258	0.0142211	0.0156549	0.0223364	0.0287563	0.0339074	0.0479168	0.0373889	0.0359247	0.0247388	0.0376107	0.0416292	0.0715202	0.105183
