 	n	g	a	n	g	a	b	ó	l	á	a	p	f	u	b	h	á	á	a	l	w	é	m	b	é	</S>
le	0.0173507	0.0790839	0.121707	0.0580731	0.0369386	0.0253782	0.0271903	0.0136731	0.0170098	0.0285925	0.0318603	0.0319591	0.028776	0.0255137	0.0313865	0.0414438	0.0413903	0.0457681	0.0651465	0.0596706	0.0587007	0.0457996	0.0257339	0.0144636	0.0153619	0.012028
guérisseur	0.134419	0.143928	0.0502467	0.0850952	0.104314	0.129618	0.0877255	0.0628452	0.0293689	0.016723	0.0211887	0.0180488	0.00718562	0.0063357	0.00347338	0.00360959	0.0084673	0.0160455	0.0346788	0.0143965	0.00855617	0.00247668	0.00378106	0.00160857	0.0028845	0.00298035
est	0.0268446	0.0147427	0.0227079	0.031314	0.0868397	0.118456	0.086108	0.118183	0.0999869	0.0976788	0.0789551	0.0425094	0.0513421	0.0312847	0.0121412	0.0071159	0.0101852	0.010236	0.0116876	0.0098013	0.00364454	0.006748	0.00593506	0.00653603	0.00570099	0.00331479
en	0.0275121	0.0382459	0.0603312	0.0490787	0.0867292	0.0704985	0.0701323	0.0693672	0.0739749	0.0580087	0.0503927	0.0371525	0.0383375	0.0359872	0.0286402	0.0264015	0.0136628	0.014614	0.0171106	0.0274315	0.0187758	0.0165413	0.016882	0.0166333	0.0202141	0.0173442
train	0.0639039	0.0335349	0.032137	0.0307259	0.0294504	0.0265506	0.0288956	0.0250564	0.0254517	0.0172884	0.0269942	0.0288362	0.0287013	0.0166002	0.0267948	0.0172795	0.048387	0.0476925	0.0729668	0.066772	0.0707067	0.100288	0.0518003	0.0313314	0.0296	0.022254
de	0.048252	0.0428538	0.0350705	0.0437473	0.0248647	0.0591853	0.0271549	0.0443101	0.0369098	0.0470615	0.079308	0.0668369	0.043626	0.0791418	0.0293412	0.0292407	0.0253186	0.0229962	0.0194796	0.027183	0.0259505	0.0198716	0.00729393	0.00903089	0.0196784	0.0862927
délivrer	0.0932665	0.0399568	0.0284689	0.0315523	0.0349584	0.0444712	0.0655462	0.0682616	0.0792456	0.0665416	0.0440815	0.0396229	0.0342694	0.0437522	0.0255779	0.0167291	0.014376	0.0320475	0.0228389	0.0224189	0.0269727	0.0225604	0.0194018	0.0223906	0.0273374	0.0333536
alwémbé	0.0485421	0.0420899	0.0418044	0.0429184	0.0401164	0.0392899	0.0461653	0.0398893	0.0284044	0.0337927	0.0284491	0.0357367	0.0371799	0.0263684	0.0457354	0.0350908	0.0341003	0.0555942	0.0225272	0.0333837	0.0348577	0.0239812	0.0288224	0.0323315	0.0428744	0.0799544
d'	0.0465677	0.0467829	0.0337532	0.0401878	0.0461185	0.0551437	0.070372	0.065362	0.0403964	0.0266872	0.0116175	0.0143079	0.0178479	0.0210197	0.0256336	0.024679	0.0354479	0.0410159	0.0420963	0.0475708	0.0328006	0.0347361	0.026404	0.0400798	0.0496274	0.0637441
un	0.0665371	0.0617504	0.0502072	0.0555373	0.052374	0.0349977	0.0342553	0.0330162	0.0256812	0.0207043	0.0106122	0.0112567	0.01195	0.0136324	0.017383	0.0180728	0.0233521	0.0235188	0.0347469	0.0382592	0.0393485	0.0443262	0.0420779	0.0656874	0.0802613	0.0904538
mauvais	0.0541549	0.0336376	0.0337012	0.0305346	0.0284702	0.0258805	0.0254761	0.0243914	0.0183772	0.0152817	0.00746822	0.00968187	0.014281	0.0189803	0.025962	0.0255579	0.0362463	0.0352683	0.052549	0.0436556	0.0399193	0.0369118	0.0636799	0.0890019	0.0909846	0.119946
esprit	0.102182	0.0335025	0.0271623	0.0274013	0.0242372	0.0175466	0.01699	0.0163606	0.0187102	0.0134989	0.00655045	0.0120954	0.0177011	0.0179925	0.02773	0.0242651	0.0575138	0.0544418	0.0455697	0.0331414	0.0313039	0.0358432	0.0458405	0.0700954	0.102668	0.119657
</S>	0.0221859	0.0197638	0.0155927	0.0220868	0.024301	0.0266951	0.0116681	0.00851587	0.00614213	0.00564276	0.00364294	0.00418451	0.00475789	0.00251657	0.00421952	0.00538245	0.0128296	0.0133454	0.0385523	0.0643127	0.0857977	0.0882848	0.1249	0.134248	0.118389	0.132042
