 	o	k	ú	r	u	r	u	n	d	z	ú	n	g	u	y	á	n	g	á	m	ó	t	s	ε	n	g	ε	w	ó	n	d	a	</S>
qui	0.0117395	0.0109053	0.0104804	0.00717262	0.00602287	0.00679637	0.00752501	0.0169631	0.00977574	0.0132519	0.0130393	0.0221511	0.0360665	0.0433329	0.0439225	0.0398006	0.0534915	0.0472678	0.0310628	0.0416572	0.0317971	0.0258363	0.0369123	0.0312298	0.0319674	0.0389491	0.0377281	0.0317718	0.0478932	0.0464369	0.0443183	0.055212	0.0675227
est	0.354273	0.225326	0.0902058	0.0550567	0.0119611	0.0328732	0.0195453	0.0163283	0.013072	0.0177352	0.011642	0.00865122	0.012157	0.0129251	0.0172878	0.0150866	0.0108637	0.0178851	0.0134593	0.00632005	0.00370225	0.00258394	0.00261785	0.00257474	0.00210808	0.00419539	0.0029646	0.0037868	0.00298425	0.00268721	0.00164478	0.00236905	0.00312671
ce	0.0208398	0.0219685	0.0283066	0.0187717	0.0147095	0.0243203	0.0203587	0.0191942	0.0160378	0.0191084	0.0126254	0.0325017	0.0332157	0.0721419	0.0869422	0.114619	0.0953714	0.0591039	0.0286237	0.0189124	0.0226842	0.0151265	0.0196261	0.0111615	0.0142149	0.0323381	0.0190849	0.0226637	0.0167779	0.0245264	0.0104823	0.0217427	0.011898
qui	0.0388302	0.0202969	0.0178404	0.0178831	0.0171459	0.0188189	0.0195779	0.0233741	0.0275348	0.0446942	0.0427425	0.0682667	0.0592768	0.0649811	0.0549316	0.0510838	0.0390696	0.0446744	0.042255	0.0299596	0.0435632	0.0276955	0.0230319	0.0209835	0.0240998	0.019928	0.0124148	0.00882381	0.0138529	0.012129	0.0120307	0.0144076	0.0238018
frotte	0.0471221	0.0330964	0.0238265	0.0232101	0.0192286	0.0367365	0.0361029	0.0371324	0.0310814	0.0254326	0.0264137	0.0287721	0.0208432	0.019151	0.0161913	0.0102621	0.0181576	0.00640585	0.0237779	0.0307677	0.0136692	0.0487636	0.0265031	0.0952631	0.0647596	0.0236694	0.0146413	0.0106015	0.0464088	0.0079547	0.00816912	0.039099	0.0867857
ma	0.0201384	0.0180103	0.0187968	0.0178779	0.0214831	0.0196129	0.0230918	0.0251168	0.0326296	0.0188493	0.0282911	0.0296706	0.0228974	0.0204767	0.0197938	0.0305828	0.022123	0.0256639	0.0667993	0.0571238	0.036847	0.0360496	0.0254888	0.0406899	0.0532799	0.030592	0.0295995	0.0186397	0.0225254	0.026244	0.0292131	0.0322497	0.0795525
marmite	0.017339	0.0127445	0.0133994	0.0149369	0.02087	0.0173779	0.0194106	0.0181528	0.0370557	0.0267665	0.0285959	0.0321402	0.0186975	0.0160417	0.0153933	0.0227489	0.0224875	0.0216437	0.0461371	0.0391956	0.0355518	0.0321802	0.0432701	0.0524835	0.0592617	0.0335095	0.0406819	0.0276856	0.0322907	0.0323398	0.0394963	0.0407337	0.0693804
contre	0.0152251	0.0107047	0.011254	0.0151511	0.024042	0.0158035	0.0196658	0.0210071	0.0225604	0.019714	0.0159082	0.0211207	0.0177287	0.0264213	0.0253765	0.0387401	0.0449347	0.0179957	0.0495438	0.0567517	0.0447156	0.0469172	0.0271424	0.0395552	0.0497883	0.0344529	0.0287799	0.0133436	0.026031	0.0282937	0.0259781	0.0429438	0.102409
le	0.053056	0.029521	0.026403	0.0204082	0.015293	0.0165308	0.0136543	0.0119453	0.0202234	0.016998	0.0140042	0.0210812	0.016025	0.017814	0.0160074	0.0284156	0.0326759	0.0326127	0.0373493	0.0386673	0.0388107	0.0343301	0.0281972	0.0350198	0.036526	0.0369757	0.0373053	0.0369874	0.0351849	0.0405201	0.0412999	0.0486307	0.0715266
sol	0.0241997	0.0233836	0.0229072	0.0201966	0.0148785	0.0129518	0.00918059	0.00909115	0.0100326	0.0103001	0.010385	0.0129523	0.0107062	0.0128114	0.0114506	0.018783	0.021982	0.0155916	0.0244345	0.0297088	0.0392153	0.0306337	0.0314022	0.0305009	0.0329375	0.0411981	0.0312061	0.041892	0.0375308	0.0627555	0.0742331	0.0791614	0.141406
</S>	0.0760985	0.0453042	0.0474614	0.0417366	0.0350415	0.0335259	0.0410279	0.0286423	0.0390643	0.0300385	0.0220643	0.0141437	0.00959733	0.0112637	0.0113947	0.0173729	0.0133718	0.0201965	0.0263697	0.0252672	0.0264935	0.0310581	0.02747	0.0282853	0.0374759	0.0323584	0.0310591	0.0215948	0.0207593	0.0327132	0.0345461	0.0318662	0.0553371
