 	o	b	v	έ	b	á	b	e	a	b	á	w	a	í	t	ú	n	g	u	s	u	b	á	n	g	á	</S>
la	0.0192117	0.0178209	0.0122975	0.0122829	0.0162231	0.0219526	0.0330277	0.0258782	0.0458716	0.0469924	0.0104082	0.0112554	0.026152	0.0132018	0.0566234	0.0490702	0.0350519	0.0273681	0.0491233	0.0615946	0.0722136	0.0641002	0.0574287	0.0663813	0.0563016	0.049449	0.0427182
bonne	0.0504007	0.0699186	0.0394347	0.0265935	0.0152244	0.0115155	0.0438533	0.0308907	0.0320928	0.0340661	0.00595447	0.00986641	0.0186417	0.010598	0.0872068	0.192909	0.1122	0.0391977	0.0618161	0.0317066	0.0279929	0.0153477	0.00735632	0.0147174	0.00450276	0.00295523	0.00303952
qualité	0.0698823	0.0273391	0.0352881	0.0469767	0.0676625	0.0565064	0.0678507	0.0335543	0.0246244	0.0142572	0.0100577	0.0106636	0.0252496	0.0191525	0.0898024	0.20753	0.0594249	0.00972494	0.0148694	0.0095217	0.0329341	0.0154595	0.00754113	0.0119768	0.00896145	0.0130647	0.0101233
de	0.0634969	0.0659985	0.0689777	0.0952017	0.062545	0.040299	0.0204218	0.0168373	0.0168521	0.0247412	0.0238373	0.0213158	0.0514103	0.0338263	0.0252022	0.0488361	0.023651	0.0405042	0.011162	0.0210419	0.0240545	0.0231955	0.025503	0.019754	0.023207	0.0192293	0.0888983
sa	0.0677271	0.0804705	0.0874552	0.0694851	0.0484698	0.0357947	0.0296412	0.0143623	0.0129792	0.0185007	0.0112973	0.00894172	0.00952992	0.0113555	0.0165501	0.0281844	0.0180463	0.0293786	0.0232666	0.0297747	0.0182012	0.0244824	0.0218427	0.032471	0.0498394	0.0575787	0.144374
marchandise	0.0591618	0.0734041	0.0806469	0.0775251	0.0735522	0.0465498	0.0474177	0.0362164	0.0139131	0.0104133	0.00370452	0.00303041	0.00396233	0.00324568	0.0147519	0.0329748	0.022683	0.0176568	0.0372398	0.0374026	0.0370605	0.0320462	0.0158871	0.0301733	0.0195299	0.0164282	0.153423
a	0.133211	0.0983342	0.105426	0.0774071	0.0735641	0.041097	0.0317736	0.0364282	0.0220487	0.0089347	0.00822	0.00745005	0.00412381	0.00672501	0.013482	0.0367578	0.0172973	0.00984303	0.0286311	0.0214032	0.0151762	0.0131294	0.00916187	0.0125968	0.0103926	0.0152418	0.142144
causé	0.196577	0.0948332	0.0757219	0.0423289	0.0229761	0.0133126	0.00851874	0.00804571	0.00756871	0.006116	0.00331504	0.00574259	0.00271175	0.00590605	0.0148735	0.0426853	0.0313153	0.00825623	0.0445342	0.0286732	0.0399534	0.0349495	0.02401	0.0312947	0.0298362	0.0292682	0.146676
la	0.0545118	0.0601989	0.0506034	0.0575566	0.0338584	0.0198717	0.0101821	0.0098983	0.0111856	0.0118185	0.0133681	0.0147302	0.014902	0.0171883	0.0241387	0.0437177	0.0327841	0.0135696	0.0292694	0.0303274	0.0381761	0.0454055	0.0641051	0.0573178	0.0589341	0.0453491	0.137032
mévente	0.0817353	0.0713888	0.0778363	0.0598028	0.0489056	0.0264464	0.015291	0.0157554	0.0118375	0.0059711	0.00454188	0.00508238	0.00310824	0.00374138	0.00875433	0.0439354	0.0173723	0.0104714	0.0530251	0.0427782	0.0626714	0.0521265	0.0294935	0.0432163	0.02795	0.0237241	0.153037
de	0.0624469	0.0660468	0.0693396	0.0748845	0.0615618	0.0314863	0.0156466	0.0194389	0.0192302	0.0154591	0.00847479	0.00417921	0.00982154	0.00687233	0.0158138	0.0262465	0.0171413	0.0173777	0.0222212	0.0185632	0.0190805	0.0256049	0.0288984	0.0350725	0.0412842	0.0368642	0.230943
la	0.0544877	0.0448916	0.0448504	0.0331664	0.0163896	0.0088656	0.00586213	0.00559607	0.00656869	0.00873544	0.00653128	0.0126287	0.00470578	0.0079375	0.0158535	0.0318712	0.0422136	0.0412403	0.0616716	0.0564265	0.0684671	0.0710668	0.0711728	0.0688061	0.0652597	0.0573425	0.0873916
mienne	0.0448904	0.0348451	0.0323417	0.0333137	0.0276791	0.0206434	0.0125728	0.0105138	0.00845716	0.00629416	0.00380467	0.00539193	0.00509433	0.00620648	0.0193574	0.0586073	0.0322244	0.0125825	0.0844708	0.0653535	0.0798676	0.0780254	0.0331802	0.0565886	0.0357469	0.0329043	0.159042
</S>	0.0590587	0.0734719	0.0570179	0.0629779	0.0438379	0.0349905	0.0188354	0.0200815	0.0185927	0.0127963	0.0141938	0.0168771	0.0124524	0.0107241	0.00876461	0.00977305	0.0191553	0.013451	0.0194246	0.0145507	0.0360781	0.0485577	0.0541707	0.0351835	0.0495101	0.0575718	0.177901
