 	n	g	a	á	y	á	t	s	o	m	b	o	é	k	ó	i	s	é	s	a	n	g	a	y	é	</S>
un	0.0370462	0.0825187	0.0741582	0.0506981	0.0507491	0.0434056	0.0543271	0.0309915	0.0299	0.0303978	0.0358391	0.0309707	0.0365606	0.0528484	0.0491948	0.0505063	0.0427478	0.027739	0.0249223	0.021385	0.0156684	0.026833	0.0289634	0.0239197	0.0209574	0.0267517
troupeau	0.0814963	0.123097	0.0986806	0.0893516	0.0839217	0.124068	0.0506842	0.107644	0.0812058	0.0630718	0.0225837	0.0187467	0.0121802	0.00745986	0.00296721	0.00286285	0.00384244	0.00571293	0.00577106	0.00427461	0.00261642	0.00211579	0.00124998	0.00153126	0.00199262	0.000870557
de	0.0851423	0.0497664	0.0356718	0.036376	0.0347831	0.0638263	0.0446901	0.0881027	0.079542	0.0766013	0.0455703	0.0261484	0.0233133	0.0190038	0.0159387	0.0188555	0.0223654	0.0433916	0.0420025	0.0270767	0.0117167	0.0182572	0.0146112	0.0270003	0.0296153	0.0206311
sangliers	0.0870145	0.0633645	0.0333374	0.0467488	0.0396032	0.0436211	0.0421852	0.0659807	0.0512976	0.0627627	0.0441556	0.02046	0.0240912	0.0278312	0.0214957	0.0164134	0.0115197	0.0176754	0.0219803	0.0191476	0.0145492	0.0145342	0.0274754	0.0349994	0.049251	0.0985049
est	0.0613072	0.0419714	0.0307224	0.0442873	0.0489271	0.0672901	0.0696006	0.0719981	0.0598742	0.0572411	0.0416018	0.0242649	0.0270299	0.0219014	0.00982315	0.0100327	0.00947216	0.019259	0.0231323	0.0205846	0.0161462	0.0202915	0.0226106	0.037122	0.0503735	0.0931348
entré	0.0233789	0.0127804	0.0128234	0.0197007	0.0183269	0.0327931	0.0347108	0.0423237	0.0414722	0.0493022	0.048294	0.0296004	0.032028	0.0362694	0.0375652	0.0404942	0.0346692	0.0572824	0.0659995	0.0524856	0.0435191	0.0352717	0.0378963	0.0377	0.0533505	0.069962
dans	0.0583267	0.0394715	0.0240297	0.038265	0.0413662	0.0579175	0.0473185	0.0562642	0.0478953	0.0489474	0.0265975	0.014615	0.0203529	0.02482	0.0239745	0.0204038	0.0130039	0.0150013	0.0223992	0.0210515	0.0221278	0.0170879	0.0295088	0.046579	0.0901506	0.132524
ce	0.0628821	0.050265	0.0334801	0.0383268	0.039511	0.0474633	0.0605042	0.0457889	0.0385171	0.0294685	0.0213592	0.0118321	0.0146462	0.0205116	0.0194117	0.0181528	0.0135984	0.0174387	0.0213111	0.0222196	0.0289555	0.0236821	0.0365456	0.0470475	0.106739	0.130342
bosquet	0.0787306	0.0559333	0.0483078	0.0483257	0.0469427	0.062234	0.066138	0.0509449	0.0352889	0.0203524	0.0122409	0.00537408	0.00740904	0.0117196	0.0136067	0.0199102	0.0234881	0.0269476	0.0304463	0.0233991	0.0163363	0.0310055	0.0145646	0.0316063	0.096427	0.12232
</S>	0.0465171	0.0350534	0.0241652	0.027813	0.0271823	0.0354558	0.0351663	0.041511	0.0291638	0.0255411	0.0152677	0.00523294	0.00823746	0.0129503	0.017186	0.0196955	0.0204393	0.0272173	0.0425032	0.0339005	0.0350509	0.0215827	0.0478775	0.068283	0.103407	0.1936
