 	i	d	z	á	a	l	í	i	p	έ	έ	n	ω	p	á	m	i	y	í	s	á	l	a	</S>
la	0.0519451	0.0390686	0.0249106	0.020235	0.0211221	0.0177946	0.0211695	0.0288915	0.0301367	0.0300572	0.0311419	0.0375885	0.0346569	0.0376519	0.0405599	0.0353909	0.0545833	0.0665991	0.0569022	0.0901416	0.0674399	0.0518415	0.0603289	0.0498424
nourriture	0.0349232	0.0488686	0.177479	0.226897	0.235654	0.0584528	0.0297161	0.0510251	0.0280723	0.014972	0.00528791	0.00327195	0.00299457	0.00469319	0.00750335	0.00629593	0.018753	0.0115763	0.0130431	0.0106445	0.00382404	0.00285953	0.00178061	0.00141082
te	0.120212	0.121633	0.0441846	0.0317892	0.0339349	0.0302641	0.0215288	0.0216025	0.0570985	0.0740845	0.0588601	0.0638308	0.0393425	0.0141316	0.0144291	0.0271433	0.0382251	0.0410114	0.029902	0.0242914	0.0264709	0.0264496	0.022338	0.0172417
donne	0.0547751	0.0748834	0.0897248	0.0700041	0.0631475	0.0539903	0.0430441	0.0401902	0.0588491	0.0633149	0.0437837	0.0309236	0.0162608	0.00893872	0.0066166	0.00874263	0.0136171	0.0263947	0.0187266	0.0185763	0.0225599	0.0391773	0.0375454	0.0962131
de	0.039722	0.0388131	0.0424747	0.0396042	0.0632442	0.0604052	0.0447019	0.0439265	0.0297377	0.0272096	0.019129	0.0213146	0.0241026	0.0312624	0.040926	0.059733	0.0386425	0.0355901	0.0344265	0.0290768	0.03524	0.0493292	0.0528211	0.098567
l'	0.0467514	0.0347684	0.0337269	0.0347856	0.0366737	0.0415373	0.0443934	0.0494618	0.0443935	0.0314962	0.0334037	0.0298039	0.0417986	0.0420095	0.0317799	0.0513569	0.0413164	0.0451775	0.0453667	0.0455584	0.0336145	0.0533152	0.0447833	0.0627272
énergie	0.0256348	0.0215504	0.0192221	0.024831	0.021754	0.0248865	0.0252011	0.0422522	0.0465453	0.0266869	0.0373294	0.0291814	0.0252433	0.0344134	0.0271963	0.0375418	0.0308325	0.048809	0.0531111	0.0592217	0.0607784	0.0689297	0.0786105	0.130237
pour	0.0911424	0.0645124	0.0528791	0.0550239	0.0497052	0.0465519	0.0441811	0.0434522	0.044817	0.0418802	0.035792	0.0366764	0.031095	0.0165026	0.0158987	0.0226872	0.0163405	0.0291427	0.0252816	0.0234046	0.0282139	0.0363733	0.0363021	0.112144
travailler	0.0489397	0.0342899	0.0412075	0.0412769	0.0355443	0.0354368	0.0258735	0.0193859	0.0136247	0.00707013	0.00820216	0.00924679	0.0104845	0.0123391	0.0150655	0.0187629	0.0245146	0.0529143	0.0671385	0.0768658	0.086354	0.0911094	0.102085	0.122269
</S>	0.0340624	0.0270529	0.0256728	0.0261029	0.0271522	0.0228227	0.0133701	0.015276	0.0119963	0.00818724	0.011272	0.014859	0.020655	0.0208759	0.0161675	0.0224947	0.0151578	0.0342213	0.0579456	0.0756071	0.0933702	0.114881	0.124403	0.166395
