 	e	t	ó	n	g	o	é	k	ó	í	n	d	z	ώ	a	t	ó	i	á	l	a	a	n	í	</S>
un	0.0143983	0.0182667	0.023487	0.0258239	0.0306324	0.0225117	0.0201227	0.0329931	0.0325269	0.0466239	0.0580462	0.0622014	0.0674737	0.0618958	0.0687824	0.0609498	0.0537402	0.0446795	0.0398525	0.0367844	0.0414245	0.0402063	0.0348215	0.0353701	0.0263851
serpent	0.0287832	0.0628105	0.0656618	0.117237	0.111227	0.1245	0.0427718	0.0462207	0.0625258	0.0261612	0.0242801	0.0130676	0.0325421	0.0266319	0.0592925	0.0532272	0.0207088	0.013055	0.0131234	0.0105799	0.0102139	0.0167642	0.00851747	0.00531686	0.00478032
est	0.039019	0.0231689	0.0114975	0.0135138	0.0353799	0.126141	0.106885	0.0673566	0.0598054	0.0439207	0.0276212	0.0202628	0.0260464	0.0380877	0.0334846	0.0326351	0.0280945	0.0427631	0.0525481	0.0361269	0.0724088	0.0340183	0.0154984	0.0067705	0.00694603
entré	0.0520722	0.0544327	0.0399499	0.0401308	0.0623357	0.112118	0.144967	0.111056	0.0518258	0.0298185	0.0223811	0.0233512	0.0158633	0.0160103	0.012985	0.0119516	0.00965835	0.0236273	0.0362217	0.0190729	0.0296018	0.0169147	0.014321	0.016035	0.0332984
dans	0.0535312	0.0401204	0.0353404	0.0322679	0.0405396	0.0486829	0.0457878	0.0340515	0.0358332	0.0466738	0.0245741	0.0223758	0.0205559	0.0209076	0.0244701	0.0340915	0.0615652	0.0522711	0.0376898	0.0408783	0.0403106	0.0457707	0.0454946	0.0429575	0.0732588
l'	0.0299753	0.0252284	0.0252721	0.0283463	0.038484	0.0417604	0.0399853	0.0360049	0.0317884	0.0303087	0.0311441	0.0223602	0.0239775	0.0247329	0.027553	0.0374331	0.0546249	0.0492552	0.0420733	0.0435977	0.0480728	0.0579811	0.0578091	0.0827665	0.069465
étang	0.0505747	0.0352042	0.0235541	0.021013	0.0179588	0.0157429	0.0217525	0.0209534	0.0231772	0.0161402	0.0176272	0.026223	0.0257285	0.0326148	0.0504477	0.0623119	0.0782952	0.0588472	0.0531377	0.040322	0.0547605	0.053739	0.0570608	0.0612013	0.0816122
et	0.0363785	0.0264159	0.0225878	0.0208561	0.0212512	0.0178004	0.0304029	0.0376597	0.0489345	0.0634171	0.0462962	0.0468847	0.0399511	0.0374865	0.0321498	0.034269	0.0309862	0.0329096	0.0374011	0.0354925	0.0547781	0.045754	0.0432031	0.0552405	0.101493
tous	0.0522659	0.0334334	0.0266174	0.0228836	0.0205699	0.0174951	0.0354459	0.0339476	0.0341544	0.0279508	0.0212291	0.0201862	0.0234596	0.0232601	0.0231232	0.0247971	0.0320063	0.0238994	0.0308761	0.0407635	0.0724704	0.0835002	0.0796565	0.085997	0.110011
les	0.106551	0.0690811	0.0526407	0.0298731	0.0193634	0.0171191	0.0165265	0.015836	0.0167821	0.0199853	0.0194949	0.0183523	0.0176237	0.0159003	0.013739	0.0146128	0.0178161	0.0171185	0.0208834	0.0248236	0.041748	0.0597205	0.0818268	0.0976213	0.17496
pêcheurs	0.115483	0.0687224	0.0469333	0.0360594	0.0250452	0.0105085	0.00664622	0.00536999	0.0108773	0.00934349	0.00946552	0.0108213	0.0106936	0.01209	0.0118549	0.0176457	0.021491	0.0174933	0.0207847	0.0214922	0.0390838	0.0627895	0.101975	0.105928	0.201403
à	0.149298	0.082043	0.0474251	0.0261287	0.0210296	0.0137549	0.00781905	0.00314669	0.00442553	0.00417417	0.00452582	0.00734505	0.00725409	0.00977474	0.0072376	0.00897037	0.00702186	0.00503274	0.00825303	0.00787635	0.0386039	0.0547838	0.104405	0.107447	0.262224
l'	0.146272	0.0913688	0.0636289	0.0332444	0.0232555	0.0123452	0.0122465	0.00796853	0.00978569	0.00877793	0.00903632	0.0115095	0.0101573	0.0114096	0.00729799	0.00913202	0.0102631	0.0110731	0.0164106	0.016699	0.0359433	0.0383776	0.0638198	0.0945973	0.24538
écope	0.0672883	0.0398908	0.0287534	0.0212201	0.0163548	0.00968657	0.00985199	0.00528218	0.00693583	0.00519294	0.00541512	0.00678919	0.00648744	0.00766035	0.0067671	0.0085717	0.00652222	0.00570572	0.0124426	0.0143954	0.0739295	0.0940757	0.127486	0.126806	0.286489
ont	0.0450493	0.0458445	0.0479761	0.0388552	0.033211	0.0292506	0.0418218	0.0514337	0.0605772	0.0576643	0.0323772	0.0226185	0.012208	0.0111855	0.0101605	0.0119978	0.0161919	0.023773	0.0357219	0.0248446	0.0382965	0.0396117	0.0642599	0.0722449	0.132824
pris	0.152228	0.0792967	0.0561432	0.028446	0.0208406	0.0154566	0.0294343	0.0258587	0.0313491	0.0270247	0.0258427	0.0284764	0.0253325	0.0226438	0.0112369	0.00884632	0.00824743	0.00871448	0.0123244	0.0149632	0.0281297	0.0389035	0.052387	0.0621225	0.185751
fuite	0.0789867	0.0587495	0.045236	0.0285363	0.0252903	0.0178049	0.0278676	0.0321192	0.0475096	0.0311441	0.0218036	0.0190876	0.0188378	0.0165198	0.00734469	0.00791884	0.00851587	0.00964465	0.0128813	0.0176287	0.035018	0.0588236	0.0780426	0.0707964	0.223892
</S>	0.0688416	0.0430478	0.0320959	0.0219661	0.01826	0.0116735	0.0142843	0.0179867	0.0335022	0.0200834	0.0185788	0.0230057	0.0182468	0.0156443	0.00763401	0.0065041	0.00682384	0.0071812	0.0112516	0.0149883	0.0332783	0.0550284	0.0827569	0.0843763	0.33296
