 	m	w	á	n	a	o	y	ú	r	u	w	ó	a	d	í	d	z	u	u	w	a	a	d	í	í	o	s	á	l	a	k	a	á	</S>
cette	0.00241009	0.00539736	0.00855903	0.00288602	0.00249285	0.00248582	0.00247012	0.002593	0.00306954	0.0046101	0.00247681	0.00820816	0.0179153	0.0344191	0.120064	0.0859347	0.0652947	0.0462542	0.0230567	0.0506636	0.0347976	0.0450508	0.0206211	0.0241432	0.0354407	0.0274465	0.0507561	0.0388005	0.0590805	0.0378094	0.0382899	0.03274	0.041323	0.0224397
jeune	0.141557	0.0200782	0.0250104	0.176419	0.220094	0.102088	0.150521	0.0730988	0.0182923	0.00556128	0.00780916	0.00603657	0.00413526	0.00102061	0.000664124	0.000439252	0.000378252	0.000488575	0.000943289	0.00110653	0.000670398	0.00261836	0.003312	0.00440391	0.00661501	0.00913744	0.00827266	0.00369286	0.000851715	0.00169668	0.00175264	0.000694232	0.000209441	0.00033109
fille	0.053101	0.0549726	0.0828298	0.0864614	0.0399578	0.0277692	0.0176558	0.0163969	0.0239827	0.0186865	0.0467957	0.0320597	0.0146084	0.0153473	0.00920082	0.015873	0.0154315	0.0213514	0.0298534	0.0361925	0.0313436	0.0307172	0.0388586	0.0624536	0.0245994	0.0131189	0.0112179	0.018585	0.0161907	0.0128212	0.0142289	0.0184668	0.0303276	0.0185432
est	0.0679233	0.0577986	0.0405885	0.0245112	0.0358853	0.0374522	0.0503757	0.0698689	0.0231424	0.0240297	0.0180666	0.0302554	0.0158213	0.0221676	0.0156237	0.0158367	0.0191772	0.0317675	0.0364323	0.0185797	0.0233436	0.032908	0.0289986	0.0227604	0.0230468	0.0101612	0.0154235	0.0231687	0.0170356	0.0103147	0.0209633	0.0235369	0.0297434	0.0632913
indolente	0.0301933	0.0240611	0.0243784	0.0243954	0.0248069	0.0260419	0.0248994	0.0258912	0.0128288	0.0119217	0.00651647	0.0131658	0.00983863	0.0131586	0.0156071	0.0135874	0.0175224	0.0222046	0.0305362	0.0254207	0.0233505	0.0415446	0.0439333	0.0595904	0.051706	0.0599868	0.0658558	0.045043	0.0338089	0.0387037	0.0250722	0.0405326	0.0320679	0.0418283
en	0.0364425	0.0193972	0.0179937	0.0160261	0.0159396	0.0173646	0.0172832	0.0203251	0.0229092	0.02053	0.0279347	0.0206585	0.0216309	0.0238013	0.0234609	0.0295047	0.0258662	0.0298066	0.0361802	0.0297306	0.0594409	0.0749443	0.073566	0.0316825	0.031559	0.0289395	0.0172186	0.0152916	0.0132264	0.0216615	0.0221614	0.0402711	0.0379622	0.0592891
effet	0.0186289	0.0183626	0.0188121	0.022474	0.0234228	0.0345778	0.0316009	0.0431707	0.0449021	0.0452825	0.0264509	0.0299583	0.0201285	0.0214487	0.0190772	0.030952	0.0279885	0.0150438	0.0334996	0.0544514	0.0359864	0.022856	0.0183281	0.00837682	0.0212633	0.026184	0.0163999	0.0192723	0.00979717	0.0277101	0.0216833	0.0459238	0.0471197	0.0988658
elle	0.0397313	0.0434996	0.0379338	0.0374618	0.0340934	0.0471236	0.0433467	0.0581147	0.0557455	0.0539157	0.039751	0.0532966	0.0268218	0.0209981	0.016108	0.0303034	0.0197689	0.0287567	0.0264133	0.0257546	0.0323323	0.0254857	0.0209926	0.0101297	0.0136909	0.0106075	0.0133833	0.0117241	0.00939091	0.0101839	0.0112285	0.017423	0.0218714	0.0526177
n'	0.105031	0.0491455	0.035225	0.0322262	0.0283775	0.024889	0.0150936	0.0126064	0.013523	0.00659867	0.00970803	0.00922271	0.00746153	0.00809609	0.00973371	0.00930909	0.00892478	0.017534	0.0286529	0.0226678	0.0440409	0.0344264	0.0368857	0.043787	0.0322543	0.0178419	0.0380214	0.0241876	0.0227991	0.0360264	0.0226411	0.0576035	0.0494495	0.0860085
est	0.164519	0.0727205	0.0528189	0.0569054	0.0625674	0.0566952	0.0398698	0.0251886	0.0177361	0.00674903	0.0123554	0.00677001	0.00638103	0.00585812	0.00558858	0.00672765	0.00661814	0.0131193	0.0236585	0.0122192	0.0272913	0.0143191	0.0102636	0.0121824	0.015569	0.0101251	0.0182514	0.0185188	0.0156179	0.0172998	0.0235354	0.0254245	0.0340834	0.102453
pas	0.0901361	0.0422146	0.0376699	0.036272	0.0287269	0.0183072	0.0189987	0.0119842	0.0177619	0.0125009	0.022406	0.0139169	0.0201785	0.016124	0.0270402	0.0348996	0.0370614	0.0314675	0.0331376	0.0353972	0.0197109	0.0155794	0.0198847	0.0205391	0.0263426	0.0254613	0.0278463	0.028178	0.0237046	0.0317916	0.0158727	0.0399765	0.050809	0.0681022
entreprenante	0.0802935	0.0539159	0.0417582	0.0321757	0.0313805	0.0256548	0.0251398	0.0202793	0.0149226	0.0112361	0.0106886	0.0139246	0.0119851	0.011586	0.00983149	0.00518551	0.00893337	0.0058647	0.00785739	0.00728789	0.00569325	0.00421933	0.00529603	0.00563701	0.0273158	0.030649	0.0542599	0.0483284	0.0505688	0.0492031	0.0442202	0.0887357	0.0861987	0.0697738
</S>	0.0858323	0.0548136	0.0343637	0.0306901	0.032556	0.0192913	0.0341823	0.0206664	0.0167623	0.0101406	0.0086189	0.010585	0.0129453	0.00679084	0.00983637	0.00740155	0.013666	0.0125113	0.0164715	0.0151241	0.0113116	0.00791423	0.011576	0.010518	0.0350919	0.0188258	0.0471292	0.0464004	0.0517418	0.0485039	0.0387367	0.0810382	0.0717223	0.0662405
