 	b	ε	έ	b	ε	έ	l	a	p	o	o	é	d	í	l	a	n	g	o	n	d	a	y	á	a	t	ω	r	ω	</S>
a	0.0107998	0.0100531	0.00698661	0.00677785	0.00923056	0.0144094	0.0208642	0.0260471	0.039579	0.0523081	0.0482556	0.0603045	0.0762737	0.0752939	0.0507574	0.0349228	0.0305354	0.0384294	0.0386836	0.0389022	0.0352091	0.0437175	0.041869	0.0372708	0.0440743	0.0272114	0.0189047	0.017685	0.0173036	0.0273405
côté	0.020581	0.00972925	0.0191716	0.0190804	0.0200481	0.0178889	0.0186055	0.0112603	0.00734851	0.00832894	0.0112533	0.00841852	0.0140031	0.0332789	0.0652893	0.0820858	0.102653	0.117553	0.0731686	0.115183	0.0511572	0.0430913	0.0300037	0.0113109	0.013241	0.0303265	0.0181151	0.0123938	0.00707113	0.00835936
du	0.0363004	0.0318275	0.0509623	0.0497809	0.0328471	0.0267129	0.0206496	0.015803	0.0145309	0.0140932	0.0177392	0.0277157	0.0611936	0.071774	0.0618811	0.0561776	0.0536301	0.0543184	0.0640015	0.0466325	0.0359132	0.0273702	0.0170538	0.0263016	0.0138656	0.0100983	0.0115412	0.0131861	0.0204843	0.0156142
village	0.0283226	0.0260112	0.0231025	0.0230165	0.0239822	0.0151527	0.0189315	0.0201801	0.0225161	0.0394949	0.0418714	0.0416565	0.0353901	0.0325551	0.0430102	0.0527161	0.0522036	0.0520214	0.0554176	0.0659547	0.0761308	0.0402463	0.0321431	0.0315025	0.0183655	0.0232208	0.0181707	0.0149078	0.0123197	0.0194857
il	0.0331983	0.032527	0.0321749	0.0580489	0.0740141	0.0808826	0.0684629	0.052715	0.0441779	0.0524744	0.038687	0.0270631	0.0236773	0.0184369	0.0252893	0.0156852	0.0177399	0.0155045	0.0177041	0.0183144	0.0197875	0.0142802	0.0110335	0.0166051	0.010763	0.0155188	0.0179505	0.0236735	0.032341	0.0912691
y	0.0823687	0.0523856	0.0544932	0.0552545	0.0482564	0.0505574	0.0451475	0.0349581	0.0235756	0.02199	0.0242992	0.0157366	0.0166752	0.0156747	0.0222485	0.0279573	0.0292392	0.0267806	0.0320252	0.0280076	0.0263571	0.0209542	0.0211404	0.0197312	0.0186823	0.0227131	0.018753	0.0287524	0.0459817	0.0693033
a	0.0773788	0.0486486	0.0393538	0.0378392	0.0335876	0.0313362	0.0280438	0.026881	0.0219494	0.0184363	0.0250432	0.0172135	0.0245045	0.026349	0.0341227	0.0331525	0.0328266	0.0320632	0.0344183	0.0309951	0.028506	0.0192027	0.019603	0.0171006	0.0167959	0.023804	0.0183489	0.0257133	0.0652027	0.11158
une	0.058131	0.0450325	0.037577	0.0389436	0.0348499	0.0311539	0.0218772	0.0154293	0.0111949	0.0101522	0.013653	0.0140797	0.0156898	0.0147526	0.0140766	0.0176834	0.0217801	0.0258437	0.0315553	0.0277256	0.030633	0.031294	0.0336349	0.0302058	0.0387627	0.0399311	0.0343684	0.0529563	0.0806537	0.126379
grande	0.0945037	0.060088	0.0516389	0.0376535	0.0220656	0.00859653	0.00518813	0.00476716	0.00435398	0.00556257	0.0081286	0.0107519	0.0173936	0.0243373	0.0266589	0.0255855	0.0238155	0.0244291	0.00943405	0.00934268	0.0167674	0.0182772	0.031062	0.0239668	0.0685134	0.0549709	0.0529979	0.05946	0.0700903	0.129599
bananeraie	0.0856176	0.0455906	0.043037	0.0400455	0.0314424	0.0146012	0.00868618	0.00700901	0.00636322	0.0108049	0.0116309	0.00945638	0.00842055	0.0109841	0.0100823	0.00994601	0.00991891	0.0115295	0.0102295	0.0101629	0.0104514	0.0156325	0.025502	0.0202438	0.0611681	0.052707	0.0727665	0.0778079	0.123984	0.144179
</S>	0.0686429	0.0440494	0.0436907	0.0478663	0.0487189	0.0354126	0.020298	0.0197545	0.0119624	0.0100214	0.0138932	0.0110247	0.0101329	0.0178077	0.0306782	0.0301852	0.0282735	0.0181935	0.00887898	0.00949611	0.0138097	0.0232307	0.0235202	0.0279898	0.0424489	0.0499872	0.0527051	0.0630718	0.0656309	0.108625
