 	b	á	n	a	b	á	p	á	a	r	á	a	d	í	á	d	í	ω	k	a	n	d	á	t	á	á	l	a	n	g	ó	o	έ	</S>
les	0.00853171	0.0256431	0.0349652	0.0171081	0.0157443	0.0119468	0.0106795	0.0125612	0.0150258	0.0187537	0.0200827	0.0162733	0.0162188	0.025593	0.0422021	0.0523452	0.108025	0.0829287	0.065913	0.065534	0.0505144	0.0402125	0.0376371	0.0347339	0.0351536	0.0229082	0.0311018	0.0172428	0.0118078	0.012802	0.0149582	0.0102253	0.00769743	0.00692932
enfants	0.0760875	0.0820518	0.0687017	0.138295	0.105554	0.105012	0.072114	0.030246	0.0285162	0.0224276	0.0209202	0.0117105	0.013176	0.0110367	0.00514689	0.00585692	0.0123571	0.00744487	0.00770127	0.0112784	0.0159944	0.0145028	0.0135001	0.0141067	0.0153554	0.0158461	0.0134744	0.0126928	0.00972	0.0086112	0.0107005	0.00936882	0.0055165	0.0049757
de	0.0801667	0.0373863	0.0340155	0.032811	0.036412	0.0329757	0.0372616	0.0360684	0.0361667	0.0449271	0.0723168	0.048664	0.0412195	0.0347855	0.0375359	0.027819	0.023219	0.0228424	0.0290314	0.0201206	0.0312324	0.0194292	0.0291163	0.0116717	0.0169296	0.0174693	0.0156137	0.0151419	0.0211369	0.0157767	0.010867	0.0112878	0.0093291	0.0092535
l'	0.0112606	0.010241	0.0149683	0.0221439	0.0206199	0.0136143	0.0138928	0.012334	0.0149197	0.0172982	0.0247972	0.0409852	0.0439392	0.0739736	0.0635537	0.0597444	0.0228221	0.0466218	0.0455877	0.0367513	0.0481842	0.0316839	0.0339388	0.021936	0.0257494	0.0272151	0.0181304	0.0308067	0.0305107	0.0246728	0.0215359	0.0303724	0.0198439	0.0253507
époque	0.0282196	0.0265848	0.0255812	0.0318608	0.0266962	0.0256758	0.0306155	0.0316974	0.0307399	0.041133	0.0391728	0.0407242	0.0476162	0.03717	0.0412252	0.04103	0.0498513	0.0452406	0.0397211	0.0446907	0.0304521	0.0289511	0.0185555	0.0189026	0.0194513	0.0216618	0.0177405	0.0164904	0.0161714	0.0162677	0.0186492	0.0174001	0.0136501	0.0204096
actuelle	0.03905	0.0264139	0.0258167	0.0313767	0.0314887	0.0265762	0.0350134	0.0372251	0.038139	0.0424879	0.0481182	0.0391241	0.0401263	0.020912	0.0249601	0.0187722	0.0172653	0.035195	0.0249895	0.0516167	0.027039	0.0445365	0.0142118	0.0139428	0.014895	0.0288469	0.0109108	0.0274454	0.0275149	0.0257807	0.0281083	0.0203642	0.0240874	0.037649
ne	0.0773969	0.0540613	0.0489509	0.0430582	0.0473683	0.0435363	0.0532303	0.0583544	0.0553157	0.0409749	0.0377275	0.0274424	0.0208731	0.0109151	0.00650301	0.00435031	0.00392688	0.00952872	0.0116821	0.0156364	0.0187253	0.0166176	0.0119277	0.0111004	0.0111997	0.0249137	0.0164744	0.0279715	0.0416044	0.0252123	0.0214058	0.020849	0.0297438	0.0514219
respectent	0.0415407	0.0177927	0.017529	0.0158388	0.0212735	0.0224392	0.0261203	0.0243446	0.0190515	0.0223866	0.0152553	0.0148954	0.0118703	0.0116375	0.0140122	0.0135108	0.00911679	0.0148234	0.0122778	0.014794	0.0177992	0.0336789	0.0322145	0.0478379	0.0283373	0.048981	0.0470239	0.0327051	0.0521892	0.0494392	0.0549987	0.0537873	0.0581985	0.0822988
plus	0.058206	0.0469835	0.0342216	0.0196416	0.0457865	0.0382373	0.0659084	0.0394889	0.0345678	0.0364626	0.0301546	0.0221602	0.0213956	0.0134627	0.01163	0.0095696	0.00799247	0.01014	0.0120066	0.00809248	0.0148271	0.0122285	0.0142779	0.0195567	0.0124642	0.0188893	0.0152653	0.0140523	0.0275435	0.0265405	0.030413	0.0356878	0.0559209	0.136225
les	0.114971	0.0596769	0.0463686	0.0400883	0.043631	0.0400227	0.0267012	0.015341	0.0156196	0.0146464	0.0148445	0.00990353	0.00980236	0.00590635	0.00703896	0.00538358	0.00555881	0.00790031	0.0086316	0.00535528	0.0110656	0.011329	0.010655	0.0179359	0.00973624	0.0209899	0.0213713	0.0317665	0.045813	0.0479582	0.0495526	0.0466253	0.0592771	0.118533
parents	0.0486563	0.0203465	0.0163567	0.01775	0.0133788	0.0126664	0.0120002	0.0127337	0.0123873	0.0152168	0.015256	0.0168581	0.0117744	0.0132211	0.0169259	0.0142956	0.0145505	0.0207529	0.0198158	0.0221095	0.0206319	0.0322017	0.0397148	0.0452398	0.0471486	0.0477934	0.0553382	0.0545466	0.04373	0.055103	0.0402769	0.0401175	0.0493375	0.0817675
</S>	0.131078	0.0382482	0.0230599	0.0215076	0.0222413	0.021297	0.0204944	0.0168063	0.0145572	0.0166772	0.0134919	0.00905031	0.0056798	0.00439045	0.00679732	0.00350167	0.00326564	0.00595259	0.00668311	0.00964123	0.0208491	0.0302567	0.0278009	0.0331921	0.0262084	0.0459731	0.0361831	0.0713693	0.0495042	0.0600984	0.0544495	0.0479782	0.0486375	0.0530779
