 	n	ω	o	d	í	l	e	t	ó	n	i	á	p	i	a	s	i	n	ω	k	í	g	h	i	g	h	i	m	ó	y	í	b	h	a	n	ω	o	d	í	o	b	é	n	y	a	k	a	á	</S>
tu	0.00693396	0.00768961	0.00769027	0.0123611	0.0133455	0.0228336	0.0320228	0.0266175	0.0309033	0.0299947	0.0440989	0.0634764	0.0413784	0.0571313	0.0780592	0.0479846	0.0355619	0.0364074	0.0164494	0.01477	0.0154572	0.0275187	0.00552992	0.0105095	0.00634622	0.0100451	0.00796423	0.00819362	0.00851795	0.00308679	0.00357593	0.00290205	0.00490192	0.00354203	0.00603431	0.00729877	0.00641314	0.0113942	0.0077489	0.0137516	0.0139019	0.0135754	0.0225174	0.0317566	0.0282996	0.0310556	0.0239121	0.0238064	0.014733
ne	0.0412649	0.0269521	0.0185661	0.0094994	0.00552766	0.00391676	0.00482226	0.00771484	0.0108926	0.0116569	0.0271426	0.0362035	0.0374577	0.0351551	0.0466411	0.0485877	0.0459118	0.0567452	0.0706667	0.0596387	0.0706511	0.105492	0.0442659	0.0259391	0.0443021	0.0038807	0.00321492	0.00867805	0.0162524	0.00403583	0.00635038	0.00622589	0.00581899	0.00533208	0.00585439	0.0055255	0.00441425	0.00327502	0.00419271	0.00289654	0.00375479	0.00101523	0.00119349	0.00144771	0.000910487	0.00321592	0.00160728	0.00159279	0.00370034
veux	0.0635956	0.0514414	0.0456145	0.0273624	0.0217106	0.0143927	0.0188145	0.0226686	0.0242437	0.0412808	0.0424702	0.0501056	0.0334393	0.0244235	0.0416758	0.0400638	0.0353986	0.0287528	0.0145036	0.0152203	0.0184272	0.0169701	0.0387192	0.0259746	0.0497743	0.0113279	0.00796098	0.0122832	0.0106857	0.00695119	0.00410031	0.0102164	0.0097212	0.0151028	0.0101041	0.0205136	0.00920788	0.00933948	0.00820998	0.00314804	0.00739553	0.00421209	0.0029903	0.00362439	0.00227301	0.00485254	0.00482214	0.00545223	0.00846115
jamais	0.0152147	0.0163548	0.0156225	0.0142575	0.0105742	0.0104322	0.00688537	0.0112769	0.00978293	0.00862606	0.00995401	0.0108285	0.0101188	0.00840512	0.00866297	0.0136807	0.0118892	0.0217261	0.0472113	0.0380581	0.0531181	0.079476	0.0615911	0.0659028	0.0913173	0.0491894	0.0143752	0.0576762	0.0537991	0.00972721	0.0165072	0.0162834	0.0097282	0.015521	0.0137577	0.0142553	0.011812	0.0107881	0.00926373	0.00556922	0.00615795	0.00700114	0.00303114	0.00330405	0.00191007	0.00305706	0.00309899	0.00475063	0.00846861
reconnaître	0.016057	0.0160771	0.0155813	0.00789865	0.00583803	0.00477034	0.00509219	0.00721826	0.00733062	0.0105739	0.00875732	0.00641888	0.00650016	0.00649152	0.00667805	0.00707976	0.0123889	0.0284342	0.0466524	0.0492096	0.0382117	0.0226907	0.0537792	0.0481361	0.0427657	0.0189879	0.0290927	0.0189051	0.0287677	0.0153245	0.0142697	0.0568184	0.0446978	0.0404468	0.0444438	0.0376909	0.0305962	0.0249536	0.0168997	0.0127285	0.0145334	0.0129759	0.00540228	0.00484169	0.0067037	0.00876401	0.00922871	0.00747669	0.0148188
tes	0.00631707	0.00672395	0.00779024	0.00923902	0.0101001	0.0107874	0.00960967	0.0165191	0.0147213	0.0206845	0.0124102	0.00975512	0.00951093	0.00697444	0.00778742	0.00674392	0.00713124	0.00801342	0.00734452	0.00898091	0.0234433	0.0468617	0.0494896	0.0643085	0.0484946	0.0468673	0.0190538	0.0532684	0.0425706	0.0287206	0.0320479	0.0371137	0.0274479	0.0269014	0.0253338	0.0224068	0.023077	0.025884	0.0296581	0.0184923	0.0161444	0.014258	0.0105052	0.0085727	0.00513843	0.00622859	0.0136798	0.0119717	0.0249153
actes	0.0219643	0.0209423	0.0209532	0.0196839	0.0177937	0.0111154	0.0117092	0.0127184	0.0104865	0.0130699	0.011172	0.0113459	0.0123522	0.00901885	0.0103548	0.0118697	0.0102776	0.0114985	0.0184425	0.0181796	0.0213902	0.019979	0.0422803	0.0210147	0.0284005	0.0335696	0.0115313	0.0183569	0.0202154	0.0286813	0.027651	0.0357798	0.0276041	0.0271635	0.0187688	0.0282405	0.0219291	0.0238642	0.0182283	0.0159906	0.011485	0.0112953	0.0172704	0.0107697	0.00921764	0.0131071	0.0242364	0.0386567	0.0883744
même	0.0272652	0.0179779	0.0156736	0.016975	0.0270297	0.0323588	0.0308095	0.0346422	0.0280328	0.0267918	0.0202964	0.0149935	0.0131812	0.0110799	0.00905023	0.00972713	0.00839733	0.00731144	0.00935747	0.00633696	0.0119222	0.0192926	0.0175253	0.0192907	0.0239528	0.025152	0.0174528	0.0260319	0.0261858	0.0275823	0.0359245	0.0270288	0.0275577	0.0202468	0.0263372	0.0193282	0.0167438	0.0142198	0.0147681	0.0127929	0.0139487	0.0184046	0.018728	0.0185962	0.0116429	0.0185305	0.0211622	0.0287113	0.0536513
si	0.0258814	0.019259	0.015925	0.0158387	0.0165343	0.010723	0.0115383	0.014145	0.0100669	0.0123857	0.00974183	0.00670522	0.00670358	0.0067003	0.00688187	0.00970622	0.00665284	0.00892594	0.0116699	0.010054	0.0141515	0.0213266	0.03332	0.0186798	0.0289553	0.043494	0.0101581	0.0284046	0.0356867	0.03762	0.0405382	0.0359825	0.0314633	0.0388084	0.0374346	0.0302136	0.032926	0.0303334	0.0211293	0.0172377	0.0155697	0.0172843	0.0199457	0.0117831	0.00683866	0.0106927	0.0131924	0.0214473	0.0593434
on	0.0485951	0.0351726	0.0291993	0.0251921	0.0285473	0.0182399	0.0163542	0.0166774	0.0145162	0.015663	0.0127439	0.010329	0.0107505	0.0125308	0.0110865	0.0100317	0.0107126	0.00872982	0.00968031	0.00663578	0.0177474	0.037361	0.0466714	0.030729	0.043885	0.0380257	0.0132536	0.0407549	0.0371065	0.0359403	0.0308796	0.0202098	0.017642	0.0153738	0.0186081	0.0110631	0.0123201	0.010773	0.014611	0.00911428	0.00974191	0.00963994	0.0110353	0.0134273	0.00893392	0.0145413	0.0174029	0.0214066	0.0404135
