 	l	e	n	g	y	ε	b	á	a	k	o	b	h	á	m	e	d	z	é	s	á	y	á	k	o	l	ó	</S>
le	0.00947841	0.0114686	0.0081182	0.0129142	0.0351308	0.0352319	0.0258379	0.0437773	0.0562912	0.0622342	0.0935801	0.0856241	0.091969	0.0819917	0.060003	0.0532396	0.04172	0.0301615	0.0175879	0.0160083	0.0158783	0.016357	0.0167678	0.016895	0.0134348	0.0140757	0.0173642	0.0168593
fruit	0.050034	0.0237545	0.0244795	0.0204552	0.0123087	0.0183533	0.0188568	0.0551465	0.0520106	0.067543	0.134622	0.0765486	0.108381	0.109264	0.0792014	0.0337263	0.0206314	0.0146605	0.0114788	0.0152939	0.0119439	0.0125891	0.00707267	0.0114677	0.00533994	0.00284201	0.00123067	0.000764439
sauvage	0.0307052	0.0525664	0.0802878	0.0986831	0.0841702	0.0704193	0.0823928	0.0782244	0.0468589	0.0430236	0.0328859	0.0300233	0.0209573	0.0219414	0.0190059	0.0194678	0.0119861	0.0123069	0.0214227	0.0313004	0.033318	0.0246874	0.0140083	0.0150068	0.00772018	0.00491286	0.00746039	0.00425662
lengyé	0.0329393	0.0593744	0.0795956	0.072927	0.0819132	0.0874074	0.129387	0.118499	0.0934962	0.0422582	0.0234461	0.0143494	0.012792	0.00970439	0.00925723	0.00474817	0.00827334	0.00874724	0.0103383	0.0113051	0.0134742	0.0130482	0.0078894	0.0106924	0.00925052	0.00607521	0.00844653	0.0203647
est	0.0541439	0.0617395	0.0640773	0.0648539	0.060727	0.050373	0.0532886	0.0465645	0.0372778	0.027145	0.0223203	0.0226282	0.0270885	0.0332113	0.034382	0.0167238	0.0233793	0.0145413	0.0102477	0.0157968	0.0212805	0.0244795	0.0188022	0.0217754	0.0236303	0.0316498	0.0299081	0.0879645
utilisé	0.0687605	0.0668784	0.077848	0.0798248	0.0585207	0.0648329	0.0648768	0.0673468	0.0802853	0.0617579	0.0555634	0.0316688	0.0415063	0.0319241	0.0179437	0.0092089	0.00792316	0.0079525	0.00941723	0.00773385	0.00817293	0.00823911	0.008436	0.0111733	0.0123591	0.0098011	0.00907488	0.0209696
comme	0.0718954	0.0576402	0.044423	0.0354838	0.0317575	0.0283738	0.0287747	0.0281236	0.0268163	0.0217916	0.0178769	0.0297246	0.030703	0.0352495	0.0314849	0.0113809	0.0235539	0.0243145	0.0263558	0.0327223	0.0358328	0.0372803	0.0324002	0.0220909	0.0271384	0.0330149	0.0346342	0.139162
appât	0.0448061	0.0377568	0.0396932	0.0442188	0.0373891	0.042057	0.0440187	0.0436247	0.0335537	0.0166037	0.0135681	0.0107223	0.0089812	0.0113162	0.0116756	0.0117443	0.0184611	0.023583	0.0319962	0.031141	0.0317037	0.034382	0.0379541	0.0413209	0.0541828	0.0583223	0.0629783	0.122245
pour	0.141738	0.0787047	0.0735418	0.0728818	0.0518999	0.0607839	0.0732082	0.0554819	0.0313348	0.0312012	0.0266957	0.0347679	0.0143553	0.00878015	0.00602619	0.00361645	0.0120822	0.0131745	0.0124998	0.0139331	0.0127999	0.0135966	0.0145994	0.013143	0.0107679	0.0176054	0.0218519	0.0789284
prendre	0.0460036	0.0351213	0.0333003	0.0350342	0.0318068	0.0388044	0.0364674	0.0205547	0.0161629	0.00925153	0.00576872	0.00425618	0.00372603	0.00328239	0.00302909	0.00347567	0.0176072	0.0300982	0.0384885	0.0529158	0.0609924	0.0598092	0.0594878	0.0548397	0.0640275	0.0717901	0.0739727	0.0899257
le	0.047246	0.0342911	0.0334658	0.0316529	0.0349253	0.0349666	0.0323121	0.022666	0.017495	0.0127196	0.00721461	0.00705734	0.00480619	0.00437243	0.0078676	0.00771465	0.0364123	0.0405292	0.0302532	0.0277163	0.0278536	0.030672	0.0420598	0.0455366	0.0550484	0.0905263	0.107072	0.125547
blaireau	0.0388151	0.028712	0.0227628	0.0184041	0.019192	0.0192972	0.0192023	0.0130659	0.0112999	0.00887097	0.00459756	0.00347265	0.0040427	0.00333138	0.00376285	0.00646622	0.0342914	0.0547539	0.0676498	0.0619241	0.0500057	0.0542314	0.0720521	0.0630785	0.0628233	0.0732726	0.09304	0.0875817
</S>	0.0559105	0.0408591	0.0343049	0.0281969	0.0273219	0.0259887	0.0262596	0.0240935	0.0179989	0.0122981	0.00733566	0.00722406	0.00408358	0.00295621	0.00472223	0.00461211	0.0226684	0.0307259	0.0360159	0.0330206	0.0276462	0.0286267	0.0427233	0.0369705	0.0545141	0.090707	0.121173	0.151042
