 	l	a	m	b	v	ú	á	y	ε	ε	n	ώ	í	w	ó	l	e	d	í	o	b	h	e	r	á	o	b	v	ú	r	á	ω	s	έ	l	ε	k	a	á	</S>
avec	0.0335913	0.0155913	0.0114636	0.0169719	0.018499	0.0330224	0.049893	0.0515507	0.0566725	0.0739354	0.0572163	0.0510531	0.0574374	0.0482005	0.0478712	0.0181071	0.0109496	0.00919788	0.00684036	0.00583477	0.00607502	0.00477507	0.00691174	0.0075111	0.00789542	0.00766898	0.00949581	0.0139808	0.0138321	0.0154586	0.0132266	0.0177339	0.0220439	0.0225895	0.0180493	0.0279904	0.0303948	0.0234154	0.0324092	0.0246431
la	0.0696801	0.0661248	0.0362405	0.0526827	0.0390236	0.0307435	0.039768	0.026033	0.0437727	0.0509358	0.0670043	0.100303	0.072508	0.0289373	0.0569187	0.0278682	0.0266973	0.0144782	0.0124054	0.00661096	0.0114585	0.00527345	0.00558837	0.00489167	0.00712968	0.00585929	0.00584253	0.0065335	0.00796783	0.0053338	0.00433197	0.0025969	0.00225514	0.00409637	0.00326213	0.0039362	0.0122374	0.00849313	0.00810177	0.0160744
pluie	0.0370279	0.0314355	0.0326915	0.0398878	0.0427301	0.0318176	0.0454119	0.0416623	0.0350348	0.0366812	0.0659106	0.0541686	0.0650242	0.0515659	0.0533084	0.0275115	0.0220003	0.0254134	0.0153475	0.01414	0.0093947	0.00755007	0.00919525	0.0102233	0.0102524	0.0117914	0.0108037	0.0127203	0.0107759	0.0168766	0.0146256	0.0123383	0.0135047	0.0111354	0.0163439	0.0164003	0.0150144	0.00689447	0.00680143	0.00858701
qui	0.0164992	0.0185849	0.0246294	0.0124087	0.011243	0.00969723	0.0140602	0.020334	0.0240718	0.025227	0.0291184	0.0269617	0.0380644	0.0236821	0.0322002	0.0320922	0.0442622	0.0251108	0.028777	0.0234961	0.0266443	0.026629	0.0314467	0.0284832	0.0323512	0.0311656	0.0336117	0.0356845	0.0333738	0.0396712	0.0305803	0.0202162	0.0240358	0.0178963	0.0198175	0.0166737	0.0183948	0.0144443	0.0134574	0.0249022
était	0.0286832	0.0225112	0.0339334	0.0317172	0.0320714	0.0321461	0.027842	0.0269162	0.0214459	0.0222243	0.0223692	0.0220238	0.0177132	0.0172915	0.0255621	0.035894	0.0493695	0.0484652	0.0417167	0.0204901	0.0274027	0.0178029	0.0126501	0.0144631	0.0205048	0.015063	0.0142342	0.018299	0.0286389	0.0203796	0.0138727	0.0125746	0.0133819	0.0142918	0.0101525	0.0192676	0.0132349	0.0148981	0.0367051	0.0817963
tombée	0.0243179	0.0187523	0.0219493	0.0164787	0.0173074	0.0165762	0.0185383	0.0134179	0.0119545	0.0111012	0.0127381	0.0118646	0.0158517	0.0226407	0.0330653	0.0559383	0.038911	0.0323475	0.0189647	0.0215567	0.0188408	0.027202	0.0317823	0.0424816	0.0509143	0.0369053	0.0474276	0.0430649	0.0400101	0.0308559	0.0228028	0.0182293	0.0147456	0.0149139	0.00974992	0.0126087	0.00718123	0.00934445	0.0284009	0.0582661
on	0.032321	0.020885	0.0226581	0.0200248	0.0227741	0.0227153	0.0246495	0.023544	0.0223365	0.0164577	0.0177088	0.0144254	0.015527	0.0175797	0.0245041	0.0243747	0.0327936	0.0267507	0.0253554	0.0284398	0.0292064	0.0372947	0.0425106	0.0486481	0.0572924	0.039761	0.0495245	0.0315734	0.0431032	0.0182105	0.0153683	0.010244	0.00712739	0.00785193	0.00652954	0.0113377	0.00898859	0.0104623	0.0242103	0.0449297
ne	0.0333487	0.0222122	0.0218701	0.020277	0.0207072	0.0195513	0.0178487	0.0138979	0.0125374	0.0107406	0.0113701	0.0111727	0.0167389	0.0160818	0.0232759	0.0265652	0.0276727	0.0264373	0.0218934	0.0207673	0.022717	0.0250102	0.0261843	0.0353089	0.0402301	0.0286841	0.0457656	0.0392842	0.0449577	0.0353301	0.0341921	0.0274397	0.0199314	0.0209673	0.0129875	0.0231965	0.0182099	0.0219509	0.0365277	0.0461585
pouvait	0.0434794	0.0265285	0.020648	0.019023	0.0154416	0.0135847	0.010093	0.0103894	0.00981357	0.0101255	0.0119042	0.0120939	0.0128097	0.0161558	0.0129387	0.015546	0.017736	0.0209005	0.0181224	0.0254453	0.0258598	0.0275786	0.0293585	0.0339983	0.0337028	0.0405513	0.0549765	0.0450546	0.0364377	0.0433045	0.0509807	0.0378774	0.029611	0.0292953	0.0246795	0.0221822	0.0205982	0.0201791	0.0246965	0.026298
plus	0.0882565	0.0624391	0.0455731	0.0270479	0.0192516	0.0204265	0.0157445	0.0164198	0.0203523	0.0206745	0.019365	0.0155766	0.0131606	0.0209896	0.0246246	0.0168995	0.0305589	0.0232031	0.0243297	0.028755	0.0304523	0.0315024	0.0269332	0.0264406	0.030352	0.0363103	0.0330572	0.0149064	0.0263277	0.0103037	0.0097068	0.00900344	0.00694211	0.00801208	0.00604778	0.0115002	0.0122951	0.0138257	0.0268298	0.0756027
