 	n	ω	l	ó	o	d	z	έ	n	g	ε	b	ó	n	ω	l	ó	o	y	é	n	g	á	n	d	é	</S>
que	0.0565381	0.0556611	0.0579158	0.0350568	0.0255081	0.0209692	0.0203009	0.0185764	0.0247177	0.035218	0.021714	0.0359645	0.027178	0.031802	0.0515986	0.0389064	0.0237693	0.021937	0.0193086	0.0306975	0.0249031	0.0321447	0.0385276	0.0395532	0.0772858	0.0838033	0.0504441
cherches-tu	0.0944104	0.0298216	0.0329762	0.0230376	0.0159071	0.0173607	0.0217156	0.0411724	0.0436659	0.0540994	0.0821619	0.0689751	0.0626567	0.0901419	0.0487599	0.0303363	0.0340422	0.0215473	0.03261	0.0248731	0.0232441	0.0164192	0.0194921	0.0201333	0.0179776	0.0157631	0.0166994
en	0.0521498	0.0283057	0.0193489	0.0269111	0.0318574	0.0202162	0.0166367	0.035688	0.036401	0.0304891	0.0745252	0.0329455	0.0499603	0.038441	0.028775	0.0228851	0.00893379	0.0245795	0.0303342	0.0373961	0.050937	0.0482863	0.10241	0.0757595	0.0354507	0.0183848	0.021992
faisant	0.0275843	0.0196773	0.0217164	0.00903311	0.00906535	0.0109668	0.0253423	0.0253224	0.0338321	0.0343324	0.0365245	0.0296808	0.0515658	0.0360503	0.0544575	0.044183	0.0296948	0.0667354	0.0789149	0.0706817	0.0688109	0.0553833	0.0318588	0.0295213	0.0246939	0.0333628	0.0410077
des	0.0474252	0.0319428	0.0288887	0.0310279	0.0330917	0.0325067	0.0332138	0.0333746	0.0378407	0.0315591	0.0323704	0.0322848	0.029784	0.0250246	0.0222239	0.017925	0.0193528	0.0265514	0.0304322	0.0306827	0.0328407	0.0438939	0.0459652	0.0443184	0.0489387	0.0783146	0.0982256
tours	0.0383845	0.0433979	0.0342796	0.0481035	0.0577929	0.0635329	0.0558321	0.0517925	0.0507708	0.0397264	0.0432591	0.0404109	0.0270267	0.0323305	0.0248445	0.0273276	0.0214087	0.0283844	0.0286342	0.0238533	0.0243586	0.0237786	0.0234749	0.0295895	0.0311986	0.0311827	0.055324
de	0.0407969	0.0311224	0.0221105	0.0210985	0.0153468	0.0215955	0.0265891	0.0210897	0.0202173	0.0167568	0.0145894	0.0144774	0.0263265	0.0249371	0.0351074	0.034857	0.0207927	0.0331529	0.0452323	0.042388	0.0489855	0.0722414	0.0451198	0.0553823	0.0466513	0.0648747	0.138161
la	0.0640411	0.0394354	0.0206402	0.0183064	0.0131939	0.0173335	0.0199571	0.0180994	0.0149832	0.0206317	0.0241599	0.0215165	0.0353993	0.0300969	0.0279797	0.0329347	0.0256277	0.0326909	0.0439551	0.0396548	0.0390299	0.0499962	0.0693841	0.0672259	0.0685491	0.0615709	0.0836066
sorte	0.0549816	0.0337934	0.0213256	0.0164248	0.01065	0.0152451	0.0165884	0.0142797	0.0125735	0.0175286	0.0184433	0.0163176	0.0361882	0.0278228	0.0498413	0.0393275	0.020157	0.0702958	0.0646102	0.04066	0.0317593	0.0531702	0.0590735	0.0565232	0.048478	0.0752718	0.0786695
</S>	0.0391831	0.0223177	0.0173865	0.0159903	0.0132773	0.015421	0.0169088	0.0136924	0.013688	0.0107103	0.0080213	0.00684302	0.0179729	0.0138983	0.0311321	0.0216728	0.0140391	0.0376496	0.0373093	0.0361556	0.0399556	0.0744994	0.0575598	0.0613506	0.0569793	0.134378	0.172008
