 	o	k	i	l	i	o	m	b	ó	n	g	o	w	ó	á	w	ú	r	u	n	g	y	ε	l	έ	l	a	b	e	a	m	ó	t	ú	ú	g	h	u	</S>
ce	0.00942793	0.00992773	0.00985937	0.011788	0.0132554	0.0147491	0.0211199	0.0297109	0.0165672	0.0201524	0.0233941	0.037136	0.0329801	0.0377838	0.0339987	0.087483	0.0444162	0.0317685	0.0192919	0.0100094	0.00718923	0.0127737	0.00731715	0.00673426	0.0150066	0.0251316	0.0323285	0.0261286	0.0322574	0.0231948	0.0298782	0.0301697	0.0291565	0.0292958	0.0395434	0.0380405	0.038255	0.0382113	0.0245682
commerçant	0.0131067	0.0184769	0.0464932	0.0652129	0.066904	0.111468	0.052708	0.0313351	0.0327535	0.0143939	0.0364789	0.026338	0.0122642	0.0686325	0.0257095	0.0750132	0.0669018	0.0312576	0.0232653	0.0175537	0.0227701	0.0148236	0.0101622	0.0133626	0.0135816	0.0113775	0.011546	0.00718219	0.00676939	0.0101935	0.0076675	0.0107996	0.00565706	0.00477768	0.00422833	0.00298489	0.00269675	0.00184585	0.00130707
est	0.0266505	0.0234283	0.0316391	0.0283774	0.0206214	0.0180225	0.0297588	0.0260465	0.0288009	0.0140539	0.0369171	0.0348327	0.0802454	0.0643035	0.0391651	0.0321414	0.037098	0.0189666	0.0299628	0.021406	0.0279698	0.0158152	0.0179433	0.0247817	0.0248169	0.0248136	0.0250116	0.0158217	0.0171742	0.0261469	0.0273714	0.024512	0.0209491	0.0124857	0.0100361	0.0086695	0.00747128	0.015121	0.0106512
venu	0.0383605	0.0515409	0.0445167	0.0475762	0.0469489	0.0486348	0.0308698	0.0228386	0.0213837	0.0157919	0.0165216	0.0197679	0.0151751	0.03042	0.0150391	0.0216459	0.021095	0.0187957	0.0351753	0.0399281	0.0257492	0.0318916	0.0413576	0.0423657	0.0239427	0.0273552	0.0265479	0.0234096	0.0252074	0.0143238	0.0110831	0.0113878	0.011959	0.0135316	0.0122481	0.0111121	0.0122944	0.0110335	0.0211742
de	0.0321129	0.0193357	0.0129464	0.0114605	0.00912454	0.00877426	0.0102306	0.0111596	0.0126123	0.0119073	0.00951982	0.0124463	0.00653032	0.0158236	0.0107288	0.00852176	0.0102683	0.0126331	0.0364289	0.108346	0.0379401	0.0526642	0.0757117	0.087807	0.0310155	0.0338833	0.024374	0.0400213	0.0216497	0.0348407	0.0298693	0.0258568	0.0270115	0.021657	0.0220472	0.0148435	0.0125083	0.0161626	0.0192258
brazaville	0.0281726	0.021818	0.0222407	0.0160494	0.0219274	0.0168733	0.0223219	0.0248862	0.023875	0.0180862	0.0144887	0.0106895	0.0150351	0.0179118	0.0235962	0.0103606	0.0141171	0.0141341	0.0249533	0.035152	0.0303231	0.0235126	0.0300806	0.0414371	0.0346819	0.0318016	0.0220517	0.0345413	0.0268798	0.0374085	0.0335713	0.0364359	0.0352243	0.0303762	0.029442	0.0257575	0.0236399	0.0300191	0.0461264
avec	0.0361745	0.0276667	0.0304265	0.0190416	0.0247693	0.017102	0.0189069	0.0177601	0.0199188	0.0156236	0.01054	0.00694508	0.010586	0.00673989	0.0125243	0.0101099	0.0141552	0.0200284	0.040179	0.0323682	0.0439608	0.0263011	0.0300104	0.0451283	0.0393079	0.0299522	0.0230114	0.0359204	0.0270074	0.0293791	0.0271227	0.0356956	0.03114	0.0306548	0.0303111	0.0187682	0.020769	0.0314804	0.0525132
des	0.0203009	0.0169456	0.0174884	0.0134522	0.019539	0.0126726	0.0151361	0.0165815	0.018557	0.0175406	0.0122286	0.0106849	0.00884926	0.00951482	0.0113898	0.00779316	0.00994728	0.0109128	0.0330588	0.0306962	0.0304569	0.031884	0.0279521	0.0431527	0.0453895	0.0373348	0.0223493	0.0347438	0.0304739	0.032126	0.0330123	0.0336828	0.0336649	0.0360034	0.0336571	0.0262512	0.0329143	0.0381976	0.0834637
tas	0.0676015	0.0435529	0.0360977	0.0251453	0.020197	0.00957482	0.00653129	0.00766156	0.00937316	0.00868262	0.00621655	0.00488387	0.00681451	0.00546539	0.00776805	0.00592984	0.007845	0.0152556	0.0216283	0.0398893	0.0255578	0.0209713	0.0304201	0.0322064	0.0220042	0.0212908	0.0157057	0.027105	0.0304214	0.0173891	0.0206652	0.0308318	0.0243012	0.0357639	0.0356356	0.0260578	0.0478894	0.0768994	0.10277
de	0.0861208	0.0650742	0.0603052	0.0402666	0.0408072	0.027741	0.0290332	0.0274685	0.0274721	0.0205038	0.0201487	0.0106452	0.00805196	0.0108154	0.0104749	0.00431197	0.00525169	0.00619533	0.0127977	0.0445521	0.010089	0.0147925	0.019009	0.0181783	0.0128095	0.0136413	0.00981664	0.0229163	0.0190004	0.0165389	0.0191941	0.0236854	0.0197402	0.0204213	0.0170338	0.013081	0.0217882	0.036884	0.113343
