 	n	d	é	e	y	á	b	í	s	í	á	b	h	i	á	m	b	i	n	d	i	y	á	w	é	e	o	k	o	b	h	a	k	a	á	</S>
on	0.0143803	0.0185345	0.0217296	0.0200358	0.0182574	0.0261329	0.0358287	0.0338638	0.0382692	0.0442887	0.0585642	0.0482259	0.0600833	0.0529745	0.055769	0.0494376	0.0431361	0.0177294	0.0189684	0.0152532	0.0173061	0.0101279	0.0122517	0.0145647	0.0106151	0.0155117	0.0201172	0.012128	0.0221165	0.0217315	0.0355302	0.0249562	0.0297329	0.0240787	0.0224316	0.0153372
ne	0.0990758	0.0789391	0.0436209	0.0266964	0.0217545	0.0257385	0.0245276	0.0154587	0.0342497	0.0334144	0.0424757	0.0311325	0.0520319	0.0401859	0.0352827	0.0174461	0.0173978	0.00647956	0.00521771	0.0110302	0.00691741	0.00387655	0.00935256	0.0176114	0.0296233	0.0318094	0.0452928	0.0276729	0.0152101	0.0161616	0.0257963	0.0265443	0.0140906	0.031493	0.0216267	0.0147656
venge	0.0914796	0.0554229	0.0494635	0.0546562	0.0448871	0.0400749	0.0409817	0.0658655	0.0486967	0.0476376	0.0232058	0.0388058	0.0405177	0.0427378	0.034029	0.0337928	0.0423785	0.0250105	0.0104913	0.0144555	0.015389	0.00891136	0.0128951	0.0167747	0.0128857	0.00881447	0.00733572	0.0101523	0.0084099	0.00761533	0.00802939	0.00788669	0.00744626	0.00768551	0.00720052	0.00797755
plus	0.0125807	0.0179139	0.0291477	0.0337649	0.015633	0.00704957	0.00370882	0.00279255	0.00398967	0.00390401	0.00567141	0.0023942	0.0087891	0.00560687	0.0136019	0.0153363	0.0193847	0.00850862	0.0261518	0.0258078	0.0613257	0.0556005	0.0719819	0.122541	0.12814	0.0743652	0.0825093	0.0539449	0.0229255	0.0221207	0.00659808	0.006103	0.00692212	0.00647299	0.00763192	0.00908053
les	0.050717	0.0577352	0.076777	0.0648305	0.0593467	0.0444322	0.033784	0.0342882	0.0319169	0.0316771	0.0319878	0.0267256	0.0301849	0.0157647	0.0121187	0.0130553	0.0149062	0.023078	0.032909	0.0184094	0.0251759	0.0200994	0.0172592	0.019153	0.0246803	0.0167884	0.0238479	0.0148281	0.0116933	0.0162346	0.0178603	0.0112193	0.014078	0.0129938	0.0143377	0.0351064
morts	0.0377605	0.0375755	0.0418967	0.0540549	0.0585745	0.0358432	0.0319582	0.0485725	0.0321399	0.0347688	0.0445861	0.0277282	0.0488871	0.0287109	0.0229048	0.0234912	0.0259643	0.0229882	0.0194102	0.0151561	0.0146199	0.00830413	0.0134069	0.00744962	0.0134478	0.0147647	0.0154501	0.0119542	0.00862185	0.0118245	0.0128067	0.0150964	0.0147804	0.0293832	0.036795	0.0783229
par	0.05656	0.035043	0.0300123	0.0372609	0.0459267	0.0600263	0.0446037	0.0594926	0.0321095	0.0324958	0.0460447	0.0400916	0.0542292	0.0405079	0.0436781	0.0415706	0.0363004	0.0225073	0.0276455	0.0148821	0.0125412	0.0104509	0.00994343	0.00722843	0.00848524	0.0118415	0.0129542	0.00617321	0.00602914	0.00827861	0.00582601	0.00700263	0.005395	0.0101655	0.0122358	0.064461
des	0.0401323	0.023191	0.0197226	0.0272057	0.0341081	0.028889	0.0206675	0.0301166	0.0332029	0.0352863	0.0560158	0.0611087	0.0686543	0.0589658	0.0540268	0.039859	0.0311835	0.0184265	0.0213065	0.0138577	0.0108101	0.00725241	0.00762876	0.00568689	0.00658712	0.00958556	0.0112177	0.00730457	0.00989504	0.0167267	0.013071	0.0228246	0.0100465	0.0364241	0.0409936	0.0680187
fétiches	0.0434772	0.0304896	0.0292001	0.0362478	0.0392763	0.0282991	0.0198842	0.025848	0.0206828	0.0255508	0.0361467	0.03571	0.0420036	0.0335402	0.0326676	0.0319739	0.0316666	0.0288319	0.0315122	0.0269257	0.0209601	0.0178568	0.00873575	0.0102225	0.00931979	0.0115686	0.0131052	0.00426597	0.00487524	0.00716657	0.0100223	0.019264	0.00732491	0.047094	0.0593067	0.118977
dans	0.0422126	0.0357026	0.0352429	0.0360239	0.0348022	0.022594	0.0159833	0.0171263	0.0150938	0.0147283	0.0107905	0.0134886	0.0113525	0.00987855	0.0140324	0.0150768	0.0185625	0.0201186	0.0151975	0.0196129	0.0185018	0.0156013	0.0179322	0.0112744	0.0106983	0.0158556	0.0187803	0.0193903	0.0266625	0.0394222	0.0472158	0.0524137	0.0562839	0.0694967	0.0732174	0.0896329
