 	o	b	é	n	y	a	l	a	n	g	á	m	b	o	b	h	ó	ó	t	ó	n	a	l	a	n	g	á	m	b	o	b	h	ó	</S>
tant	0.0112711	0.0124477	0.0139534	0.011353	0.0101044	0.00773456	0.00971299	0.0419272	0.0331538	0.050326	0.0652596	0.06924	0.0550274	0.0606824	0.0595734	0.0580012	0.0405033	0.025617	0.0182527	0.0192198	0.0186722	0.0161406	0.014221	0.0228641	0.0203947	0.0333911	0.0242557	0.0160977	0.0222004	0.0184995	0.01937	0.0304746	0.0328417	0.0372158
pis	0.146692	0.0601746	0.0759785	0.0325077	0.0230003	0.052638	0.0753647	0.0626968	0.0693078	0.0521737	0.0274697	0.0312921	0.0341303	0.0385104	0.040346	0.0370861	0.0229931	0.0210577	0.0118027	0.011923	0.00725005	0.0076357	0.00868153	0.00493536	0.00549796	0.00671681	0.00388361	0.00251759	0.00406393	0.00299031	0.00384811	0.00358959	0.00525262	0.00599169
si	0.0801144	0.0906183	0.0828892	0.0820621	0.0688141	0.0580719	0.0165828	0.0205815	0.0126172	0.0137132	0.0118611	0.0101341	0.00852526	0.0116097	0.0179607	0.0258418	0.0367775	0.045344	0.033454	0.0256422	0.028697	0.025859	0.0243761	0.0209261	0.0187273	0.0211001	0.0175131	0.0163239	0.00939672	0.0181151	0.009013	0.0086876	0.011885	0.016165
tu	0.0631023	0.0477291	0.0670021	0.0381337	0.02554	0.022761	0.0210507	0.0120319	0.0169468	0.0154618	0.0170691	0.0111252	0.00804512	0.0152064	0.0211298	0.031193	0.0384276	0.0687774	0.064406	0.0615664	0.0336833	0.0332874	0.0207686	0.0236789	0.0184286	0.0190896	0.0168661	0.0141751	0.0171016	0.0188547	0.0193808	0.0228018	0.0306819	0.0444962
m'	0.0305006	0.034323	0.0474718	0.0419624	0.0227117	0.0187246	0.0143062	0.0122784	0.0148062	0.0111126	0.010089	0.00787726	0.00599913	0.00818336	0.012298	0.0217946	0.0320032	0.072876	0.080305	0.085864	0.0389073	0.0430244	0.0291699	0.0327939	0.028648	0.0257843	0.0219226	0.0208765	0.0165788	0.0229337	0.0238946	0.0286323	0.0302368	0.05111
acceptes	0.0262101	0.0245372	0.0206256	0.014439	0.0102349	0.0078613	0.00457298	0.00932089	0.00968801	0.0100241	0.0110308	0.0110204	0.0123997	0.0139108	0.0170389	0.0188559	0.0253489	0.0257801	0.0287756	0.0318442	0.0279772	0.0404873	0.0409258	0.0458181	0.0459126	0.0520148	0.0423474	0.0317459	0.0331361	0.0479377	0.0579024	0.0636037	0.0549219	0.0817492
ou	0.0248637	0.0209183	0.021458	0.0220705	0.0202231	0.0166345	0.00948189	0.00917629	0.00990682	0.0116214	0.0124703	0.0159117	0.013687	0.0156691	0.0147924	0.0178745	0.0343191	0.0500788	0.0512186	0.0456992	0.0465762	0.0427841	0.0228677	0.0316516	0.0250944	0.0223064	0.0171207	0.0112723	0.0245415	0.0196573	0.0320974	0.0411762	0.0598128	0.164966
tu	0.0101062	0.0106416	0.0114138	0.0143928	0.0118458	0.00802248	0.00697288	0.00712907	0.00764995	0.00803222	0.00888414	0.0101101	0.0125919	0.0122063	0.0126899	0.0176293	0.0249485	0.032126	0.0330098	0.0347907	0.0372602	0.0354644	0.0337181	0.0449489	0.0416958	0.0374161	0.027235	0.0232803	0.0407259	0.0332648	0.0605185	0.0749513	0.0801544	0.134173
me	0.0747791	0.0579752	0.0479478	0.0316305	0.0184381	0.0142537	0.0125504	0.0126705	0.0126756	0.0126625	0.00971775	0.00793664	0.00799636	0.00689977	0.00463239	0.00558863	0.00851928	0.0148064	0.0207408	0.0256179	0.0252324	0.0291472	0.027072	0.0377985	0.0323999	0.0294699	0.0388533	0.0343136	0.0404771	0.039253	0.0497471	0.0519534	0.0553986	0.100845
refuses	0.0902002	0.0502783	0.0395103	0.0317875	0.0229582	0.0277977	0.0185285	0.0221712	0.023203	0.0269281	0.0318612	0.0188693	0.0237824	0.0138627	0.0172035	0.0147384	0.0180017	0.0264975	0.0413394	0.0335139	0.0312088	0.0284886	0.0244577	0.024458	0.0179709	0.0182263	0.0204715	0.0212649	0.0177735	0.0189589	0.0248875	0.0282735	0.0370071	0.09352
</S>	0.117333	0.0638952	0.0350834	0.0199416	0.0138925	0.013975	0.00852243	0.0130598	0.0178708	0.0260561	0.0305471	0.0168944	0.0170282	0.0100858	0.0115356	0.0148034	0.0173896	0.0270672	0.0271393	0.0196757	0.0151173	0.0150698	0.0122437	0.0198144	0.0121147	0.0171652	0.0209487	0.0168933	0.0147691	0.0171312	0.0379059	0.0430757	0.0687536	0.167201
