 	w	a	á	m	i	s	i	á	n	g	o	n	d	a	y	á	i	t	o	ó	s	á	k	ώ	</S>
il	0.182847	0.303147	0.229962	0.10088	0.0647783	0.0356379	0.0280513	0.00950482	0.000777588	0.00108949	0.00271198	0.00303702	0.00331326	0.00325817	0.00301192	0.00322513	0.00307377	0.00304672	0.00310716	0.00301959	0.00280362	0.00293461	0.00259701	0.00259957	0.00158458
a	0.0136502	0.0137142	0.014976	0.0227923	0.0368982	0.0581729	0.0918262	0.102261	0.0537689	0.0854868	0.116598	0.105033	0.0659479	0.0190365	0.0186703	0.0337335	0.0395173	0.0356145	0.0218078	0.0186608	0.00868115	0.00625386	0.00336116	0.00564013	0.00789781
planté	0.0323643	0.040571	0.0320648	0.01872	0.0368654	0.0208784	0.0210836	0.0376476	0.0683254	0.0759327	0.0554323	0.0448675	0.0588772	0.0429108	0.0313799	0.0316962	0.0303666	0.0282922	0.0339077	0.0345313	0.0336881	0.036801	0.0372223	0.0569471	0.0586264
un	0.0132747	0.0126775	0.0113354	0.00929966	0.0134776	0.00988165	0.00972017	0.0117684	0.022259	0.0328029	0.0481477	0.0462514	0.0688513	0.058609	0.0601336	0.035957	0.0411362	0.0425271	0.0522452	0.0470739	0.0431649	0.0512109	0.0591702	0.0685509	0.130474
champ	0.00944213	0.0120263	0.00889195	0.00596343	0.00621186	0.00884206	0.0140638	0.0263322	0.0359085	0.0316007	0.0393649	0.0412815	0.0282939	0.0355051	0.0438095	0.0559755	0.0775835	0.0802315	0.0700043	0.0692899	0.0631812	0.0572235	0.0556673	0.0597038	0.0636016
d'	0.0140594	0.0199426	0.011354	0.0099804	0.00916656	0.00948023	0.00974901	0.0105421	0.0220925	0.0211378	0.0198132	0.0144571	0.0137183	0.0207578	0.0293718	0.0283671	0.0317463	0.0483351	0.0550993	0.0885453	0.0890825	0.0897404	0.0981411	0.106901	0.128419
ananas	0.00924182	0.00907401	0.00882575	0.00923563	0.00936935	0.0116452	0.0144668	0.0206537	0.0218322	0.0235321	0.0263943	0.0264459	0.0222491	0.0255387	0.0331055	0.0347003	0.0548594	0.0804295	0.0744679	0.0732628	0.0785859	0.0791526	0.0804862	0.0852097	0.0872355
dans	0.0125308	0.0139049	0.0122837	0.0140574	0.0151066	0.0145598	0.0145628	0.0143958	0.0146283	0.0146756	0.0158687	0.0146591	0.0146876	0.0183979	0.0236231	0.0318256	0.0400205	0.0667064	0.0630109	0.0830645	0.0885237	0.0870865	0.0822604	0.101474	0.128086
la	0.0205304	0.0213783	0.0222455	0.0239192	0.0231643	0.0213457	0.0200809	0.0197898	0.0221914	0.0218314	0.0199706	0.0207276	0.0220499	0.0237514	0.0316463	0.0245243	0.0329875	0.0452995	0.0619191	0.0804264	0.0755711	0.0795424	0.0890338	0.0865617	0.0895113
brousse	0.0170253	0.0137405	0.0213502	0.0311818	0.033493	0.0482967	0.0571599	0.0368243	0.0326143	0.0235721	0.0262848	0.0322118	0.0186875	0.018113	0.0339125	0.0266579	0.0303199	0.0365723	0.0425161	0.049508	0.0476282	0.0618027	0.0711205	0.070653	0.118754
</S>	0.0111787	0.00956119	0.012272	0.0163654	0.018481	0.0273373	0.0299788	0.0246705	0.0205632	0.0344276	0.0505685	0.0557809	0.035165	0.0388271	0.0631339	0.0485014	0.04719	0.0466799	0.0505941	0.0584789	0.0611526	0.0512061	0.0512993	0.0659839	0.0706027
