 	m	w	á	n	a	á	y	u	b	h	u	s	u	n	g	ω	l	ω	m	í	l	ώ	b	h	ω	</S>
l'	0.00924536	0.0170105	0.0194201	0.00869812	0.00842397	0.024687	0.0128074	0.0157203	0.03944	0.0449467	0.0878085	0.0537258	0.0959714	0.0690116	0.0657516	0.0424286	0.0422929	0.0392516	0.0360262	0.043939	0.0369719	0.0364565	0.0325238	0.024465	0.0327336	0.0602423
enfant	0.043717	0.0250166	0.0488651	0.122678	0.117821	0.0577525	0.0905084	0.142038	0.150237	0.092689	0.049367	0.0158019	0.00373883	0.00253134	0.00372134	0.00164502	0.00238259	0.00359387	0.00381341	0.00547544	0.00878352	0.00443069	0.00170432	0.000988491	0.000387644	0.00031179
a	0.0549646	0.0596464	0.0312042	0.0420319	0.0600397	0.0461137	0.0306958	0.0304996	0.0617632	0.0181907	0.0539401	0.107128	0.0458434	0.0360353	0.0247074	0.0465499	0.0485978	0.0421648	0.0333804	0.0367273	0.022112	0.0205753	0.0107338	0.00871419	0.0133608	0.0142792
capturé	0.012994	0.0148531	0.00496318	0.0052136	0.00658074	0.00567639	0.00829175	0.0100001	0.0147356	0.0117887	0.0103719	0.0117601	0.0259689	0.0484815	0.0748262	0.0782773	0.103791	0.119222	0.0952143	0.104822	0.0587871	0.0565129	0.0364895	0.0299271	0.0261334	0.0243171
un	0.0554376	0.0519202	0.0421003	0.0190258	0.0174432	0.0161024	0.0130304	0.0122131	0.0132412	0.0144159	0.0175509	0.0160232	0.011298	0.0108594	0.0106352	0.0176715	0.0227439	0.0313349	0.0280129	0.0311026	0.0377388	0.0654581	0.0855366	0.0884026	0.109281	0.16142
silure	0.0353956	0.0263439	0.0253191	0.0190111	0.0143145	0.01862	0.0218803	0.0227368	0.0233163	0.0364876	0.0363781	0.0712723	0.0311332	0.0290997	0.0309292	0.0358462	0.0435441	0.0448624	0.0488991	0.053315	0.0404997	0.0440804	0.0554177	0.0556335	0.0557454	0.0799188
avec	0.0638328	0.0739793	0.0809707	0.0423797	0.0268001	0.0239188	0.0245255	0.0262786	0.0244124	0.0415421	0.0415907	0.103461	0.0486893	0.0527434	0.0516273	0.0700267	0.0354284	0.0332424	0.0174736	0.00920027	0.0117802	0.0155219	0.0214044	0.0165952	0.0180204	0.0245547
son	0.0757679	0.0605796	0.0593872	0.0564308	0.0586987	0.0621233	0.050092	0.0378629	0.0316355	0.0296109	0.0440288	0.0317354	0.0396107	0.0185057	0.0253651	0.0175023	0.00558823	0.00611499	0.00498237	0.0111819	0.0163472	0.0247784	0.0392699	0.0335497	0.0521461	0.107104
hameçon	0.0742122	0.0554894	0.0519036	0.0389444	0.0443162	0.0370711	0.0320754	0.0265121	0.0272164	0.0305029	0.0399103	0.0462664	0.0470666	0.0403199	0.0338029	0.0372246	0.0219516	0.0213347	0.0157376	0.0179195	0.0180163	0.0211658	0.0305975	0.0604875	0.0463067	0.0836482
</S>	0.123315	0.0762805	0.0443174	0.0344373	0.0434575	0.0386031	0.0424303	0.0260832	0.0298861	0.01557	0.017619	0.0148964	0.0302821	0.0208544	0.0310193	0.0355055	0.016774	0.0186943	0.0156205	0.0146225	0.0323332	0.0224597	0.0318439	0.0313173	0.0666644	0.125114
