 	o	k	á	l	ú	m	ó	ó	p	έ	n	ω	n	g	á	n	g	w	o	o	n	y	i	é	m	i	d	z	á	m	ú	a	s	á	m	w	ε	</S>
le	0.00760316	0.0117955	0.0150518	0.0218	0.0211582	0.0247703	0.0346282	0.0324114	0.0321805	0.0295659	0.0299782	0.0305038	0.041908	0.0417583	0.0460639	0.0739059	0.0338934	0.057832	0.0594418	0.0418028	0.0219038	0.0110735	0.0126263	0.0115185	0.0116195	0.00738798	0.0118532	0.0182431	0.0165142	0.0156707	0.0238159	0.0256357	0.0205313	0.0269662	0.0191643	0.0203827	0.0192432	0.0177968
poisson	0.0130017	0.0279761	0.0227528	0.0529904	0.0651624	0.0652371	0.052062	0.0225757	0.0273427	0.02302	0.0200588	0.0118923	0.0523553	0.034025	0.0651746	0.096839	0.0688714	0.0688628	0.0443621	0.0198842	0.021801	0.0184933	0.0088348	0.0117668	0.009253	0.0131701	0.00756143	0.0074478	0.00631318	0.00698032	0.0111803	0.00676434	0.00415293	0.00251946	0.00271246	0.00218579	0.00229024	0.00212608
fumé	0.0467857	0.0422505	0.0296164	0.019551	0.0266318	0.0407936	0.0412717	0.0374618	0.0331428	0.0287287	0.0292968	0.0365731	0.052968	0.0472412	0.0463214	0.0436618	0.0202648	0.0236239	0.0137766	0.0127005	0.0188779	0.020652	0.0131723	0.023998	0.0309446	0.026159	0.0264155	0.0216209	0.01149	0.0189315	0.0234779	0.02205	0.0150222	0.012804	0.0153858	0.014525	0.0085085	0.0033028
que	0.0234887	0.0277645	0.0381864	0.0338357	0.0327257	0.0219987	0.0193521	0.0194858	0.0190897	0.0173077	0.0162591	0.0182488	0.020885	0.0147738	0.0120375	0.0158256	0.0156318	0.029233	0.0377179	0.043432	0.0332762	0.0586665	0.0412267	0.0421826	0.033066	0.0277458	0.0224387	0.017745	0.0106234	0.0168954	0.0171856	0.0177589	0.021286	0.0165156	0.0343285	0.0179916	0.0373482	0.0564396
tu	0.021598	0.0219046	0.0334668	0.0354334	0.0341434	0.0264143	0.0224106	0.021894	0.0213938	0.0186116	0.0142393	0.017617	0.0137418	0.00974588	0.0134284	0.013951	0.0143528	0.0147597	0.0171333	0.0279453	0.0279012	0.0443795	0.0320296	0.0481536	0.0397533	0.0425005	0.0330287	0.0278863	0.02422	0.0276039	0.0215433	0.0280939	0.0250837	0.0212502	0.0248671	0.0246512	0.042438	0.0504307
m'	0.0362967	0.0230889	0.0345947	0.0353719	0.0342257	0.0312789	0.0286047	0.0258227	0.0240853	0.0241572	0.0124472	0.0134676	0.0116286	0.0179465	0.0111298	0.0123323	0.020063	0.0226546	0.0375067	0.0405256	0.0362594	0.0341316	0.0338988	0.0458752	0.0275579	0.0327278	0.0206871	0.0159285	0.0146667	0.0224248	0.0188873	0.0203661	0.0207479	0.021002	0.0333223	0.0308838	0.0231924	0.0502117
as	0.103629	0.0643914	0.0521031	0.0393661	0.0269137	0.0191391	0.0153683	0.0158629	0.0187412	0.0218418	0.017427	0.0120994	0.0117373	0.0154771	0.0196309	0.0172905	0.0251019	0.0236226	0.0216553	0.0215002	0.0173564	0.0144096	0.0140299	0.0146928	0.0141254	0.0122566	0.0099857	0.00784404	0.00822357	0.00935629	0.0115737	0.0122336	0.012572	0.0141561	0.0147198	0.0354367	0.0490249	0.165105
donné	0.206033	0.0901359	0.0376837	0.0244572	0.0175937	0.0141005	0.0115836	0.0135325	0.0165019	0.0216652	0.0209834	0.0154001	0.0144941	0.0228125	0.028719	0.0242879	0.0292787	0.041821	0.0308596	0.0254686	0.0219227	0.0141148	0.0125764	0.0132786	0.00811422	0.0101168	0.00691142	0.00444799	0.00377587	0.00453562	0.00693043	0.00773304	0.00640352	0.00812975	0.0086324	0.019103	0.0296501	0.106211
est	0.0821412	0.0405623	0.031737	0.0264949	0.0204171	0.0179515	0.0195319	0.0205095	0.0279576	0.0325652	0.0183288	0.0145996	0.0431616	0.0740849	0.0562155	0.0440938	0.0749481	0.0407636	0.0279081	0.0269187	0.0199043	0.010347	0.0125613	0.0107391	0.00892984	0.0081907	0.00685551	0.0063082	0.00966586	0.00948263	0.00748931	0.00500921	0.005431	0.00635626	0.00905209	0.0187896	0.0219423	0.0820551
déjà	0.0771848	0.0401541	0.030045	0.0234038	0.0176791	0.0124618	0.0106613	0.0114009	0.012905	0.014776	0.0128122	0.01091	0.00805508	0.0095323	0.00977589	0.0106428	0.00981809	0.0143855	0.0129214	0.0223236	0.0318437	0.0303238	0.0297411	0.0270471	0.0246162	0.0166083	0.0127149	0.0121776	0.0106338	0.0140972	0.0316782	0.0297224	0.0333546	0.0286632	0.0333421	0.0669365	0.0873425	0.107308
