 	n	g	á	í	k	w	e	r	i	y	a	n	d	z	a	s	á	k	ώ	</S>
j'	0.143985	0.169596	0.118375	0.148024	0.0899204	0.0282171	0.00696265	0.0148064	0.0131069	0.0159524	0.024453	0.0376096	0.0566075	0.0433869	0.0242526	0.0148276	0.0141882	0.0116624	0.0120648	0.0120015
ai	0.175275	0.0645507	0.0363103	0.0798412	0.0546205	0.124617	0.0492543	0.0876505	0.0382744	0.0922691	0.0440975	0.0203241	0.0238586	0.00721536	0.00786343	0.0126087	0.0122048	0.0137907	0.0170586	0.0383158
abattu	0.0796806	0.0512362	0.0400591	0.0370055	0.0541764	0.0255573	0.0321249	0.0317309	0.0372845	0.0412902	0.0571716	0.0645457	0.0552487	0.0505727	0.0493845	0.0582504	0.0605068	0.0660977	0.0713373	0.0367391
l'	0.0395842	0.0330877	0.0247431	0.0119767	0.0458561	0.0289377	0.0442262	0.0203798	0.0277572	0.0314399	0.0304892	0.0672975	0.0402345	0.0570547	0.0259804	0.0530991	0.0412779	0.0865876	0.129601	0.16039
arbre	0.0168499	0.0149355	0.0121618	0.0130557	0.0178597	0.0192487	0.0300473	0.0560607	0.0619541	0.0590342	0.0568366	0.0693307	0.0843417	0.0775051	0.0712986	0.0615698	0.0638847	0.0608529	0.0567505	0.096422
yanza	0.0128353	0.0138664	0.0109306	0.00989158	0.0143368	0.0160058	0.0176192	0.0233337	0.0302535	0.0431049	0.0595017	0.0546444	0.0499955	0.0699007	0.0656877	0.0803677	0.09476	0.0864045	0.112791	0.133769
dans	0.10775	0.0790848	0.0343108	0.0244746	0.0135778	0.0251453	0.0350324	0.0375212	0.0275732	0.0243526	0.0230099	0.0260586	0.0327016	0.0434966	0.0401058	0.0496779	0.065589	0.0715126	0.0695559	0.16947
la	0.0971365	0.079316	0.0524756	0.0419134	0.0224231	0.0245165	0.0238084	0.0153403	0.0117424	0.0142971	0.0196442	0.0278073	0.0478255	0.0359132	0.042771	0.0732591	0.0777416	0.0832799	0.0882844	0.120504
forêt	0.0290862	0.0265789	0.024969	0.0308221	0.0254967	0.021602	0.010804	0.00754411	0.00699045	0.00985349	0.0166328	0.0408389	0.0945321	0.0568322	0.0593211	0.0995973	0.0942702	0.113238	0.104314	0.126676
</S>	0.0492561	0.0341067	0.0296286	0.0412657	0.0266785	0.0253382	0.0144571	0.00942577	0.00923294	0.0110057	0.0138825	0.019671	0.0432605	0.0287589	0.028965	0.0686511	0.0980052	0.138479	0.148032	0.1619
