 	t	á	á	a	d	í	l	a	i	k	á	m	b	í	m	ó	w	a	m	ó	i	d	z	w	a	o	b	e	n	g	á	a	n	y	a	m	a	</S>
son	0.00455343	0.00749599	0.0193024	0.0400859	0.0258462	0.0168311	0.0282223	0.00942444	0.012628	0.0144443	0.0137773	0.0332521	0.0371319	0.0438382	0.0641429	0.0830689	0.04756	0.0442781	0.0507073	0.0630258	0.0702346	0.044051	0.0303209	0.0401769	0.0148904	0.0204066	0.00831336	0.0111704	0.00670194	0.00682111	0.00878994	0.00751904	0.00920309	0.0102838	0.0138715	0.0103834	0.0141312	0.0131142
père	0.0497824	0.0962233	0.126185	0.136805	0.162355	0.14885	0.106481	0.0430943	0.0372736	0.0253999	0.0250486	0.0057021	0.00374963	0.0022521	0.000749716	0.000425017	0.00151654	0.00207008	0.000462972	0.000623015	0.000510129	0.000857405	0.000996282	0.000557572	0.000973684	0.00159878	0.00135712	0.00269047	0.00156356	0.00182694	0.00144613	0.00306466	0.00213956	0.00219507	0.00153295	0.000582566	0.000777676	0.000280892
a	0.0306167	0.0473906	0.0661916	0.0784921	0.0951088	0.0492372	0.0501818	0.0246446	0.0303712	0.0416174	0.0286656	0.0250225	0.0309891	0.0290294	0.0270087	0.0234605	0.0357792	0.0180934	0.0161024	0.0220487	0.0214717	0.0202579	0.0156742	0.0134539	0.00949382	0.00995108	0.00958721	0.00990792	0.00757322	0.00744804	0.0103603	0.0141946	0.0160151	0.0153493	0.0124441	0.010675	0.0171594	0.00893167
besoin	0.0313534	0.0276209	0.0143389	0.0206031	0.0164622	0.0164432	0.0295523	0.0289848	0.0329801	0.0367579	0.0326664	0.0245041	0.0247701	0.0208408	0.0233845	0.0405528	0.0214821	0.0263354	0.0194209	0.0345148	0.0327963	0.0495283	0.0401967	0.0215982	0.0143046	0.0312006	0.0600436	0.0278306	0.0340209	0.0292688	0.0158118	0.0144292	0.00976469	0.014659	0.0189937	0.0170178	0.0186457	0.0263207
de	0.102085	0.041914	0.0153589	0.0168035	0.0170836	0.0162815	0.0205002	0.0234961	0.0238406	0.0239659	0.0185899	0.0284357	0.0352343	0.0401304	0.031911	0.0527073	0.0265274	0.0365159	0.0258674	0.0361192	0.0338328	0.020855	0.030672	0.0154299	0.0152582	0.022778	0.0140498	0.0262675	0.0148844	0.0131588	0.01487	0.0132266	0.0122333	0.0159651	0.0155715	0.0188082	0.0205337	0.0482372
lui	0.0348027	0.0288694	0.0181963	0.0219338	0.0323941	0.0222731	0.0164976	0.0345969	0.0216755	0.020088	0.0262708	0.0313746	0.0263666	0.0213185	0.0281811	0.0566282	0.00867801	0.0132358	0.0131289	0.0311428	0.0436347	0.0384526	0.0562143	0.0318467	0.0382802	0.0571168	0.0205802	0.0317147	0.0157879	0.0158151	0.0165351	0.0118952	0.0115214	0.0139064	0.011371	0.01327	0.0143256	0.0500793
pour	0.0657523	0.0379435	0.0245753	0.0293895	0.0282722	0.0197228	0.0179932	0.0262722	0.0224372	0.0164907	0.0161722	0.0175813	0.01754	0.0171959	0.0201994	0.0454628	0.00932023	0.0227232	0.0122155	0.0170249	0.018603	0.0167582	0.0368802	0.0165053	0.0204446	0.0462089	0.0205464	0.0485719	0.0244633	0.02364	0.0263049	0.0246086	0.0250494	0.0250705	0.0252016	0.0274598	0.0304045	0.0589946
aller	0.0407511	0.0219756	0.0148746	0.0163188	0.0164807	0.0146613	0.0112834	0.0157709	0.0171862	0.0167909	0.016221	0.0289229	0.029838	0.0213752	0.0169858	0.0322541	0.0174952	0.0307648	0.0134655	0.0185501	0.013896	0.0163958	0.0193512	0.014884	0.0159825	0.0167533	0.0203194	0.0298863	0.0271852	0.0304784	0.0337444	0.0378962	0.0379661	0.0437064	0.0495816	0.0530223	0.0469041	0.0800804
à	0.0693615	0.0317426	0.0134578	0.0178033	0.0222328	0.0213297	0.0178996	0.0233222	0.0200472	0.0138573	0.0137266	0.0137669	0.0144823	0.0117611	0.008907	0.0164377	0.00765257	0.0141698	0.00818202	0.0128984	0.0136254	0.0285298	0.046343	0.0259337	0.0322514	0.04395	0.0368244	0.0532513	0.0352716	0.0392456	0.0209096	0.0317148	0.0269747	0.0269569	0.0412005	0.0357172	0.0225776	0.0656841
la	0.0335616	0.0250482	0.0191069	0.0194713	0.0164314	0.0188725	0.0136025	0.012113	0.0127067	0.0106179	0.0094658	0.00935982	0.00859693	0.00690232	0.00584494	0.0114186	0.00524168	0.00913553	0.00596404	0.0126981	0.0115276	0.0239493	0.033605	0.0214435	0.0175524	0.0279649	0.0416445	0.0568585	0.0499934	0.0467024	0.0305358	0.0459312	0.0462391	0.0475993	0.0553783	0.0576784	0.0409093	0.0783276
