 	y	é	n	g	o	n	d	a	y	á	n	g	á	y	í	i	y	á	n	g	ó	l	ó	m	i	</S>
celui-ci	0.0189257	0.019637	0.0303889	0.034883	0.032996	0.0339958	0.0328656	0.0339373	0.0506375	0.0348194	0.0308215	0.0422812	0.0872356	0.0801842	0.0885205	0.0770759	0.0613339	0.0507863	0.0444264	0.0349884	0.0235139	0.0156129	0.00774628	0.0109949	0.0119061	0.00948564
est	0.143745	0.0666462	0.0431057	0.0336712	0.0378894	0.043968	0.0470243	0.0674151	0.128104	0.102082	0.04348	0.0290117	0.0164683	0.0273685	0.0163509	0.0359497	0.0216876	0.0213048	0.0196219	0.0135811	0.0180206	0.00375658	0.00363183	0.00303015	0.00568835	0.00739817
mon	0.042493	0.035982	0.0349711	0.0318918	0.0337931	0.0244443	0.039725	0.0326636	0.0293106	0.0231547	0.0213369	0.0333651	0.0389751	0.0334062	0.0538538	0.0633518	0.0535146	0.0934699	0.0507628	0.0525178	0.0491382	0.0332509	0.0221069	0.0216668	0.0320509	0.0188032
champ	0.0517657	0.0767358	0.0662311	0.0807766	0.0668199	0.0326989	0.0238913	0.0302017	0.0230067	0.0206224	0.0201307	0.0157142	0.0307872	0.00851128	0.0269463	0.0186781	0.0312173	0.0265958	0.0207069	0.0281919	0.0194237	0.0288959	0.0444325	0.049167	0.059064	0.098787
celui-là	0.0238766	0.0352326	0.0505689	0.0520184	0.074434	0.0634636	0.0787983	0.0497562	0.0269385	0.0224313	0.0627214	0.0204677	0.0283614	0.00593882	0.0149955	0.0123368	0.0179888	0.0122726	0.0248024	0.0297162	0.0348572	0.029963	0.0531609	0.0520141	0.0470756	0.0758092
est	0.174799	0.0529157	0.0362902	0.0278675	0.046178	0.0456861	0.0528111	0.0385653	0.0205974	0.0124262	0.0143604	0.0123453	0.0241641	0.0189352	0.0286301	0.0229088	0.024386	0.0347677	0.0274973	0.04053	0.0287664	0.0417596	0.042042	0.0448308	0.0375587	0.0483815
à	0.150813	0.0480895	0.031216	0.0241667	0.0378008	0.0440963	0.0436238	0.0311622	0.0220189	0.0181771	0.0156603	0.0146938	0.0184028	0.021209	0.021083	0.0275446	0.0260938	0.0336996	0.0292532	0.0365275	0.0366831	0.0499836	0.0386974	0.0489544	0.0465545	0.083795
mon	0.0362694	0.0199742	0.015807	0.0153326	0.016875	0.0204659	0.0263436	0.0250776	0.0261468	0.0267451	0.0396582	0.016954	0.0483527	0.0171184	0.0428518	0.0561913	0.0602817	0.0391767	0.0520807	0.0650446	0.0665178	0.0559667	0.0583597	0.0482873	0.0441992	0.059922
oncle	0.114667	0.0541459	0.0400935	0.0387745	0.0415448	0.0311604	0.0170201	0.0152341	0.0153809	0.0187792	0.0279043	0.00667658	0.0143887	0.00825829	0.0137316	0.02524	0.0342929	0.0372076	0.0608212	0.0677102	0.0823719	0.0329561	0.0370469	0.0500671	0.0414391	0.073087
</S>	0.0599177	0.0415037	0.0259913	0.0242735	0.0203747	0.0194988	0.0196145	0.0150753	0.0113868	0.0131249	0.02386	0.0411537	0.0457276	0.0189517	0.0365086	0.0186494	0.0188547	0.0186701	0.0180939	0.0389297	0.0276623	0.0800736	0.0890334	0.0725884	0.0840025	0.116479
