 	b	í	s	í	l	é	e	k	w	έ	r	i	o	t	ó	m	b	á	m	í	p	á	a	l	í	f	i	a	</S>
nous	0.18432	0.182551	0.0922321	0.0760589	0.0689632	0.0225428	0.0219684	0.0147635	0.0182026	0.021821	0.0288897	0.0272946	0.029237	0.0169844	0.0125774	0.0142793	0.0107344	0.00516952	0.00957636	0.00693965	0.0121793	0.0115434	0.0143651	0.0159844	0.0165173	0.0202495	0.0143143	0.0155122	0.0142291
avons	0.0392708	0.051036	0.0312127	0.0260503	0.0445705	0.0731847	0.0785661	0.0925297	0.0949988	0.0895376	0.0821834	0.0701295	0.0502714	0.0561498	0.0145466	0.0245759	0.00472085	0.00519839	0.00743056	0.00754087	0.00845348	0.00736518	0.00677574	0.00550158	0.00466462	0.00784562	0.00490888	0.00413562	0.00664484
coupé	0.0372812	0.0300479	0.0367121	0.0281457	0.0319614	0.0259808	0.0286492	0.0318243	0.0200923	0.0301644	0.042238	0.0549007	0.0536864	0.0616864	0.0445734	0.0466191	0.0680019	0.0510814	0.0355855	0.0371142	0.0269102	0.0324651	0.0194376	0.0240541	0.0244738	0.0206031	0.0245065	0.0177816	0.0134219
l'	0.0168799	0.0152935	0.0170641	0.0187548	0.02551	0.0173841	0.0175381	0.0207925	0.0231435	0.0201248	0.0245241	0.0236964	0.036322	0.0321321	0.0332353	0.030538	0.0331522	0.0504453	0.0894902	0.0709407	0.0669493	0.0634353	0.0534805	0.0416691	0.0237776	0.0242186	0.0274552	0.0365878	0.045465
arbre	0.0123769	0.01353	0.0121067	0.0107238	0.0198729	0.0329603	0.0413045	0.0406369	0.0317024	0.0406351	0.0389102	0.0419057	0.0557601	0.032545	0.0178185	0.0277166	0.0511743	0.0513233	0.0615715	0.0549019	0.0445114	0.0459787	0.035889	0.0412081	0.0272414	0.02798	0.0248598	0.0247662	0.0380888
otomba	0.00471225	0.00541481	0.00542507	0.00569343	0.00855339	0.0147472	0.0199645	0.0302544	0.0238739	0.0293277	0.032241	0.0354475	0.0430751	0.037877	0.029594	0.0395837	0.0510218	0.0653258	0.065903	0.0479942	0.0717842	0.0380893	0.0479716	0.0374241	0.0292755	0.0343498	0.0329728	0.0488984	0.0632046
pour	0.0223663	0.0131056	0.0119979	0.0123013	0.0182843	0.0192431	0.0189198	0.0265518	0.0252713	0.02529	0.0294797	0.0323403	0.038196	0.0480128	0.0555535	0.0484206	0.0570647	0.0566943	0.0550395	0.0311449	0.0463536	0.0259615	0.0397425	0.0296233	0.0304962	0.0301572	0.0387884	0.0430822	0.0705175
tailler	0.072082	0.0342096	0.0131686	0.0137004	0.0238451	0.0445721	0.0461222	0.0561206	0.0399485	0.0529791	0.0236095	0.0540301	0.0430898	0.0411814	0.0250832	0.0276676	0.0201278	0.0232744	0.0163457	0.0146473	0.0250419	0.0177569	0.0220355	0.0176746	0.0240217	0.033768	0.0412132	0.0533269	0.0793566
un	0.0474019	0.0252335	0.0174066	0.0188887	0.0227261	0.0223651	0.0229911	0.0247653	0.018089	0.0218154	0.0173293	0.018294	0.0162836	0.0144584	0.0124018	0.0138331	0.0143359	0.0200301	0.0342651	0.0338575	0.0592885	0.0438957	0.0610618	0.0526336	0.0592118	0.066198	0.0710934	0.0733758	0.0764698
masque	0.0219708	0.0119008	0.00475292	0.00616892	0.011904	0.0272378	0.0276075	0.0297398	0.0349319	0.0365783	0.0249809	0.0440982	0.0459783	0.0426651	0.0269658	0.0326236	0.0235505	0.0339289	0.0240786	0.0275214	0.043061	0.0242154	0.037002	0.0279222	0.0412231	0.0581116	0.0560145	0.0682853	0.104981
</S>	0.0345905	0.0206685	0.0109039	0.0122894	0.0126859	0.0242243	0.020344	0.02007	0.0274763	0.0306342	0.0216872	0.037573	0.0423647	0.0332677	0.024711	0.023866	0.0214704	0.0372648	0.0321708	0.0216663	0.0387933	0.0207539	0.0371913	0.0280167	0.0480984	0.0659297	0.066013	0.076442	0.108833
