 	m	v	u	á	á	m	i	b	h	í	n	d	í	s	á	i	k	o	ó	</S>
le	0.00924856	0.0119719	0.0152035	0.0346002	0.0381808	0.0506459	0.0634179	0.130932	0.100998	0.112841	0.150844	0.0530387	0.0770078	0.056146	0.0225213	0.0140005	0.0125742	0.0107923	0.0136863	0.0213485
ciel	0.0231754	0.0394396	0.0342918	0.0681402	0.0515683	0.0548044	0.192144	0.105362	0.0912426	0.0903134	0.04257	0.0483753	0.0582704	0.0317461	0.0261211	0.0235596	0.010981	0.00452466	0.00186984	0.00150017
est	0.0582994	0.0349569	0.0883244	0.131239	0.141765	0.10405	0.0593465	0.0479142	0.0329319	0.0243324	0.0136689	0.0278876	0.0309169	0.0316839	0.0332015	0.0323811	0.0236236	0.0226291	0.028543	0.0323048
devenu	0.0488694	0.0562531	0.086011	0.10539	0.0829732	0.0783702	0.075302	0.0530719	0.0492374	0.0454081	0.0332193	0.0399513	0.0345585	0.0283572	0.0223294	0.0270958	0.0226255	0.0242469	0.0321185	0.0546114
noir	0.0431716	0.0347191	0.0361352	0.0342469	0.0302261	0.0301967	0.0314259	0.0384717	0.0311442	0.0467327	0.0366828	0.0384238	0.0597604	0.113212	0.0914563	0.0586193	0.0570873	0.0531548	0.0544919	0.0806417
à	0.077112	0.0592234	0.0458141	0.0429347	0.0287676	0.0231752	0.0272973	0.0409489	0.0278417	0.0336704	0.0238165	0.026195	0.0256729	0.0316462	0.0309431	0.0580165	0.0481189	0.0844057	0.0882479	0.176152
cause	0.114999	0.0609353	0.0777124	0.0519936	0.0399561	0.0296118	0.0283768	0.0286561	0.0192253	0.0212451	0.00963164	0.00965388	0.0134022	0.0354045	0.0568045	0.0626899	0.0599643	0.0684271	0.0831323	0.128178
de	0.11567	0.0786937	0.0909875	0.0544707	0.0570434	0.0317287	0.0256496	0.019616	0.0177242	0.0141801	0.00977114	0.00878791	0.0100679	0.0176509	0.0350786	0.0498369	0.0457418	0.0559772	0.0615232	0.1998
la	0.143962	0.0755091	0.0662339	0.023024	0.0167005	0.00919953	0.00746249	0.0047073	0.00527683	0.00443473	0.00319239	0.00353003	0.00618081	0.029096	0.055704	0.0793509	0.0926794	0.105394	0.112894	0.155468
pluie	0.170388	0.077402	0.0505102	0.0125136	0.00846103	0.00580455	0.00412037	0.00296464	0.00294361	0.00281162	0.00293424	0.0034612	0.00586478	0.0205831	0.0405632	0.0573984	0.0695166	0.0999343	0.135306	0.226519
</S>	0.110834	0.0745899	0.0472072	0.0150582	0.0114376	0.00933522	0.00746069	0.00447724	0.00503704	0.00336076	0.00218098	0.00211778	0.00247027	0.00725341	0.0163881	0.047739	0.083274	0.13783	0.179738	0.232211
