 	t	s	í	n	a	n	d	e	n	ω	á	d	z	e	a	t	ú	n	g	u	o	y	u	l	u	s	a	k	a	á	</S>
pourquoi	0.0235542	0.0163397	0.0216675	0.0233846	0.0268512	0.0302134	0.0393356	0.0441636	0.0397333	0.0376195	0.041054	0.0338623	0.0324681	0.036837	0.045554	0.0504881	0.0669969	0.0644085	0.0415433	0.0307218	0.0103025	0.0132242	0.0207225	0.0179306	0.0264164	0.0345386	0.0361115	0.0308653	0.0268774	0.0202233	0.0159908
n'	0.0661582	0.0609803	0.034771	0.0329553	0.0221315	0.019397	0.011244	0.0141088	0.0170209	0.0199084	0.0219982	0.0295767	0.0261136	0.0379199	0.0487252	0.0793607	0.1229	0.0617529	0.0542756	0.0654905	0.028296	0.0289764	0.0254046	0.0122899	0.00750186	0.0108591	0.00413778	0.00551504	0.00343695	0.00726986	0.0195237
as-tu	0.0407573	0.0345326	0.0418477	0.0465521	0.038922	0.0445477	0.032952	0.0267825	0.03397	0.0381175	0.0550647	0.0499105	0.0455052	0.0456948	0.0566551	0.0471472	0.0461521	0.0325197	0.0410555	0.0296532	0.0260422	0.013652	0.00984466	0.0130324	0.00930611	0.0167184	0.0147718	0.0164706	0.0191414	0.0167544	0.0159265
pas	0.14191	0.0999956	0.0593977	0.0575927	0.0558265	0.0459968	0.0471091	0.048941	0.0353601	0.0353421	0.0421096	0.030144	0.012059	0.0167359	0.0104428	0.012421	0.0222959	0.0218359	0.0162227	0.0193016	0.0240335	0.0255038	0.0156554	0.0102386	0.00599135	0.00823575	0.00821129	0.00851624	0.0098204	0.0146436	0.0381098
gardé	0.0367315	0.0280016	0.027124	0.0305625	0.038643	0.0586193	0.0561622	0.0440376	0.0266369	0.0199705	0.0232008	0.0170651	0.0107475	0.0111489	0.0105902	0.0132594	0.0158025	0.0292736	0.0365512	0.0315177	0.0468564	0.0584591	0.0404324	0.0375157	0.0312835	0.037552	0.0230407	0.0334753	0.0388724	0.0335106	0.0533556
une	0.0308918	0.0198858	0.0169804	0.0206405	0.019318	0.0283703	0.0357771	0.0309481	0.0343948	0.0397532	0.0485086	0.0382502	0.0194995	0.0197698	0.0230531	0.0248856	0.041501	0.0491259	0.0613482	0.0504586	0.0716687	0.0391829	0.0228298	0.0224087	0.0174165	0.0168793	0.00988746	0.0164915	0.0232092	0.0333408	0.0733243
partie	0.0252231	0.0172339	0.0178994	0.0284583	0.0245088	0.0285711	0.025436	0.0311599	0.0410073	0.0387933	0.0612314	0.0348283	0.0244415	0.018479	0.0234399	0.0216863	0.0255327	0.0354657	0.040474	0.0349174	0.0415682	0.0385171	0.0327212	0.042051	0.0286512	0.0309646	0.0219047	0.0249388	0.0276698	0.0281094	0.084117
de	0.0232019	0.0124997	0.011044	0.0185388	0.0194821	0.0259083	0.030684	0.0373779	0.0848337	0.088662	0.126467	0.0819792	0.0549583	0.0399194	0.0483998	0.0260173	0.0192214	0.0200968	0.0209932	0.00832012	0.0140128	0.0108495	0.0101392	0.0113671	0.00669306	0.0180186	0.0136137	0.016756	0.0199669	0.0277804	0.0521984
la	0.0799903	0.0429445	0.0304248	0.0251789	0.0230973	0.0149408	0.0156401	0.0180875	0.0244253	0.0302874	0.0452632	0.0284673	0.0192449	0.0194605	0.0187478	0.0176462	0.0139236	0.0211275	0.0212891	0.0287094	0.0445603	0.0185125	0.0140512	0.0222523	0.013779	0.0369373	0.0312404	0.0420888	0.0520117	0.0628201	0.12285
nourriture	0.0784597	0.068795	0.0609832	0.0532316	0.0437938	0.0230673	0.0085966	0.00649701	0.00723455	0.00751588	0.00863594	0.0073892	0.00706828	0.00788368	0.00863257	0.0100626	0.0121631	0.0215155	0.0172808	0.0289256	0.0450522	0.0285392	0.0148015	0.0200622	0.010329	0.0439467	0.0325779	0.0575946	0.0706935	0.0654093	0.123262
</S>	0.0663028	0.0681491	0.0667232	0.0589273	0.044973	0.0377194	0.0359633	0.0300984	0.0213305	0.0197723	0.0240066	0.0229739	0.0202198	0.0181812	0.0164717	0.0114527	0.0112425	0.00770087	0.010837	0.00968342	0.0207727	0.0179057	0.0195912	0.0284112	0.0206197	0.0373744	0.0169185	0.0289012	0.0337806	0.0527775	0.120218
