 	m	u	m	b	á	m	á	t	á	á	y	a	b	í	s	í	ó	d	i	s	á	e	y	á	n	d	á	y	e	</S>
la	0.00516038	0.00753355	0.00575956	0.0154477	0.0100731	0.0117333	0.0130589	0.0167718	0.0237508	0.028194	0.0246129	0.0422404	0.0535869	0.0669306	0.0995454	0.0845783	0.0781372	0.0946353	0.0860483	0.0353711	0.0282305	0.0152115	0.0128533	0.014939	0.0176053	0.0224282	0.0273259	0.0215378	0.0183476	0.0183512
tombe	0.133673	0.338584	0.120023	0.060655	0.03109	0.0202264	0.0196064	0.0146932	0.00982822	0.0155017	0.0211864	0.062539	0.0234027	0.0416365	0.0335008	0.00845009	0.00605467	0.00538098	0.00184835	0.00132673	0.00163122	0.00404777	0.00304155	0.00380816	0.00389171	0.00466046	0.00454233	0.00275847	0.00145589	0.000954317
de	0.0721637	0.0783074	0.0516371	0.0389545	0.0593619	0.063028	0.0570054	0.0458031	0.0176201	0.0163745	0.00915198	0.0120931	0.0102529	0.0113193	0.0196389	0.0326663	0.0343259	0.0341323	0.0360987	0.0538541	0.053298	0.040559	0.0441065	0.0337869	0.018723	0.0126138	0.011319	0.0106109	0.0164754	0.0047181
notre	0.0222993	0.0308365	0.0390244	0.0433854	0.0627296	0.0504124	0.0402794	0.0397258	0.0427775	0.0386311	0.0320935	0.0221567	0.0398395	0.0471843	0.0571417	0.0679686	0.0571838	0.0473692	0.0247903	0.0241903	0.0229639	0.0193193	0.020378	0.0173522	0.0107294	0.0101154	0.0113843	0.0108338	0.0155459	0.0313586
père	0.0488486	0.045727	0.051383	0.0497074	0.055885	0.0581306	0.0452303	0.0377841	0.0387134	0.0460051	0.0444332	0.0449919	0.0314175	0.0319937	0.0273437	0.0228298	0.0207487	0.0304543	0.0220282	0.0149456	0.0222425	0.017279	0.0171338	0.01582	0.0144763	0.0169738	0.0212875	0.0259919	0.0267964	0.0533977
se	0.0791223	0.0579584	0.0619833	0.0457973	0.0535785	0.0446245	0.0427443	0.0411142	0.0415797	0.0534029	0.0371249	0.0346518	0.0264559	0.0235845	0.0176782	0.0160692	0.0190956	0.0213119	0.0203552	0.00574372	0.012774	0.0181193	0.0172507	0.0132582	0.0142777	0.0171345	0.0257409	0.0325622	0.0343556	0.0705504
trouve	0.0619899	0.0515261	0.0402952	0.0339517	0.0376207	0.0360381	0.0321624	0.0178488	0.0135943	0.0141037	0.0117218	0.0142287	0.00917748	0.00504818	0.00256008	0.00209823	0.00378575	0.00622485	0.00707212	0.0078334	0.0109429	0.0384318	0.05177	0.0524537	0.0655473	0.0639898	0.0589717	0.0725704	0.0692872	0.107154
dans	0.061721	0.0588827	0.0630976	0.0408653	0.0431348	0.0274999	0.0173627	0.0129965	0.0152291	0.0137494	0.0152417	0.013561	0.00635834	0.00442511	0.00575709	0.00367565	0.00487548	0.00656217	0.00704485	0.00543285	0.00652965	0.025772	0.0494075	0.0389326	0.0462789	0.0534507	0.0483298	0.0869324	0.0716186	0.145275
quel	0.0662094	0.0425044	0.0323822	0.0222463	0.0247511	0.0159405	0.0147134	0.0156539	0.0146192	0.0171949	0.0138981	0.0132871	0.0121931	0.0115394	0.00955915	0.00864503	0.00627267	0.00896123	0.0124259	0.0096238	0.0268202	0.0417157	0.0640156	0.0537611	0.0596926	0.0537809	0.0603806	0.0730807	0.084962	0.10917
cimetière	0.0967606	0.0662177	0.052497	0.0296401	0.0380822	0.021562	0.0229966	0.0241894	0.0222579	0.0231895	0.0200098	0.0218187	0.0122504	0.00902132	0.00405275	0.00293103	0.00202532	0.00293863	0.00940743	0.00680123	0.0200577	0.0205337	0.0290184	0.029456	0.0328823	0.0382044	0.0529649	0.0687085	0.104027	0.115497
</S>	0.0767203	0.0524751	0.0418909	0.0184104	0.0313726	0.0153527	0.0134719	0.0116245	0.0123754	0.011441	0.0101186	0.0113394	0.00670473	0.00547369	0.00396206	0.00251941	0.00297048	0.00652066	0.0190146	0.0155807	0.0246479	0.0290114	0.0285958	0.0326012	0.0431961	0.0451074	0.0548954	0.069789	0.13161	0.171207
