 	p	o	o	á	b	h	i	i	k	á	m	b	í	l	á	n	y	a	s	ω	n	i	k	a	á	t	s	í	n	a	w	a	l	á	a	p	é	n	d	á	o	k	w	e	r	é	e	b	á	n	a	b	á	n	d	z	é	s	i	i	b	v	u	n	y	á	</S>
tout	0.00739379	0.00949766	0.0125316	0.0118681	0.0123152	0.0236337	0.0320423	0.0421869	0.0348176	0.0331604	0.0324577	0.0322642	0.0315903	0.0287583	0.0242334	0.0182335	0.0252222	0.0184185	0.0245737	0.0262489	0.0186106	0.0131795	0.0124653	0.0064101	0.0167911	0.0123622	0.00557706	0.0126134	0.0112745	0.0062978	0.013084	0.0142307	0.00915815	0.00470105	0.00392996	0.00891706	0.00414086	0.00579941	0.00385239	0.00418481	0.00608848	0.00370508	0.00358849	0.00394233	0.00365349	0.00547073	0.005661	0.00570331	0.00882221	0.0151033	0.00846988	0.0132925	0.0127733	0.0222382	0.020751	0.0106033	0.0185799	0.0127137	0.0215341	0.0128983	0.0177673	0.0162802	0.0122222	0.0195663	0.0174023	0.017824	0.0143171
le	0.0338795	0.0476323	0.0262599	0.0338292	0.0332719	0.034731	0.0300078	0.0260146	0.0204573	0.0123738	0.0103425	0.00584485	0.0133856	0.0112591	0.0147854	0.018098	0.0252714	0.0729521	0.0321828	0.0283014	0.0345709	0.0262477	0.0180428	0.0195128	0.0240599	0.0153185	0.0205533	0.010525	0.0143294	0.0179187	0.027354	0.0156962	0.0145209	0.0110263	0.0124617	0.00565098	0.0045582	0.00424143	0.00435527	0.00375051	0.00220739	0.00308101	0.00261972	0.00130007	0.00488304	0.0028212	0.00296787	0.00307244	0.0036741	0.00286753	0.00260731	0.00451138	0.0037865	0.0065658	0.00589248	0.00766572	0.0082816	0.00517755	0.0129813	0.0232759	0.0161236	0.00732472	0.00700329	0.0112187	0.00590285	0.00410533	0.00250643
village	0.0687947	0.0901743	0.0979238	0.0769736	0.0569659	0.0912853	0.0758652	0.026108	0.0115296	0.0152682	0.00990942	0.0102449	0.01212	0.0123175	0.0153635	0.0144856	0.0158922	0.00763295	0.00582759	0.00382852	0.00281598	0.00645847	0.0075348	0.00275201	0.00256919	0.00216234	0.00688148	0.00128315	0.00653599	0.00273773	0.00795969	0.0043367	0.00633563	0.00592665	0.00336769	0.00155177	0.00121643	0.00172516	0.00127896	0.00102334	0.00141506	0.00164408	0.00665678	0.00263493	0.00204449	0.00243372	0.00262761	0.0018426	0.00354431	0.00480433	0.00233335	0.00628498	0.0044384	0.00540514	0.00680506	0.00718119	0.00578126	0.00799345	0.0138281	0.0113232	0.0140758	0.015348	0.0113441	0.0240498	0.0142647	0.010137	0.0147945
ne	0.0215562	0.0245657	0.034363	0.0397782	0.0389111	0.0470811	0.0416918	0.0449682	0.0196601	0.02156	0.00950881	0.0115557	0.0104907	0.00725862	0.00508828	0.00649424	0.0103154	0.0115928	0.0101097	0.0162891	0.0113858	0.0189839	0.016454	0.0117599	0.0137926	0.0103791	0.0120383	0.0141945	0.0102855	0.00762963	0.01742	0.0133224	0.013031	0.00593462	0.00796584	0.00559604	0.0116051	0.00943012	0.00615686	0.00792674	0.00927328	0.0127981	0.0113999	0.00730212	0.00907722	0.011924	0.0102849	0.00917618	0.0105262	0.0157188	0.0123109	0.0160366	0.0159545	0.0191917	0.0182285	0.0114207	0.0122217	0.01775	0.0144858	0.0109226	0.0160254	0.0141888	0.0117445	0.0136408	0.00972713	0.00943765	0.0111013
veut	0.00901366	0.013008	0.0208529	0.0323151	0.0305974	0.0637406	0.0446461	0.0474401	0.0226808	0.023344	0.0146406	0.0193453	0.0222008	0.0278028	0.0221717	0.0272334	0.0349825	0.0204078	0.022825	0.024702	0.0163967	0.0216376	0.020275	0.0141981	0.013941	0.00709333	0.018515	0.00514568	0.00894187	0.00802752	0.0250813	0.0120689	0.0127056	0.00709872	0.00816885	0.00551404	0.00892986	0.00527422	0.00444178	0.00417743	0.00485776	0.00399916	0.00597964	0.00583993	0.00646515	0.00677151	0.00980148	0.00545501	0.00635253	0.00717961	0.00490645	0.00852629	0.00778459	0.0117006	0.00895005	0.00727781	0.00949232	0.00548285	0.0103431	0.00993118	0.0111021	0.00971688	0.00877707	0.0109273	0.0115391	0.0104511	0.0188063
plus	0.0102947	0.00948619	0.00933872	0.00890861	0.0116034	0.0108535	0.0104142	0.00974436	0.0117101	0.0143047	0.0129549	0.0135352	0.0189625	0.0193959	0.0193715	0.0139711	0.0239297	0.0196679	0.0343602	0.039738	0.0212231	0.0189922	0.0152983	0.00875557	0.0143319	0.009316	0.00833383	0.00816105	0.0113655	0.0109575	0.0133416	0.00907206	0.0036266	0.00304406	0.00533235	0.00198487	0.00709533	0.00653665	0.00398066	0.00329478	0.00603038	0.00796986	0.0156199	0.0117508	0.0205982	0.0130618	0.016755	0.0122481	0.0168578	0.017766	0.0124865	0.0244199	0.0175045	0.0332122	0.0238375	0.0257385	0.0185829	0.0205655	0.0240705	0.0286331	0.0287255	0.0200809	0.0173299	0.0146766	0.0127715	0.011423	0.0206945
de	0.0253873	0.0197874	0.0158024	0.015815	0.0191567	0.019121	0.0208076	0.0148259	0.0148056	0.0161575	0.0143177	0.0142542	0.015286	0.0142504	0.0147856	0.0138751	0.016436	0.0184996	0.0266042	0.0340282	0.0209712	0.0203909	0.0176094	0.0164451	0.01845	0.0159098	0.0125738	0.0187235	0.0107001	0.0169089	0.00908204	0.0123803	0.00405476	0.00370362	0.00865595	0.00463865	0.00700135	0.00773334	0.00532392	0.00402634	0.00836621	0.0150039	0.0271883	0.0118506	0.0173295	0.00947434	0.0107901	0.0141603	0.0167281	0.0125029	0.0143699	0.012171	0.0111491	0.0128993	0.0111208	0.0105157	0.0100502	0.0130708	0.0108243	0.0134974	0.0127123	0.0135587	0.0135602	0.0144432	0.0179442	0.0223876	0.0430448
nyasoni	0.0195704	0.017659	0.0153114	0.0128856	0.0109152	0.00941993	0.00904733	0.00979802	0.0107898	0.0109845	0.0098452	0.0131073	0.0134373	0.0140614	0.0127607	0.0116535	0.0121305	0.0134001	0.0194908	0.0194614	0.0179478	0.0165642	0.0147744	0.0151869	0.0151	0.0143133	0.0119425	0.0178553	0.0164091	0.0136114	0.0118769	0.0113021	0.00522513	0.00520666	0.00855463	0.00555521	0.0130276	0.012194	0.0083684	0.00985874	0.014595	0.019961	0.0208829	0.0146465	0.0204513	0.0167813	0.0171627	0.0190206	0.0195309	0.0168295	0.0190668	0.0163857	0.0200442	0.0203763	0.014777	0.00921248	0.00991013	0.0102153	0.0102394	0.0110258	0.0134272	0.0143095	0.0207395	0.0203638	0.0293312	0.0332694	0.0368409
parce	0.0587542	0.0288871	0.0193693	0.0195311	0.0146213	0.0126179	0.00909683	0.00929966	0.00849258	0.00963224	0.0076734	0.00867093	0.00712838	0.00707346	0.00353362	0.00416483	0.004361	0.00694818	0.0166778	0.0435988	0.0411961	0.035885	0.0272564	0.0211796	0.0505251	0.0306494	0.0180985	0.0370239	0.0170035	0.0129542	0.0182906	0.0219553	0.0105471	0.00346822	0.00571735	0.0084301	0.00561082	0.00627591	0.00486615	0.00505763	0.00736725	0.0112285	0.012195	0.00901263	0.00918714	0.0070131	0.00588082	0.0089496	0.00777665	0.0107601	0.0119868	0.0121576	0.0125402	0.0163102	0.0139875	0.0109194	0.0102328	0.0169376	0.0138436	0.0091309	0.0126531	0.0114239	0.0103632	0.00829022	0.0109424	0.0176037	0.0291826
qu'	0.0176466	0.010542	0.0106647	0.0126235	0.0114387	0.0104802	0.00678364	0.00690105	0.00443632	0.00678835	0.00400681	0.00428692	0.00470653	0.00435723	0.0023414	0.00269664	0.00258882	0.00438422	0.0120574	0.0310329	0.0298146	0.0244283	0.0229805	0.0142218	0.0342091	0.022094	0.0113404	0.0373605	0.0129775	0.0112826	0.0121064	0.0136476	0.0158804	0.00512968	0.00587335	0.0116462	0.0107372	0.0111468	0.00979316	0.00871345	0.0128246	0.015088	0.0112894	0.0167444	0.0214373	0.014735	0.0145691	0.0149839	0.0141891	0.0173167	0.0231292	0.0278131	0.0229509	0.0260973	0.0239009	0.0246301	0.0256582	0.0337665	0.0257544	0.0162451	0.0173705	0.0148896	0.0131595	0.010703	0.0111945	0.0131635	0.0202485
