 	ω	m	ω	n	g	ω	m	á	w	a	ó	m	i	b	v	u	á	o	b	v	ú	é	m	i	b	v	u	á	l	a	w	a	o	b	v	ú	ω	p	ω	ώ	o	t	o	</S>
il	0.00675343	0.0057828	0.00836436	0.0140327	0.0125967	0.0188508	0.0153046	0.0229562	0.0320087	0.0421163	0.0673689	0.0993821	0.0562096	0.0285484	0.0188322	0.0103857	0.0268364	0.0149525	0.0287435	0.0295558	0.0156176	0.00474877	0.00705366	0.00346841	0.00998906	0.0087635	0.0193855	0.0164565	0.0192779	0.0351182	0.0576564	0.0330354	0.0256753	0.030371	0.0232335	0.0206285	0.0189046	0.0145907	0.0194566	0.012153	0.0110796	0.0140796	0.0103902	0.00928477
n'	0.0513873	0.0454086	0.0195021	0.0167003	0.0375271	0.0110325	0.021958	0.0147557	0.0155243	0.0167595	0.0346408	0.0501015	0.0412262	0.034845	0.0251932	0.00559384	0.0425655	0.0418613	0.0142823	0.0252317	0.0900754	0.0349402	0.0296796	0.0167826	0.0262064	0.0185248	0.0140383	0.0358186	0.0264419	0.00985753	0.0155559	0.0189782	0.032226	0.0108117	0.00865771	0.0110618	0.0080365	0.00838494	0.00635667	0.00405838	0.00235151	0.00154889	0.00117133	0.00233862
a	0.01546	0.0221849	0.017587	0.0253051	0.0172601	0.021723	0.0161581	0.0256625	0.0238397	0.0297544	0.0424134	0.052528	0.0366865	0.02437	0.0314332	0.0333332	0.0673213	0.0380113	0.0322066	0.0153853	0.0447838	0.0514273	0.0412587	0.0361673	0.0165018	0.0111804	0.0280928	0.0222536	0.0112355	0.0131389	0.0130409	0.0126278	0.015427	0.0111035	0.00828709	0.00647085	0.00799492	0.014416	0.00925738	0.0155553	0.00650119	0.00644007	0.00359067	0.00462343
plus	0.0382337	0.0217464	0.0123702	0.0134203	0.0128342	0.007179	0.0103023	0.0102487	0.0118623	0.0117908	0.017868	0.0200504	0.0293256	0.0278757	0.0198504	0.0318898	0.0358456	0.0617212	0.0344649	0.0893541	0.0807419	0.0742709	0.0326078	0.0226135	0.017197	0.0137896	0.0140459	0.0107475	0.0110667	0.0229066	0.0203441	0.0155039	0.0127111	0.00903861	0.00809313	0.0179384	0.0150493	0.013957	0.0102727	0.0121827	0.0110896	0.00725964	0.0132317	0.0151073
qu'	0.00823454	0.00763066	0.00646245	0.00987069	0.00621678	0.00710369	0.00870627	0.00889994	0.0100281	0.0100598	0.0144494	0.0129593	0.0245539	0.0269749	0.0293985	0.039722	0.0623309	0.0429035	0.0694425	0.0408643	0.0867256	0.0442024	0.0908107	0.0382443	0.0164539	0.0155541	0.0262456	0.0218922	0.0111613	0.0243284	0.018317	0.0103371	0.0112675	0.00750634	0.00831187	0.0109388	0.0112172	0.0106012	0.00770071	0.00938121	0.0105457	0.0166494	0.0281195	0.0166758
un	0.00763154	0.00700042	0.00577196	0.00831378	0.00670912	0.00681197	0.00802174	0.00778883	0.00768706	0.00858804	0.0102427	0.0095838	0.0125828	0.0215721	0.0311519	0.0960122	0.070056	0.0935652	0.116521	0.0919869	0.0667968	0.036029	0.0343966	0.0155343	0.00868835	0.00822961	0.00754746	0.00873076	0.0066511	0.0111397	0.00632877	0.00358086	0.00342671	0.00470942	0.00527424	0.00678309	0.00831807	0.0168592	0.0117083	0.0184574	0.0185611	0.0201526	0.016347	0.0281502
an	0.0211475	0.0233043	0.0257501	0.0223922	0.0207431	0.0187174	0.0163249	0.0155785	0.0175971	0.01219	0.0121224	0.0144494	0.0180089	0.0281762	0.0132974	0.0200514	0.0351802	0.0372151	0.0715583	0.0704844	0.0861071	0.0185797	0.019951	0.0252306	0.0419072	0.0175678	0.0184279	0.0188064	0.0132816	0.0182023	0.0159383	0.0131705	0.0134387	0.0124236	0.0131208	0.0138691	0.0140273	0.0177376	0.0140453	0.0130855	0.0148261	0.0131498	0.0109694	0.0278479
à	0.0196664	0.0262997	0.026155	0.0259134	0.0204882	0.0143259	0.0162538	0.0123836	0.00823143	0.0104676	0.0111051	0.0146935	0.0251769	0.0281651	0.0132218	0.0165601	0.0362055	0.0370655	0.0565409	0.0467837	0.117222	0.0165201	0.0274663	0.0251639	0.0203305	0.0105612	0.0156119	0.0108154	0.00826072	0.0148147	0.00979224	0.00656642	0.00868262	0.00839168	0.00937562	0.0127518	0.0187179	0.0250495	0.0157995	0.0204589	0.0265334	0.0281944	0.0280851	0.0491313
vivre	0.0253832	0.017254	0.0151521	0.0129953	0.0133526	0.0110065	0.0102214	0.00715836	0.00687339	0.00619003	0.00515276	0.00515975	0.00702889	0.00897711	0.0131657	0.0179689	0.0286412	0.0381031	0.0494351	0.0724594	0.0771733	0.020368	0.023644	0.0164027	0.0159788	0.0123058	0.0111222	0.00798532	0.0101693	0.00829097	0.00891966	0.0152185	0.0207817	0.0268007	0.0271017	0.0308674	0.0331899	0.0365816	0.0355957	0.0336446	0.0383689	0.0382878	0.0389054	0.0406173
</S>	0.0153351	0.0135499	0.0126844	0.0125141	0.0118968	0.0136477	0.0143164	0.0121001	0.0125317	0.0106958	0.00922755	0.00790967	0.0097186	0.0112435	0.0119295	0.0454122	0.0234723	0.0544195	0.0415161	0.0864129	0.0572037	0.0212162	0.0183593	0.0159926	0.0126485	0.0119161	0.0114984	0.011292	0.0102983	0.012928	0.00743935	0.00600074	0.00770649	0.0131035	0.0213725	0.0193797	0.0238888	0.0371137	0.0424126	0.0434409	0.0421544	0.0417073	0.039336	0.041057
