 	m	b	á	é	y	a	n	g	ó	o	y	a	b	í	s	í	á	t	i	i	n	g	á	d	z	ú	e	l	í	b	é	</S>
la	0.0129713	0.0145279	0.0116686	0.0110625	0.0105946	0.011294	0.0156071	0.0227341	0.0375702	0.0512811	0.042952	0.0324133	0.039164	0.0574823	0.0681362	0.0452446	0.034586	0.0402562	0.0288523	0.036851	0.0426821	0.0482931	0.0420233	0.0398757	0.0343507	0.0262373	0.0171037	0.0256021	0.0260546	0.0205372	0.0300866	0.0219044
co-épouse	0.0385987	0.12418	0.121953	0.102076	0.0577701	0.0320373	0.054	0.0341379	0.0781955	0.140304	0.0518318	0.053235	0.0256179	0.0182474	0.00860518	0.00572082	0.00629755	0.00378803	0.00185035	0.00158446	0.00212955	0.00196115	0.00360345	0.00444243	0.00869119	0.00536778	0.00371926	0.00358151	0.0029245	0.00175295	0.00111008	0.000686067
de	0.0349489	0.01572	0.0067666	0.0101565	0.0105766	0.0152488	0.0146136	0.0168789	0.0283509	0.0213182	0.0164309	0.0214748	0.0226575	0.0287592	0.0303307	0.0379093	0.0385746	0.0418196	0.052503	0.0476206	0.0825036	0.0744909	0.095181	0.070851	0.0566074	0.0303172	0.0231995	0.0204041	0.0111148	0.00955277	0.00975359	0.00336507
ma	0.0209814	0.027334	0.0645203	0.0917725	0.0845427	0.0818332	0.0629962	0.0339882	0.0299152	0.0216134	0.0131992	0.0161789	0.0184701	0.0240654	0.0223113	0.0261718	0.0230186	0.0285442	0.0359852	0.0316397	0.0168266	0.0163885	0.0163231	0.016385	0.0170602	0.0117414	0.0131859	0.0204317	0.0157222	0.0229003	0.0290894	0.044864
mère	0.102757	0.071929	0.0668719	0.0652613	0.0537681	0.0392108	0.0544771	0.0428904	0.0426533	0.034173	0.0286236	0.034975	0.0251417	0.0188144	0.0148988	0.0134667	0.00753666	0.00649109	0.0055168	0.00626015	0.013478	0.0126155	0.0159815	0.015639	0.0187595	0.0132206	0.0161468	0.0227005	0.0181284	0.0248776	0.0364492	0.0562871
m'	0.11307	0.0817455	0.0531636	0.0404632	0.0319397	0.0253112	0.0224604	0.0252797	0.0258353	0.0330119	0.031395	0.0284197	0.0277254	0.0255887	0.0199961	0.0265306	0.0262445	0.0260093	0.0395886	0.0308303	0.0165367	0.00693642	0.0196458	0.00702342	0.0125219	0.00961934	0.0119562	0.0193447	0.0268008	0.0279021	0.036504	0.0706002
a	0.130318	0.0992705	0.0517211	0.0448079	0.0399164	0.0316474	0.0431984	0.0482277	0.0459418	0.0411509	0.0337893	0.0343716	0.0238976	0.0162278	0.0110847	0.0116161	0.013621	0.0119842	0.0160975	0.0149961	0.018506	0.00747466	0.0209514	0.0117368	0.0165131	0.011596	0.0168623	0.0158682	0.0185788	0.0151404	0.0275562	0.0553298
adressé	0.1522	0.0638034	0.0330809	0.0165524	0.0134966	0.00996057	0.0151112	0.0205397	0.0143969	0.0179591	0.0293859	0.0228212	0.0157426	0.0116866	0.0191212	0.0141879	0.0265541	0.0307287	0.0288345	0.0383347	0.0396656	0.0227554	0.0257539	0.0256288	0.0270783	0.0147722	0.0281235	0.0214881	0.0184085	0.0256599	0.0560712	0.100096
une	0.125497	0.0586131	0.0343279	0.0302259	0.0278822	0.0265834	0.0290947	0.0342618	0.0183463	0.0121553	0.0171307	0.0234693	0.0260062	0.0311987	0.0314328	0.0346348	0.0405928	0.0523178	0.0386222	0.0333917	0.0277596	0.0189255	0.0120582	0.0160864	0.0169187	0.0184579	0.020519	0.0189605	0.0165706	0.0182972	0.0213196	0.0683421
mauvaise	0.062807	0.044081	0.046731	0.0424107	0.0359913	0.0202084	0.0124353	0.0123765	0.0114751	0.0132935	0.0206367	0.0222979	0.0169441	0.0113355	0.00914582	0.011356	0.00987478	0.0107309	0.0141127	0.0118462	0.011518	0.00954523	0.0108181	0.00903775	0.0178539	0.0198524	0.0381494	0.0434232	0.0392133	0.0554687	0.0988642	0.206165
parole	0.0523156	0.0348675	0.0482412	0.0504729	0.0490246	0.0335473	0.0200225	0.00752517	0.00547933	0.00608543	0.00666835	0.00552184	0.00442744	0.00342312	0.00406336	0.00532069	0.00700457	0.00914601	0.00830624	0.00857932	0.00804375	0.0135143	0.0193429	0.018614	0.0165476	0.0210478	0.0349461	0.0584429	0.0437967	0.0677362	0.133406	0.194519
</S>	0.115656	0.0539345	0.0397289	0.0294417	0.0249629	0.0187809	0.016941	0.0245389	0.022424	0.0276371	0.0299643	0.021973	0.0131038	0.00642985	0.00777287	0.0102504	0.0105102	0.0154702	0.0186457	0.0288042	0.0196468	0.0255483	0.0221905	0.0218561	0.018635	0.0160745	0.0183486	0.0236584	0.0177956	0.0348443	0.0523072	0.192125
