 	m	v	é	n	g	é	é	l	i	n	d	i	s	i	a	s	ú	a	</S>
les	0.0127413	0.0124211	0.0166411	0.0250896	0.0263135	0.03531	0.050333	0.0850395	0.0737478	0.108376	0.0518065	0.0486382	0.0490655	0.0481853	0.045842	0.0928717	0.0782984	0.0731631	0.0661161
vagues	0.0198152	0.0127757	0.048273	0.0704154	0.0514478	0.129919	0.0705462	0.144906	0.235731	0.10157	0.0329185	0.0234824	0.00954652	0.00765781	0.00707137	0.00764653	0.00830344	0.0137527	0.0042216
ont	0.0406552	0.030424	0.045834	0.0556112	0.0468335	0.0606593	0.117093	0.0827278	0.0739291	0.077653	0.0977966	0.0694609	0.0590809	0.033626	0.0234334	0.0168544	0.0268528	0.0196368	0.0218381
fait	0.0967624	0.0656279	0.0613169	0.079725	0.0705026	0.0923347	0.0765364	0.0736679	0.0363751	0.0205865	0.0265762	0.0264811	0.0326032	0.0499174	0.0326622	0.0309701	0.0363803	0.0300708	0.0609034
couler	0.110331	0.0487637	0.0394055	0.0477783	0.0402257	0.0324224	0.0208953	0.0182954	0.0162747	0.0167812	0.0305185	0.0247305	0.0625495	0.069494	0.0702728	0.0814563	0.0815698	0.0784031	0.109833
le	0.042645	0.0447296	0.0489822	0.0552496	0.0541309	0.0405319	0.0426493	0.030729	0.0281677	0.0310455	0.0371438	0.0423309	0.0515107	0.0508761	0.0606017	0.0612405	0.079437	0.105882	0.0921169
bateau	0.0673628	0.0424259	0.0356152	0.0338947	0.0351199	0.0290511	0.0250402	0.0225464	0.028102	0.0193655	0.026905	0.0383693	0.0356719	0.0554895	0.0556062	0.0626149	0.0735058	0.128824	0.18449
à	0.0841854	0.053666	0.0419389	0.0298804	0.0317921	0.0230919	0.013613	0.0134205	0.0150421	0.00759267	0.00806018	0.0177448	0.0237556	0.0537439	0.0516775	0.0905781	0.0845208	0.126264	0.229432
pic	0.138479	0.0691924	0.0460457	0.042327	0.0336683	0.0263697	0.0155596	0.0140623	0.012997	0.00744791	0.00937712	0.0134401	0.0121571	0.0660692	0.0432559	0.123951	0.0395311	0.12258	0.16349
</S>	0.084176	0.0947137	0.103469	0.0860945	0.0724675	0.0434761	0.0203527	0.0158951	0.0262446	0.0186794	0.0125685	0.0205214	0.0135177	0.034076	0.0299931	0.0698867	0.0321944	0.0818724	0.139802
