 	i	b	a	a	d	í	í	m	i	l	i	n	d	í	s	á	b	v	á	r	e	b	á	n	g	ó	l	ó	m	i	y	a	n	g	á	</S>
ce	0.011509	0.0135079	0.0183705	0.00695886	0.00579402	0.00603674	0.0119424	0.0293929	0.0493929	0.0551042	0.0994861	0.0803264	0.0340389	0.0126241	0.0173565	0.0156035	0.0156153	0.0125648	0.0273246	0.0210164	0.0192119	0.0321418	0.0192508	0.0246021	0.0223302	0.0310921	0.0205702	0.0220317	0.0279974	0.0374907	0.0275717	0.0285707	0.0395974	0.0453034	0.0399768	0.0182951
homme	0.0604766	0.0354014	0.124172	0.261035	0.234312	0.0839192	0.00958503	0.00231527	0.0100759	0.00114918	0.00220509	0.000777225	0.000563572	0.000649217	0.000705662	0.00120721	0.00100762	0.00133347	0.00279474	0.00499504	0.00742455	0.00792432	0.0151937	0.00709573	0.00819051	0.013424	0.0123459	0.0300618	0.0173965	0.0158774	0.00615135	0.00517788	0.0106892	0.0019657	0.00176379	0.000637366
a	0.0323667	0.0148056	0.0259719	0.038854	0.0591489	0.0391827	0.0498409	0.0208561	0.0495614	0.0516664	0.0339615	0.0255396	0.0174631	0.0129022	0.029572	0.0376002	0.0615931	0.0589232	0.0454766	0.0478355	0.0467858	0.0179848	0.02304	0.0115642	0.0174489	0.0162819	0.0167526	0.01562	0.0148037	0.0207894	0.00692513	0.0106286	0.00660331	0.0113574	0.0081277	0.00216528
fait	0.0263522	0.0453299	0.0608639	0.0368745	0.01579	0.0130524	0.0105754	0.0096669	0.0251424	0.0197355	0.0147866	0.0180625	0.034047	0.0276423	0.0470464	0.0543179	0.0278713	0.0495754	0.0382866	0.0277905	0.025383	0.0243736	0.0178858	0.00916925	0.0158491	0.00883724	0.00682911	0.0206219	0.0184409	0.0186576	0.0303932	0.0368066	0.0265703	0.0438637	0.0449539	0.0485555
couler	0.0162035	0.0101008	0.00981506	0.0132737	0.0222207	0.0164791	0.0256679	0.0190679	0.0320842	0.0345889	0.0165507	0.0139195	0.0193714	0.0295756	0.0226062	0.0337856	0.041836	0.0303139	0.0322421	0.0412445	0.0374874	0.0448414	0.0326509	0.0278501	0.0300995	0.0212934	0.0177951	0.0205991	0.0145478	0.0265387	0.0235531	0.0377704	0.0335218	0.043851	0.0399631	0.06669
la	0.00586116	0.0101735	0.00960539	0.0112911	0.0179334	0.0185358	0.019323	0.0340419	0.0493321	0.0493915	0.0214382	0.0181791	0.0144013	0.0340094	0.0239501	0.0244823	0.0269063	0.0220081	0.0187442	0.0163857	0.0215612	0.0245293	0.0171209	0.0122938	0.0227892	0.0226763	0.0215705	0.0338202	0.0341796	0.0525559	0.0383193	0.0549099	0.0379083	0.0449114	0.0498374	0.065023
pirogue	0.0124611	0.0153864	0.016652	0.0163233	0.0240434	0.0190702	0.021206	0.00770998	0.0184353	0.014494	0.00571909	0.00623154	0.00719407	0.00478903	0.00999073	0.0194415	0.0190973	0.0184288	0.0278634	0.0335006	0.0344835	0.0499975	0.0476974	0.0415114	0.04091	0.036828	0.04202	0.0467217	0.0447438	0.0386218	0.0455692	0.0226818	0.0538052	0.0214104	0.0514885	0.0634723
de	0.0277627	0.0296982	0.0229591	0.0139051	0.0158894	0.010983	0.00856602	0.00994725	0.0110336	0.0157554	0.0120501	0.0139278	0.016234	0.0172839	0.0118998	0.0151455	0.0107761	0.0139167	0.0284016	0.0226401	0.0222993	0.029496	0.032331	0.0220455	0.0296086	0.0217004	0.0276471	0.0501461	0.0466435	0.0160378	0.064153	0.011384	0.0637871	0.016259	0.0707026	0.146984
mon	0.0487507	0.0457552	0.0386892	0.0281223	0.0169995	0.00847702	0.00701503	0.00325259	0.00573129	0.00635719	0.0055642	0.00732974	0.0145346	0.0115715	0.0141834	0.0215965	0.00838221	0.0139579	0.0280939	0.022028	0.0224543	0.0366192	0.0339746	0.0224927	0.0276721	0.0156817	0.0182278	0.0244344	0.0318673	0.0149555	0.0589423	0.017269	0.0473953	0.0207	0.0793284	0.171593
oncle	0.0199181	0.0272595	0.0270761	0.0212694	0.0112701	0.00860872	0.0134168	0.00638819	0.0238282	0.0242871	0.0237278	0.0335844	0.0620238	0.0157645	0.030751	0.0335651	0.0169733	0.0348528	0.0342635	0.034756	0.0324294	0.0208993	0.0190497	0.0167974	0.0199681	0.0144048	0.0141617	0.0123619	0.0233934	0.0133036	0.0402301	0.0178732	0.0352932	0.0315708	0.0508469	0.133832
</S>	0.0752672	0.046028	0.0350288	0.0219207	0.0130532	0.0109263	0.00889295	0.00156155	0.00337172	0.00395215	0.00318225	0.00482478	0.0115052	0.00455832	0.0135189	0.0407621	0.0186018	0.0331176	0.0440987	0.0275141	0.0303959	0.0454203	0.0437744	0.0221929	0.0444247	0.0205807	0.0137974	0.0250247	0.0237218	0.0161341	0.0478486	0.0268579	0.0280818	0.0342776	0.0671868	0.0885942
