 	d	z	w	a	á	o	y	é	n	g	á	n	g	á	o	k	o	ó	b	a	á	í	b	h	í	b	h	a	m	ú	a	</S>
va	0.0198435	0.00941513	0.0267907	0.038881	0.0326702	0.0225247	0.0540424	0.0503145	0.0533539	0.0612701	0.0514787	0.0355233	0.0453174	0.0557101	0.0319704	0.031771	0.027881	0.0265607	0.030903	0.0312779	0.0291609	0.0285195	0.0214284	0.015387	0.0251837	0.0254153	0.0214412	0.0237852	0.0239848	0.0203428	0.018653	0.00919875
me	0.0864172	0.0957139	0.0652823	0.0474805	0.0579997	0.0921837	0.039986	0.0615376	0.0878727	0.0821084	0.0819267	0.0536766	0.0446163	0.034121	0.0139766	0.00292084	0.00102724	0.00176495	0.00193246	0.00159316	0.00120231	0.00255665	0.00436403	0.00276683	0.003343	0.00341315	0.00407254	0.00444411	0.0045248	0.00186396	0.00749002	0.0058205
chercher	0.0170845	0.0222502	0.013981	0.00658033	0.0158172	0.00686094	0.00650642	0.0104343	0.0155745	0.0165062	0.0296632	0.0368	0.0668402	0.0484247	0.0436997	0.0540336	0.0272654	0.0761766	0.0377051	0.0661916	0.0620921	0.0491398	0.050863	0.0477931	0.0452818	0.0381032	0.0208899	0.0167684	0.0135382	0.0127892	0.0142473	0.0100983
une	0.0325203	0.0397358	0.0524003	0.0323024	0.0437195	0.0562468	0.0387245	0.0366991	0.0299171	0.0178346	0.0130586	0.0172783	0.0172992	0.0174863	0.0218846	0.0362126	0.0146355	0.0379575	0.0452347	0.0241519	0.0371155	0.0139707	0.0143281	0.0257246	0.0189789	0.0236445	0.0206341	0.0256034	0.0195987	0.029973	0.0445514	0.100578
canne	0.00613203	0.0165116	0.0116664	0.0112589	0.0133052	0.01575	0.0174601	0.0206508	0.0219334	0.0444095	0.0250954	0.0149632	0.0238795	0.03005	0.0278414	0.05274	0.0506764	0.0494722	0.0289364	0.0410948	0.0394125	0.0648655	0.0524893	0.0423271	0.0327659	0.0361643	0.0314057	0.0256089	0.0246519	0.0242	0.0312015	0.0710802
à	0.0185837	0.018642	0.0151082	0.0133699	0.0135139	0.0123819	0.021417	0.0218592	0.0236912	0.0247365	0.0131759	0.0129282	0.0239667	0.021843	0.0356365	0.0686556	0.0679338	0.0482331	0.0374711	0.0366964	0.0491046	0.0497475	0.0218816	0.0207785	0.0184948	0.0189608	0.0184996	0.0213088	0.0214465	0.0419842	0.049948	0.118001
sucre	0.0527106	0.0359573	0.0261227	0.0215745	0.022999	0.0259725	0.0236378	0.0344407	0.0387779	0.0298851	0.0414437	0.0244728	0.0261226	0.021182	0.0295217	0.0488411	0.0365314	0.041048	0.0296538	0.025127	0.0250867	0.036879	0.0370198	0.0244646	0.0167921	0.0169904	0.0170192	0.0231013	0.0246387	0.0210954	0.0475768	0.0733135
afin	0.0268786	0.0238943	0.0236803	0.0203974	0.0230843	0.0162259	0.0273044	0.0238516	0.0241647	0.0267834	0.0169307	0.0147829	0.0209306	0.0234513	0.0242588	0.045024	0.021247	0.0304954	0.0136482	0.0269724	0.0293279	0.0313218	0.0215941	0.0271795	0.0297531	0.031499	0.0398907	0.0261642	0.0284886	0.0572554	0.077797	0.125722
que	0.0215092	0.0197045	0.0181537	0.0166179	0.0183567	0.0231924	0.0238058	0.0242977	0.0273456	0.0351872	0.0213717	0.0198824	0.0163045	0.013112	0.0198944	0.0376089	0.0249508	0.0199727	0.0170674	0.0189571	0.0218645	0.0246859	0.0300478	0.0395922	0.0394368	0.0437817	0.0518189	0.0509588	0.050378	0.0550139	0.0619489	0.0931799
je	0.0324667	0.0315468	0.0306079	0.0280675	0.0291263	0.0299536	0.0282677	0.0249147	0.0207864	0.0139044	0.0141464	0.0136717	0.0120104	0.00876622	0.0119327	0.0111905	0.0127825	0.0102873	0.011213	0.00983813	0.0117016	0.0112942	0.011892	0.0148448	0.0235696	0.0423351	0.0554778	0.0772247	0.0735848	0.0952575	0.0904073	0.10693
la	0.0383906	0.0370691	0.0358915	0.0304992	0.0323738	0.0344432	0.0282443	0.0208897	0.0174772	0.011473	0.0130343	0.0143884	0.0116863	0.00757688	0.0112862	0.00942864	0.0138503	0.00875426	0.00956202	0.00831884	0.00883486	0.0092499	0.0101889	0.0145215	0.0215489	0.0348713	0.0487935	0.072182	0.0666077	0.0970832	0.0978203	0.12366
suce	0.0664197	0.0359225	0.0316589	0.0247649	0.0215603	0.0241676	0.0191387	0.0301992	0.0529333	0.0447763	0.0316799	0.0293333	0.0222954	0.0179407	0.0367067	0.0360417	0.0377207	0.0233788	0.0230797	0.0142516	0.0107132	0.0139029	0.0203524	0.0145796	0.0140252	0.0213121	0.0194896	0.0542172	0.040043	0.0259815	0.0520405	0.0893727
</S>	0.0352488	0.0290043	0.0257239	0.0136986	0.0153618	0.01902	0.0144992	0.0163175	0.0174787	0.0139721	0.0127374	0.0227378	0.0157003	0.0118048	0.0261614	0.0288085	0.0350683	0.0242859	0.0261574	0.0269156	0.0252931	0.0239068	0.0273558	0.0372068	0.0364865	0.0382443	0.0413799	0.0487611	0.0561654	0.0771442	0.0619183	0.0954356
